@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2760.8,2514.9,4.0556,1.1676,516.8,387.6,1.4282,1.3815,2,9,0
2889.6,2643.8,4.1077,1.1155,538.33,409.13,1.3867,1.34,2,9,0
3050.3,2804.4,4.067,1.1562,538.33,409.13,1.4695,1.4228,2,9,0
3213,2967.1,4.0665,1.1568,538.33,409.13,1.482,1.4353,2,9,0
3355.2,3109.3,4.1111,1.1121,516.8,387.6,1.4421,1.3954,2,9,0
3396.6,3150.7,4.1539,1.0694,516.8,387.6,1.3263,1.2796,2,9,0
2200.2,1954.3,4.4357,0.78755,516.8,387.6,0.94572,0.89904,2,9,0
2356.1,2110.2,4.3797,0.84351,495.26,366.06,1.0114,0.96474,2,9,0
2784,2538.1,4.3152,0.90807,495.26,366.06,1.0313,0.98465,2,9,0
1789.4,1543.6,4.4477,0.77551,215.33,86.133,0.7697,0.72301,2,9,0
2281,2035.1,4.2209,1.0023,409.13,279.93,1.0462,0.99953,2,9,0
2343.6,2097.7,4.3532,0.87008,387.6,258.4,0.97971,0.93303,1,10,0
1890.4,1644.5,4.1514,1.0718,495.26,366.06,0.79388,0.7472,2,9,0
1067.5,821.61,4.4716,0.75167,473.73,344.53,1.0831,1.0364,2,9,0
819.77,573.89,4.5391,0.68412,516.8,387.6,0.92656,0.87988,2,9,0
948.91,703.03,4.6188,0.60445,516.8,387.6,1.0042,0.95756,2,9,0
647.31,401.43,4.8599,0.36332,409.13,279.93,0.62014,0.57346,2,9,0
569.05,323.16,4.9818,0.24148,366.06,236.87,0.55381,0.50713,4,7,1
1139.8,893.88,4.881,0.34228,538.33,409.13,0.72662,0.67994,2,9,1
1197.9,951.99,4.8641,0.35915,473.73,344.53,1.0915,1.0448,2,9,1
2007.9,1762,4.851,0.37225,473.73,344.53,1.3498,1.3031,2,9,1
2255.2,2009.4,4.8055,0.41775,473.73,344.53,1.4008,1.3541,2,9,1
2072.8,1826.9,4.782,0.44129,473.73,344.53,1.3727,1.326,2,9,1
2851.9,2606.1,4.7769,0.4464,495.26,366.06,1.4769,1.4302,2,9,1
3087.9,2842,4.8614,0.3619,495.26,366.06,1.2277,1.181,2,9,1
3196.8,2950.9,4.7582,0.46501,495.26,366.06,1.1583,1.1116,3,8,1
2815.7,2569.9,4.7679,0.45531,495.26,366.06,1.2889,1.2422,2,9,1
2391,2145.1,4.8139,0.40933,495.26,366.06,1.3518,1.3052,2,9,1
2249.1,2003.2,4.8205,0.40278,495.26,366.06,1.38,1.3333,3,8,1
2866.3,2620.4,4.7392,0.48406,473.73,344.53,1.5598,1.5131,2,9,1
2561.9,2316,4.9073,0.31597,495.26,366.06,1.3689,1.3223,3,8,1
2404.2,2158.3,4.8942,0.32904,495.26,366.06,1.4384,1.3917,7,4,1
2715.5,2469.6,4.7913,0.43193,473.73,344.53,1.372,1.3253,3,8,1
2848.5,2602.7,4.7683,0.45494,473.73,344.53,1.4308,1.3841,2,9,1
2183.2,1937.3,4.8212,0.40201,495.26,366.06,1.4108,1.3642,2,9,1
2746,2500.1,4.6737,0.54956,495.26,366.06,1.4363,1.3896,2,9,1
2905.5,2659.6,4.7117,0.51153,473.73,344.53,1.395,1.3483,2,9,1
2552.9,2307,4.6955,0.52778,473.73,344.53,1.3197,1.273,2,9,1
2926.5,2680.6,4.7943,0.42895,473.73,344.53,1.4008,1.3541,2,9,1
2763.7,2517.8,4.8949,0.32837,473.73,344.53,1.1569,1.1102,2,9,1
2648.8,2402.9,4.7714,0.45189,452.2,323,1.1589,1.1122,2,9,1
2324.1,2078.2,4.7499,0.47333,452.2,323,1.3305,1.2839,3,8,1
2186.1,1940.2,4.859,0.36426,452.2,323,1.1929,1.1463,7,4,1
1626.6,1380.7,5.0201,0.20318,452.2,323,1.1775,1.1308,13,0,1
1495.6,1249.7,4.9619,0.2613,452.2,323,1.134,1.0873,16,0,1
1786.5,1540.7,4.8698,0.35349,452.2,323,1.1721,1.1254,17,0,1
1600.6,1354.7,4.8843,0.33891,452.2,323,1.2189,1.1723,14,3,1
