@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.5656,0,5,0,0
0.48357,0,6,0,0
0.51467,0.031101,4,2,0
0.34298,0,5,1,0
0.29604,0,5,1,1
0.45471,0.15867,4,2,1
0.52901,0.23297,3,3,1
0.78074,0.4847,5,1,1
0.78074,0.4847,8,0,1
0.53054,0.2345,8,0,1
0.40829,0.11225,8,0,1
0.5511,0.25506,8,0,1
0.66486,0.36882,8,0,1
0.53393,0.23789,8,0,1
0.72106,0.42502,8,0,1
0.486,0.18996,8,0,1
0.68731,0.39127,8,0,1
0.80552,0.50948,8,0,1
1.1057,0.80962,7,1,1
1.1223,0.82622,7,1,1
1.2093,0.91329,9,0,1
1.1663,0.87031,11,0,1
1.2817,0.9857,9,2,1
1.3122,1.0161,9,2,1
1.3254,1.0294,9,2,1
1.3292,1.0331,8,3,1
1.381,1.0849,9,2,1
1.4234,1.1273,3,8,1
1.5753,1.2793,2,9,1
1.6278,1.3317,2,9,1
1.6737,1.3777,2,9,1
1.6076,1.3116,2,9,1
1.5415,1.2455,2,9,1
1.5326,1.2365,2,9,1
1.4717,1.1756,2,9,1
1.545,1.249,2,9,1
1.5192,1.2232,2,9,1
1.3689,1.0729,2,9,1
1.2471,0.95107,2,9,1
1.4377,1.1417,2,9,1
1.6685,1.3725,2,9,1
1.6631,1.367,2,9,1
1.7,1.404,2,9,1
1.6254,1.3293,2,9,1
1.4987,1.2027,2,9,1
1.6046,1.3085,2,9,1
1.6637,1.3677,2,9,1
1.6692,1.3731,2,9,1
1.6663,1.3702,2,9,1
1.6544,1.3584,2,9,1
1.6396,1.3435,2,9,1
1.7256,1.4296,2,9,1
1.71,1.414,2,9,1
1.7099,1.4139,2,9,1
1.563,1.2669,2,9,1
1.6443,1.3483,2,9,1
1.2571,0.96106,2,9,1
0.59817,0.30213,3,8,1
0.2304,0,4,7,1
0.40154,0.17114,1,10,1
0.42738,0.19698,5,6,1
0.046681,0,8,3,0
0.30288,0.2562,1,10,0
0.65681,0.61013,1,10,0
0.72916,0.68248,1,10,0
0.29155,0.24487,1,10,0
0.39399,0.3473,2,9,0
1.1394,1.0928,2,9,0
1.2838,1.2371,2,9,0
1.4282,1.3815,2,9,0
1.3867,1.34,2,9,0
1.4695,1.4228,2,9,0
1.482,1.4353,2,9,0
1.4421,1.3954,2,9,0
1.3263,1.2796,2,9,0
0.94572,0.89904,2,9,0
1.0114,0.96474,2,9,0
1.0313,0.98465,2,9,0
0.7697,0.72301,2,9,0
1.0462,0.99953,2,9,0
0.97971,0.93303,1,10,0
0.79388,0.7472,2,9,0
