@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
585.92,0,4.6796,0,732.13,0,0.032112,0,40,0
483.5,0,4.9382,0,150.73,0,0.025511,0,101,0
492.85,9.3537,4.9371,0.0010359,1033.6,882.86,0.024793,0,158,0
327.3,0,5.0939,0,172.27,21.533,0.020657,0,47,0
245.88,0,5.0679,0.026067,796.73,646,0.022563,0.0019057,30,1
436.29,190.41,4.9051,0.18883,689.06,538.33,0.028093,0.0074354,39,1
1207.5,961.64,4.8266,0.26736,495.26,344.53,0.026104,0.0054465,92,1
1933,1687.1,4.8239,0.27003,452.2,301.46,0.046163,0.025505,88,1
1816.1,1570.2,4.7914,0.30258,1270.5,1119.7,0.07571,0.055052,87,1
2056.5,1810.6,4.8627,0.23127,1270.5,1119.7,0.079864,0.059206,86,1
2784.4,2538.5,4.9133,0.18063,344.53,193.8,0.067755,0.047098,83,1
3181.2,2935.4,4.9451,0.14886,323,172.27,0.073765,0.053107,81,1
3645.6,3399.7,4.8651,0.22883,452.2,301.46,0.083505,0.062848,80,1
4066.7,3820.8,4.8772,0.21676,452.2,301.46,0.10162,0.080966,80,1
3855.8,3609.9,4.964,0.12991,452.2,301.46,0.10213,0.081474,82,1
4126.4,3880.5,5.1348,0,473.73,323,0.089789,0.069131,80,1
4183.6,3937.7,4.9725,0.16229,538.33,387.6,0.090709,0.070052,78,1
4490.6,4244.7,5.0212,0.11359,516.8,366.06,0.1139,0.093247,80,1
5087,4841.1,4.9261,0.20869,516.8,366.06,0.10357,0.082914,78,1
4384.8,4139,4.9954,0.13942,538.33,387.6,0.14023,0.11958,76,1
4695.1,4449.2,4.7032,0.43163,516.8,366.06,0.11869,0.098035,75,1
4146.5,3900.6,4.8149,0.31993,516.8,366.06,0.13963,0.11898,75,1
3368.2,3122.3,4.8135,0.32126,473.73,323,0.13949,0.11883,76,1
2863,2617.1,4.7859,0.3489,473.73,323,0.12397,0.10331,77,1
2873.5,2627.6,4.7373,0.39754,473.73,323,0.11673,0.096073,77,1
2914.5,2668.6,4.6844,0.45041,473.73,323,0.11074,0.090082,78,1
3155.8,2910,4.7754,0.35945,473.73,323,0.12811,0.10745,77,1
2647.8,2401.9,4.8191,0.31573,473.73,323,0.11788,0.097218,75,1
2961.7,2715.8,4.6976,0.43723,495.26,344.53,0.13851,0.11785,74,1
2959.9,2714,4.6158,0.51902,495.26,344.53,0.12591,0.10525,73,1
3006.1,2760.2,4.6229,0.51189,495.26,344.53,0.11784,0.09718,72,1
3549,3303.1,4.6717,0.46308,495.26,344.53,0.10619,0.085533,72,1
3433.6,3187.7,4.7508,0.384,516.8,366.06,0.11669,0.096029,163,1
3241.5,2995.6,4.6575,0.4773,495.26,344.53,0.13228,0.11162,71,1
3142.3,2896.4,4.7433,0.3915,516.8,366.06,0.1108,0.090143,71,1
3412,3166.1,4.6752,0.45965,516.8,366.06,0.12103,0.10037,70,1
3747.8,3502,4.7114,0.42344,516.8,366.06,0.1086,0.087947,70,1
4311.1,4065.3,4.7048,0.43003,516.8,366.06,0.11131,0.090654,70,1
4642.2,4396.3,4.7507,0.3841,516.8,366.06,0.10277,0.082116,69,1
4343,4097.2,4.712,0.42286,516.8,366.06,0.10041,0.079748,157,1
4327.4,4081.5,4.4253,0.70947,516.8,366.06,0.12086,0.10021,68,1
4034,3788.1,4.5569,0.57794,516.8,366.06,0.11271,0.09205,68,1
4082.3,3836.4,4.4638,0.67105,516.8,366.06,0.12579,0.10513,68,1
3951,3705.2,4.5998,0.53506,516.8,366.06,0.13232,0.11166,69,1
3641.5,3395.6,4.7,0.43478,516.8,366.06,0.144,0.12334,69,1
3988.8,3742.9,4.5498,0.58498,516.8,366.06,0.12884,0.10819,69,1
3887.2,3641.3,4.4958,0.63905,516.8,366.06,0.11265,0.091988,69,1
3555.5,3309.6,4.3497,0.78506,516.8,366.06,0.10931,0.088652,69,1
3462.3,3216.5,4.2669,0.86795,516.8,366.06,0.089651,0.068994,70,1
3495.6,3249.7,4.1788,0.95596,516.8,366.06,0.077021,0.056364,70,1
3774.2,3528.3,4.2025,0.93232,516.8,366.06,0.065691,0.045034,67,1
3828.2,3582.3,3.9949,1.1399,538.33,387.6,0.073974,0.053316,65,1
2966.4,2720.5,4.0479,1.0869,538.33,387.6,0.082473,0.061815,63,1
2530.8,2284.9,4.1294,1.0054,538.33,387.6,0.065675,0.045017,64,1
1574,1328.1,4.2659,0.86892,538.33,387.6,0.055266,0.034609,63,1
1697.4,1451.5,4.3609,0.77391,516.8,366.06,0.037774,0.017117,72,1
733.96,488.08,5.014,0.12079,452.2,301.46,0.035896,0.015238,80,1
564.64,318.76,5.2233,0,473.73,323,0.025778,0.0051206,179,1
541.72,295.84,5.1267,0.096556,150.73,0,0.021441,0.00078354,61,1
607.13,361.25,4.8879,0.33531,323,172.27,0.022065,0.0014073,71,1
438.41,192.53,4.8316,0.39168,344.53,193.8,0.021613,0.00095582,105,1
361.03,115.15,4.8061,0.41718,236.87,86.133,0.014663,0,163,0
287.23,41.352,4.8271,0.39611,129.2,0,0.015575,0.0009116,130,0
391.86,145.98,4.5488,0.67446,409.13,279.93,0.022194,0.0075307,104,0
494.51,248.63,4.4704,0.7529,409.13,279.93,0.021108,0.0064452,121,0
260.92,15.035,4.8067,0.41655,129.2,0,0.016546,0.0018832,105,0
598.51,352.63,4.5051,0.71811,323,193.8,0.015574,0.00091127,105,0
1357.6,1111.7,4.1814,1.0418,516.8,387.6,0.015955,0.0012913,159,0
2023,1777.1,3.985,1.2382,516.8,387.6,0.032728,0.018065,72,0
2760.8,2514.9,4.0556,1.1676,516.8,387.6,0.028382,0.013719,52,0
2889.6,2643.8,4.1077,1.1155,538.33,409.13,0.041729,0.027065,48,0
3050.3,2804.4,4.067,1.1562,538.33,409.13,0.034773,0.02011,72,0
3213,2967.1,4.0665,1.1568,538.33,409.13,0.037665,0.023002,66,0
3355.2,3109.3,4.1111,1.1121,516.8,387.6,0.04225,0.027587,70,0
3396.6,3150.7,4.1539,1.0694,516.8,387.6,0.029002,0.014339,69,0
2200.2,1954.3,4.4357,0.78755,516.8,387.6,0.027785,0.013122,71,0
2356.1,2110.2,4.3797,0.84351,495.26,366.06,0.030713,0.01605,60,0
2784,2538.1,4.3152,0.90807,495.26,366.06,0.0352,0.020536,62,0
1789.4,1543.6,4.4477,0.77551,215.33,86.133,0.025404,0.010741,57,0
2281,2035.1,4.2209,1.0023,409.13,279.93,0.037856,0.023193,79,0
