@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.18298,0.12476,0.043557,0.043557,0.065389,0.050725,77,1
0.21113,0.15291,0.04265,0.044465,0.07874,0.064077,77,1
0.23747,0.17926,0.03539,0.051724,0.094455,0.079792,77,1
0.24487,0.18665,0.03902,0.048094,0.098105,0.083442,75,1
0.25442,0.1962,0.044465,0.04265,0.093121,0.078458,74,1
0.24806,0.18984,0.046279,0.040835,0.10189,0.087223,74,1
0.24317,0.18495,0.043557,0.043557,0.1094,0.094738,74,1
0.24163,0.18341,0.043557,0.043557,0.092254,0.077591,74,1
0.2268,0.16858,0.049909,0.037205,0.099445,0.084781,75,1
0.24407,0.18585,0.04265,0.044465,0.091105,0.076442,75,1
0.2386,0.18038,0.047187,0.039927,0.089829,0.075166,75,1
0.22836,0.17014,0.052632,0.034483,0.10504,0.090377,75,1
0.24039,0.18217,0.043557,0.043557,0.098938,0.084275,75,1
0.24667,0.18845,0.040835,0.046279,0.094102,0.079439,171,1
0.24038,0.18216,0.04265,0.044465,0.10603,0.091364,75,1
0.25487,0.19665,0.039927,0.047187,0.098331,0.083668,169,1
0.25877,0.20056,0.048094,0.03902,0.10042,0.085753,75,1
0.25423,0.19602,0.054446,0.032668,0.11984,0.10517,76,1
0.26343,0.20521,0.044465,0.04265,0.10915,0.094488,77,1
0.23745,0.17923,0.04265,0.044465,0.086379,0.071715,79,1
0.22571,0.16749,0.039927,0.047187,0.098465,0.083802,80,1
0.21536,0.15714,0.049002,0.038113,0.11234,0.09768,81,1
0.19184,0.13362,0.069873,0.017241,0.11003,0.095362,81,1
0.17646,0.11824,0.07441,0.012704,0.094411,0.079748,82,1
0.16137,0.10316,0.072595,0.014519,0.10041,0.085747,82,1
0.15859,0.10038,0.078947,0.008167,0.10658,0.091922,82,1
0.17088,0.11266,0.072595,0.014519,0.10455,0.08989,83,1
0.16837,0.11015,0.065336,0.021779,0.10811,0.093451,82,1
0.16755,0.10933,0.058984,0.028131,0.12032,0.10566,82,1
0.19109,0.13287,0.048094,0.03902,0.11673,0.10207,81,1
0.20143,0.14321,0.050817,0.036298,0.10028,0.085618,80,1
0.20957,0.15135,0.058076,0.029038,0.10942,0.094753,81,1
0.20323,0.14501,0.058076,0.029038,0.11367,0.099006,81,1
0.18958,0.13137,0.056261,0.030853,0.1064,0.091734,80,1
0.18657,0.12835,0.059891,0.027223,0.11443,0.099772,79,1
0.19379,0.13557,0.051724,0.03539,0.11201,0.097343,78,1
0.20511,0.14689,0.044465,0.04265,0.1114,0.096742,79,1
0.19721,0.13899,0.058076,0.029038,0.10702,0.092358,79,1
0.20312,0.1449,0.067151,0.019964,0.11305,0.098389,79,1
0.20671,0.14849,0.07078,0.016334,0.10082,0.086156,179,1
0.1949,0.13668,0.076225,0.010889,0.10031,0.085646,81,1
0.18474,0.12653,0.073503,0.013612,0.10077,0.086109,82,1
0.16835,0.11013,0.071688,0.015426,0.1041,0.089441,83,1
0.1668,0.10859,0.062613,0.024501,0.11029,0.095622,84,1
0.17122,0.113,0.054446,0.032668,0.088861,0.074198,85,1
