@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,0.0053629,0,0,0
0.0080354,0.098004,0.0037031,0,0,0
0.0087752,0.097096,0.012599,1,23,0
0.010187,0.12976,0.014016,2,14,0
0.010509,0.16515,0.016443,2,15,1
0.050137,0.12432,0.014562,2,14,1
0.12549,0.054446,0.01723,2,15,1
0.16054,0.043557,0.030876,1,15,1
0.16062,0.052632,0.04401,3,15,1
0.17314,0.056261,0.047067,4,4,1
0.1817,0.059891,0.06064,4,5,1
0.19365,0.069873,0.044793,4,5,1
0.21998,0.083485,0.045668,4,4,1
0.22573,0.092559,0.054312,4,4,1
0.2201,0.092559,0.058461,4,4,1
0.23167,0.087114,0.06382,4,4,1
0.25168,0.087114,0.064687,4,4,1
0.25385,0.10436,0.058751,4,4,1
0.264,0.10799,0.075354,4,4,1
0.29419,0.090744,0.082638,4,4,1
0.30447,0.084392,0.046291,4,4,1
0.30349,0.077132,0.057401,4,4,1
0.29497,0.076225,0.061356,4,4,1
0.28445,0.089837,0.06044,4,4,1
0.27865,0.10073,0.041142,4,4,1
0.27298,0.082577,0.034035,4,4,1
0.28062,0.068058,0.053563,4,5,1
0.28573,0.062613,0.051075,4,4,1
0.29361,0.057169,0.057269,4,4,1
0.31875,0.049909,0.045007,4,4,1
0.33865,0.029946,0.042627,4,4,1
0.33978,0.03176,0.040184,5,4,1
0.32885,0.043557,0.043228,5,4,1
0.31922,0.044465,0.043486,4,4,1
0.31597,0.047187,0.048062,5,5,1
0.32684,0.049909,0.056742,5,5,1
0.35059,0.045372,0.040275,6,4,1
0.36701,0.043557,0.050406,6,4,1
0.37725,0.044465,0.051561,6,4,1
0.38641,0.046279,0.054432,5,5,1
0.3928,0.046279,0.050946,5,5,1
0.406,0.033575,0.055139,5,4,1
0.41429,0.024501,0.069914,5,4,1
0.41087,0.033575,0.077084,6,4,1
0.40477,0.043557,0.084459,6,4,1
0.41041,0.045372,0.072591,5,4,1
0.4215,0.039927,0.068478,3,4,1
0.42175,0.029946,0.056471,4,4,1
0.42117,0.024501,0.045819,4,4,1
0.43568,0.029038,0.043198,3,4,1
0.46602,0.029946,0.031621,3,3,1
0.48327,0.025408,0.019644,1,13,1
0.44598,0.023593,0.028784,3,3,1
0.36665,0.022686,0.030715,4,3,1
0.2962,0.022686,0.039045,3,3,1
0.22715,0.021779,0.048086,3,3,1
0.14123,0.038113,0.041102,2,4,1
0.063988,0.084392,0.046005,1,13,1
0.026371,0.11525,0.030389,1,13,1
0.016541,0.096189,0.027036,1,13,1
0.014061,0.062613,0.012876,1,13,1
0.01402,0.045372,0.0034698,0,0,0
0.011926,0.059891,0.0033417,0,0,0
0.0076668,0.069873,0.0018977,0,0,0
0.0063915,0.07804,0.0029938,0,0,0
0.0078191,0.072595,0.0038211,0,0,0
0.007924,0.058984,0.011845,1,23,0
0.0078277,0.087114,0.009561,0,0,0
0.0099073,0.10708,0.016581,1,21,0
0.015628,0.098911,0.019383,1,24,0
0.018007,0.099819,0.028447,1,23,0
0.016253,0.11343,0.016027,1,24,0
0.014892,0.13067,0.029848,2,15,0
0.012268,0.14882,0.016891,2,15,0
0.010846,0.15789,0.022895,1,15,0
0.011069,0.14519,0.018288,1,22,0
0.010501,0.12886,0.015071,2,15,0
0.0087814,0.1225,0.01392,1,15,0
0.0062901,0.12886,0.015155,1,15,0
0.004438,0.1216,0.0080033,0,0,0
0.0038568,0.094374,0.0049231,0,0,0
0.0030363,0.11434,0.001841,0,0,0
0.002228,0.10889,0.0011425,0,0,0
0.0025667,0.11343,0.0008105,0,0,0
0.0033937,0.12976,0.0059993,0,0,0
0.0065183,0.13067,0.0079195,0,0,0
0.024363,0.11162,0.0077063,0,0,1
0.11391,0.050817,0.0038944,0,0,1
0.16967,0.032668,0.034005,3,4,1
0.19672,0.039927,0.040307,2,4,1
0.21092,0.044465,0.049547,4,4,1
0.21602,0.046279,0.046426,4,4,1
0.22268,0.046279,0.047174,4,4,1
0.23152,0.04265,0.054936,4,4,1
0.24095,0.04265,0.045579,3,4,1
0.24761,0.049002,0.053133,3,4,1
0.25067,0.052632,0.042479,4,4,1
0.24985,0.046279,0.047751,4,4,1
0.24884,0.040835,0.050013,4,4,1
0.24834,0.041742,0.04892,4,4,1
0.25189,0.04265,0.051041,4,4,1
0.2509,0.04265,0.043902,3,4,1
0.24898,0.04265,0.043732,4,4,1
0.24826,0.040835,0.049901,4,4,1
0.24449,0.047187,0.039602,4,4,1
0.24278,0.056261,0.054089,2,4,1
0.24214,0.067151,0.055643,3,4,1
