@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.29563,0.027223,1.3822,9,1
0.28677,0.033575,1.3656,9,1
0.27378,0.04265,1.3701,9,1
0.2671,0.046279,1.3583,9,1
0.26601,0.043557,1.3036,9,1
0.2554,0.041742,1.2256,14,1
0.24925,0.04265,1.1749,18,1
0.24025,0.034483,1.1618,24,1
0.23536,0.033575,1.189,24,1
0.22416,0.051724,1.2304,20,1
0.20329,0.052632,1.2461,23,1
0.20625,0.041742,1.283,15,1
0.19958,0.039927,1.2351,15,1
0.19486,0.037205,1.3359,14,1
0.22766,0.033575,1.4526,13,1
0.245,0.03539,1.5509,13,1
0.21104,0.036298,1.4876,12,1
0.15962,0.03176,1.4817,12,1
0.14229,0.036298,1.4242,12,1
0.12834,0.040835,1.3886,13,1
0.097579,0.043557,1.0132,14,1
0.087752,0.041742,0.59559,20,1
0.10492,0.032668,0.5921,15,1
0.11139,0.033575,0.59791,11,1
0.10817,0.033575,0.61449,10,1
0.11913,0.030853,0.81837,13,1
0.11867,0.03176,1.0027,12,1
0.11602,0.029946,0.35712,13,1
0.1162,0.028131,0.95085,9,1
0.11374,0.024501,1.218,9,1
0.11198,0.021779,1.4936,9,1
0.079116,0.028131,1.3891,9,1
0.032012,0.043557,0.58633,8,1
0.02062,0.036298,1.0576,8,1
0.019472,0.018149,1.1429,8,1
0.011514,0.044465,1.0741,8,1
0.01036,0.053539,1.0001,9,1
0.013161,0.03176,1.3149,8,1
0.013776,0.025408,1.4792,8,0
0.012272,0.023593,1.4215,9,0
0.0074759,0.038113,1.371,9,0
0.0043124,0.088929,0.87597,26,0
0.0029858,0.11887,0.35071,49,0
0.0023971,0.11434,0.39233,51,0
0.0025065,0.11434,0.39111,49,0
0.002229,0.12704,0.33186,47,0
0.0018429,0.14882,0.39248,52,0
0.0018017,0.15064,0.4028,50,0
0.0016858,0.14701,0.3431,56,0
0.0016838,0.13975,0.31297,52,0
0.0015937,0.13884,0.2712,91,0
0.0016213,0.14701,0.30481,81,0
0.0016503,0.15245,0.2864,93,0
0.001645,0.12976,0.31415,115,0
0.0016683,0.12341,0.41163,108,0
0.0014711,0.15336,0.30688,106,0
0.0013076,0.15971,0.32342,105,0
0.0013672,0.16515,0.23511,97,0
0.0013951,0.17695,0.34792,107,0
0.0012238,0.18603,0.37647,127,0
0.0010825,0.18421,0.33085,142,0
0.0011544,0.17604,0.24919,146,0
0.0013259,0.15426,0.26019,133,0
0.0012375,0.16969,0.15336,156,0
0.0010457,0.20871,0.19871,153,0
0.0009479,0.22232,0.16995,155,0
0.0010953,0.20236,0.23599,172,0
0.0011989,0.16606,0.41982,149,0
0.0010645,0.18421,0.34198,167,0
0.00094367,0.22323,0.31658,152,0
0.00091538,0.20599,0.23422,186,0
0.0011283,0.15154,0.3829,148,0
0.0012635,0.14247,0.28926,169,0
0.0011172,0.16697,0.13805,204,0
0.0010912,0.16243,0.22902,166,0
0.0011061,0.1588,0.29075,130,0
0.0010227,0.16788,0.26468,148,0
0.0011297,0.16515,0.27352,133,0
0.0012973,0.16969,0.29407,113,0
0.001434,0.18784,0.25872,101,0
0.0017267,0.20871,0.24082,102,0
0.0017151,0.21234,0.26096,102,0
0.0015268,0.21688,0.27908,122,0
0.001749,0.20871,0.20794,136,0
0.0019546,0.18784,0.26105,119,0
0.0019513,0.19782,0.25549,106,0
0.0021388,0.19056,0.28423,87,0
0.0024038,0.19056,0.27755,88,0
0.0024412,0.16969,0.31524,88,0
0.0021747,0.14338,0.32964,60,0
0.0032928,0.11162,0.21243,58,0
0.0037279,0.056261,0.2812,44,0
0.0028897,0.057169,0.46952,27,0
0.0028867,0.058076,0.5155,61,0
0.0025111,0.062613,0.66212,41,0
0.0015704,0.10436,0.40882,127,0
0.0013018,0.18149,0.29143,209,0
0.0013259,0.17514,0.29384,206,0
0.0012661,0.12613,0.43809,166,0
0.001242,0.11978,0.65711,138,0
