@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.16596,0.057169,0.12066,0.03902,1
0.17543,0.055354,0.13013,0.037205,1
0.17488,0.060799,0.12958,0.04265,1
0.17577,0.061706,0.13047,0.043557,1
0.18495,0.061706,0.13965,0.043557,1
0.19904,0.063521,0.15374,0.045372,1
0.22474,0.057169,0.17944,0.03902,1
0.24348,0.053539,0.19818,0.03539,1
0.24503,0.054446,0.19973,0.036298,1
0.23996,0.062613,0.19466,0.044465,1
0.24476,0.065336,0.19946,0.047187,1
0.25166,0.058984,0.20636,0.040835,1
0.25494,0.051724,0.20964,0.033575,1
0.2607,0.044465,0.2154,0.026316,1
0.26662,0.034483,0.22132,0.016334,1
0.27321,0.030853,0.22791,0.012704,1
0.28496,0.026316,0.23966,0.008167,1
0.27571,0.022686,0.23041,0.0045372,1
0.25164,0.029038,0.20634,0.010889,1
0.24935,0.03539,0.20405,0.017241,1
0.26437,0.03902,0.21907,0.020871,1
0.27066,0.041742,0.22536,0.023593,1
0.27894,0.03902,0.23364,0.020871,1
0.27663,0.03176,0.23133,0.013612,1
0.26483,0.03176,0.21953,0.013612,1
0.25671,0.038113,0.21141,0.019964,1
0.24612,0.036298,0.20082,0.018149,1
0.27263,0.03902,0.22733,0.020871,1
0.27362,0.050817,0.22832,0.032668,1
0.33495,0.040835,0.28965,0.022686,1
0.41876,0.032668,0.37346,0.014519,1
0.42434,0.034483,0.37904,0.016334,1
0.39176,0.03539,0.34646,0.017241,1
0.3755,0.032668,0.3302,0.014519,1
0.38803,0.029038,0.34273,0.010889,1
0.36218,0.03539,0.31688,0.017241,1
0.31175,0.037205,0.26645,0.019056,1
0.30901,0.025408,0.26371,0.0072595,1
0.2788,0.026316,0.2335,0.008167,1
0.2266,0.039927,0.1813,0.021779,1
0.2139,0.04265,0.1686,0.024501,1
0.18093,0.039927,0.13563,0.021779,1
0.18501,0.029038,0.13972,0.010889,1
0.20078,0.019964,0.15548,0.0018149,1
0.17036,0.026316,0.12506,0.008167,1
0.14668,0.033575,0.10138,0.015426,1
0.17531,0.029946,0.13001,0.011797,1
0.17267,0.026316,0.12737,0.008167,1
0.1759,0.049909,0.1306,0.03176,1
0.18835,0.068966,0.14305,0.050817,1
0.18395,0.047187,0.13865,0.029038,1
0.18114,0.033575,0.13584,0.015426,1
0.16741,0.034483,0.12211,0.016334,1
0.14554,0.030853,0.10025,0.012704,1
0.09896,0.045372,0.05366,0.027223,1
0.077036,0.064428,0.031736,0.046279,1
0.084484,0.043557,0.039185,0.025408,1
0.087681,0.024501,0.042382,0.0063521,1
0.076878,0.037205,0.031578,0.019056,1
0.062149,0.04265,0.016849,0.024501,0
0.053445,0.04265,0.0081453,0.024501,0
0.045215,0.044465,0,0.026316,0
0.044332,0.043557,0,0.025408,0
0.046071,0.040835,0.0017392,0.022686,0
0.043523,0.029038,0,0.010889,0
0.038639,0.025408,0,0.0072595,0
0.035128,0.034483,0,0.016334,0
0.037851,0.03902,0.0027222,0.020871,0
0.032359,0.044465,0,0.026316,0
0.024129,0.046279,0,0.028131,0
0.027208,0.046279,0.0030792,0.028131,0
0.02716,0.044465,0.0030307,0.026316,0
0.025947,0.046279,0.0018182,0.028131,0
0.026624,0.049909,0.0024953,0.03176,0
0.0275,0.045372,0.0033713,0.027223,0
0.028416,0.047187,0.0042875,0.029038,0
0.025329,0.057169,0.0012004,0.03902,0
0.024801,0.061706,0.00067193,0.043557,0
0.032326,0.050817,0.008197,0.032668,0
0.033961,0.043557,0.0098323,0.025408,0
0.033056,0.04265,0.0089267,0.024501,0
0.031049,0.055354,0.0069203,0.037205,0
0.032435,0.054446,0.0083064,0.036298,0
0.034098,0.043557,0.0099685,0.025408,0
0.029225,0.054446,0.0050963,0.036298,0
0.027638,0.057169,0.0035091,0.03902,0
0.030465,0.050817,0.0063362,0.032668,0
0.037486,0.045372,0.013357,0.027223,0
0.041381,0.04265,0.017252,0.024501,0
0.040967,0.041742,0.016838,0.023593,0
0.044618,0.056261,0.020489,0.038113,0
0.051104,0.059891,0.026975,0.041742,0
0.056406,0.058076,0.032277,0.039927,0
0.060722,0.059891,0.036593,0.041742,0
0.061491,0.054446,0.037362,0.036298,0
0.053188,0.060799,0.029059,0.04265,0
0.042736,0.067151,0.018607,0.049002,0
0.040581,0.058076,0.016452,0.039927,0
0.041157,0.069873,0.017028,0.051724,0
0.049187,0.071688,0.025058,0.053539,0
0.057431,0.054446,0.033302,0.036298,0
0.061382,0.050817,0.037253,0.032668,0
0.063413,0.049002,0.039284,0.030853,0
0.065029,0.049002,0.0409,0.030853,0
0.065332,0.047187,0.041203,0.029038,0
0.07134,0.053539,0.047211,0.03539,0
0.078244,0.054446,0.054115,0.036298,0
0.076636,0.046279,0.052507,0.028131,0
0.076082,0.044465,0.051953,0.026316,0
0.076612,0.040835,0.052483,0.022686,0
0.075487,0.037205,0.051358,0.019056,0
0.077823,0.043557,0.053694,0.025408,0
0.077156,0.045372,0.053027,0.027223,0
0.079438,0.046279,0.055309,0.028131,0
0.0775,0.048094,0.053371,0.029946,0
0.070963,0.04265,0.046834,0.024501,0
0.069913,0.043557,0.045784,0.025408,0
0.067156,0.048094,0.043027,0.029946,0
0.079744,0.038113,0.055615,0.019964,0
0.10068,0.029038,0.076552,0.010889,0
0.10582,0.029038,0.081687,0.010889,0
0.13047,0.024501,0.10634,0.0063521,0
0.17979,0.025408,0.15566,0.0072595,0
0.21538,0.027223,0.19125,0.0090744,0
0.18404,0.03176,0.15991,0.013612,0
0.11745,0.036298,0.093317,0.018149,0
0.10375,0.03539,0.079616,0.017241,0
0.088458,0.03902,0.064329,0.020871,0
0.084514,0.036298,0.060385,0.018149,0
0.089476,0.033575,0.065347,0.015426,0
0.072776,0.040835,0.048647,0.022686,0
0.063586,0.044465,0.039457,0.026316,0
0.080707,0.040835,0.056578,0.022686,0
0.10189,0.041742,0.077765,0.023593,0
0.10612,0.036298,0.081987,0.018149,0
0.093063,0.03176,0.068934,0.013612,0
0.075103,0.045372,0.050974,0.027223,0
0.076991,0.043557,0.052862,0.025408,0
0.083161,0.036298,0.059032,0.018149,0
0.084231,0.045372,0.060102,0.027223,0
0.087637,0.049909,0.063508,0.03176,0
0.094409,0.047187,0.07028,0.029038,0
0.10194,0.051724,0.077807,0.033575,0
0.087345,0.059891,0.063216,0.041742,0
0.083341,0.056261,0.059212,0.038113,0
0.098782,0.046279,0.074653,0.028131,0
0.099821,0.04265,0.075692,0.024501,0
0.083442,0.053539,0.059313,0.03539,0
0.069086,0.057169,0.044957,0.03902,0
0.064929,0.061706,0.0408,0.043557,0
0.058517,0.066243,0.034388,0.048094,0
0.051675,0.068058,0.027546,0.049909,0
0.051658,0.075318,0.027529,0.057169,0
0.066063,0.051724,0.041934,0.033575,0
0.076006,0.03176,0.051877,0.013612,0
0.073159,0.03902,0.04903,0.020871,0
0.075218,0.049909,0.051089,0.03176,0
0.074371,0.065336,0.050242,0.047187,0
0.069592,0.062613,0.045463,0.044465,0
0.073046,0.053539,0.048917,0.03539,0
0.064203,0.056261,0.040074,0.038113,0
0.053755,0.049002,0.029626,0.030853,0
0.057696,0.04265,0.033567,0.024501,0
0.065913,0.032668,0.041784,0.014519,0
0.061645,0.029946,0.037516,0.011797,0
0.046806,0.036298,0.022677,0.016334,0
0.040432,0.049002,0.016303,0.029038,0
0.039136,0.057169,0.015007,0.037205,0
0.041312,0.054446,0.017183,0.034483,0
0.034828,0.073503,0.010699,0.053539,0
0.030693,0.077132,0.006564,0.057169,0
0.033357,0.061706,0.0092284,0.041742,0
0.031373,0.067151,0.0072437,0.047187,0
0.035054,0.062613,0.010925,0.04265,0
0.040713,0.048094,0.016584,0.028131,0
0.044361,0.041742,0.020232,0.021779,0
0.060275,0.041742,0.036146,0.021779,0
0.06367,0.04265,0.039541,0.022686,0
0.053179,0.040835,0.02905,0.020871,0
0.055817,0.041742,0.031688,0.021779,0
0.055719,0.041742,0.03159,0.021779,0
0.047433,0.044465,0.023304,0.024501,0
0.054388,0.045372,0.030259,0.025408,0
0.051699,0.049002,0.02757,0.029038,0
0.037665,0.061706,0.013536,0.041742,0
0.034749,0.061706,0.01062,0.041742,0
0.034479,0.067151,0.01035,0.047187,0
0.033872,0.066243,0.0097432,0.046279,0
0.028522,0.059891,0.0043931,0.039927,0
0.038485,0.050817,0.014356,0.030853,0
0.052006,0.034483,0.027877,0.014519,0
0.060716,0.038113,0.036587,0.018149,0
0.054234,0.054446,0.030105,0.034483,0
0.044913,0.052632,0.020784,0.032668,0
0.04473,0.045372,0.020601,0.025408,0
0.03945,0.045372,0.015321,0.025408,0
0.042355,0.048094,0.018226,0.028131,0
0.047376,0.053539,0.023247,0.033575,0
0.045213,0.046279,0.021084,0.026316,0
0.043067,0.055354,0.018938,0.03539,0
0.041835,0.068966,0.017706,0.049002,0
0.04224,0.073503,0.018111,0.053539,0
0.044509,0.064428,0.02038,0.044465,0
0.04489,0.058984,0.020761,0.03902,0
0.045016,0.065336,0.020887,0.045372,0
0.037895,0.084392,0.013766,0.064428,0
0.036997,0.07804,0.012868,0.058076,0
0.03773,0.068058,0.013601,0.048094,0
0.0361,0.07441,0.011971,0.054446,0
0.04606,0.068058,0.021931,0.048094,0
0.051892,0.068966,0.027763,0.049002,0
0.046874,0.068058,0.022745,0.048094,0
0.051143,0.055354,0.027014,0.03539,0
0.062801,0.048094,0.038672,0.028131,0
0.075789,0.048094,0.05166,0.028131,0
0.084307,0.03176,0.060178,0.011797,0
0.07809,0.029946,0.053961,0.0099819,0
0.069597,0.049002,0.045468,0.029038,0
0.079034,0.056261,0.054905,0.036298,0
0.081584,0.053539,0.057455,0.033575,0
0.070699,0.068058,0.04657,0.048094,0
0.060154,0.076225,0.036025,0.056261,0
0.047221,0.071688,0.023092,0.051724,0
0.040515,0.058984,0.016386,0.03902,0
0.038071,0.046279,0.013942,0.026316,0
0.045764,0.039927,0.021635,0.019964,0
0.055151,0.038113,0.031022,0.018149,0
0.097872,0.055354,0.073743,0.03539,0
0.10634,0.07441,0.082209,0.054446,0
0.095459,0.059891,0.07133,0.039927,0
0.099095,0.049002,0.074966,0.029038,0
0.098085,0.058076,0.073956,0.038113,1
0.10546,0.049909,0.081328,0.029946,1
0.10119,0.040835,0.077061,0.020871,1
0.099743,0.043557,0.075614,0.023593,1
0.14411,0.03902,0.11998,0.019056,1
0.14989,0.038113,0.12576,0.018149,1
0.11756,0.044465,0.093435,0.024501,1
0.11913,0.041742,0.095002,0.021779,1
0.12394,0.047187,0.099809,0.027223,1
0.13527,0.047187,0.11114,0.027223,1
0.13924,0.04265,0.11511,0.022686,1
0.139,0.045372,0.11487,0.025408,1
0.12736,0.046279,0.10323,0.026316,1
0.10517,0.048094,0.081037,0.028131,1
0.10552,0.048094,0.081395,0.028131,1
0.11025,0.053539,0.086122,0.033575,1
0.10454,0.060799,0.080413,0.040835,1
0.097794,0.056261,0.073665,0.036298,1
0.09569,0.053539,0.071561,0.033575,1
0.099821,0.045372,0.075692,0.025408,1
0.11512,0.036298,0.090987,0.016334,1
0.12173,0.033575,0.097601,0.013612,1
0.11918,0.028131,0.095048,0.008167,1
0.11716,0.03176,0.093032,0.011797,1
0.10439,0.048094,0.080263,0.028131,1
0.088837,0.054446,0.064708,0.034483,1
0.087058,0.046279,0.062929,0.026316,1
0.088011,0.045372,0.063882,0.025408,1
0.085764,0.048094,0.061635,0.028131,1
0.08929,0.050817,0.065161,0.030853,1
0.08861,0.048094,0.064481,0.028131,1
0.086871,0.046279,0.062742,0.026316,1
0.086921,0.046279,0.062792,0.026316,1
0.077942,0.049002,0.053813,0.029038,1
0.071922,0.049002,0.047793,0.029038,1
0.071546,0.049002,0.047417,0.029038,1
0.08049,0.049909,0.056361,0.029946,1
0.087282,0.040835,0.063153,0.020871,1
0.085735,0.040835,0.061606,0.020871,1
0.084314,0.046279,0.060185,0.026316,1
0.08438,0.03902,0.060251,0.019056,1
0.089093,0.041742,0.064964,0.021779,1
0.087595,0.049909,0.063466,0.029946,1
0.085666,0.04265,0.061537,0.022686,1
0.080733,0.046279,0.056604,0.026316,1
0.079133,0.067151,0.055004,0.047187,1
0.089613,0.07804,0.065484,0.058076,1
0.099465,0.059891,0.075336,0.039927,1
0.10708,0.048094,0.082949,0.028131,1
0.21538,0.039927,0.19125,0.019964,1
0.35677,0.024501,0.33265,0.0045372,1
0.41911,0.024501,0.39499,0.0045372,1
0.4034,0.024501,0.37927,0,1
0.43792,0.026316,0.4138,0.0018149,1
0.52483,0.03176,0.5007,0.0072595,1
0.61714,0.030853,0.59301,0.0063521,1
0.65645,0.028131,0.63232,0.0036298,1
0.63438,0.026316,0.61025,0.0018149,1
0.59035,0.024501,0.56622,0,1
0.53063,0.023593,0.5065,0,1
0.44252,0.023593,0.41839,0,1
0.34434,0.023593,0.32021,0,1
0.31922,0.022686,0.29509,0,1
0.29108,0.021779,0.26695,0,1
0.23984,0.027223,0.21571,0.0054446,1
0.20543,0.033575,0.18131,0.011797,1
0.1934,0.040835,0.16927,0.019056,1
0.18219,0.049909,0.15806,0.028131,1
0.17371,0.049002,0.14958,0.027223,1
0.18705,0.039927,0.16292,0.018149,1
0.18962,0.038113,0.1655,0.016334,1
0.1865,0.041742,0.16237,0.019964,1
0.18928,0.03539,0.16515,0.013612,1
0.18775,0.032668,0.16362,0.010889,1
0.18536,0.033575,0.16123,0.011797,1
0.17998,0.040835,0.15585,0.019056,1
0.15683,0.065336,0.1327,0.043557,1
0.15569,0.060799,0.13156,0.03902,1
0.17575,0.03902,0.15095,0.017241,1
0.17516,0.034483,0.15036,0.012704,1
0.17117,0.043557,0.14637,0.021779,1
0.1778,0.047187,0.153,0.025408,1
0.21199,0.038113,0.18719,0.016334,1
0.25276,0.03176,0.22796,0.0099819,1
0.26288,0.028131,0.23808,0.0063521,1
0.23088,0.046279,0.20608,0.024501,1
0.19053,0.058984,0.16289,0.037205,1
0.20923,0.048094,0.18159,0.026316,1
0.21764,0.050817,0.19,0.029038,1
0.22179,0.051724,0.19415,0.029946,1
0.22803,0.044465,0.20039,0.022686,1
0.21269,0.043557,0.18505,0.021779,1
0.22184,0.044465,0.1942,0.022686,1
0.25026,0.04265,0.22262,0.020871,1
0.28933,0.038113,0.26081,0.016334,1
0.31965,0.037205,0.29113,0.015426,1
0.3313,0.033575,0.30278,0.011797,1
0.33596,0.03539,0.30744,0.013612,1
0.34846,0.03539,0.31994,0.013612,1
0.36663,0.028131,0.33811,0.0063521,1
0.36761,0.03176,0.33909,0.0099819,1
0.37144,0.037205,0.34292,0.015426,1
0.39256,0.03176,0.36404,0.0099819,1
0.38353,0.025408,0.355,0.0036298,1
0.36551,0.028131,0.33698,0.0063521,1
0.37154,0.025408,0.34301,0.0036298,1
0.35231,0.023593,0.32379,0.0018149,1
0.3216,0.025408,0.29308,0.0036298,1
0.32724,0.024501,0.29872,0.0027223,1
0.39859,0.022686,0.37007,0.00090744,1
0.47213,0.021779,0.4436,0,1
0.50607,0.021779,0.47755,0,1
0.51667,0.020871,0.48814,0,1
0.49978,0.020871,0.47126,0,1
0.46064,0.019964,0.43212,0,1
0.37351,0.019964,0.34499,0,1
0.27884,0.019964,0.25032,0,1
0.21642,0.052632,0.1879,0.032668,1
0.14654,0.072595,0.11801,0.052632,1
0.1153,0.063521,0.086781,0.043557,1
0.092104,0.069873,0.063582,0.049909,1
0.080097,0.059891,0.051575,0.039927,0
0.094141,0.072595,0.065619,0.052632,0
0.094217,0.093466,0.065695,0.073503,0
0.081864,0.087114,0.053342,0.067151,0
0.070088,0.090744,0.041566,0.07078,0
0.064001,0.092559,0.035479,0.072595,0
0.056938,0.096189,0.028416,0.076225,0
0.052343,0.098911,0.023821,0.078947,0
0.056065,0.089837,0.027543,0.069873,0
0.053515,0.07441,0.024993,0.054446,0
0.050155,0.069873,0.021633,0.049909,0
