@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0.0018094,0,0,0,0,0,0,0,0
0.061444,0.049002,0.014567,1,28,0,0,0.012758,1,28,0
0.053477,0.049002,0.0024564,0,0,0,0,0.00064707,0,0,0
0.048074,0.060799,0.0097519,0,0,0,0.011797,0.0079425,0,0,0
0.0453,0.060799,0.012921,1,23,0,0.011797,0.011111,1,23,1
0.062414,0.049002,0.017711,1,28,0.017114,0,0.015902,1,28,1
0.11699,0.049002,0.014926,2,15,0.071691,0,0.013117,2,15,1
0.14549,0.049909,0.027613,1,15,0.10019,0.00090744,0.025804,1,15,1
0.15196,0.054446,0.032404,2,15,0.10666,0.0054446,0.030594,2,15,1
0.16855,0.058076,0.043761,2,15,0.12325,0.0090744,0.041951,2,15,1
0.18053,0.058076,0.040352,3,15,0.13523,0.0090744,0.038543,3,15,1
0.21462,0.058076,0.04356,3,15,0.16932,0.0090744,0.041751,3,15,1
0.26675,0.050817,0.05012,3,15,0.22145,0.0018149,0.048311,3,15,1
0.26697,0.056261,0.046821,4,4,0.22167,0.0072595,0.045012,4,4,1
0.25182,0.064428,0.057759,3,15,0.20652,0.015426,0.05595,3,15,1
0.26081,0.061706,0.053588,4,4,0.21551,0.012704,0.051778,4,4,1
0.26094,0.068058,0.06251,3,13,0.21564,0.019056,0.0607,3,13,1
0.25732,0.075318,0.060274,4,4,0.21202,0.026316,0.058464,4,4,1
0.27439,0.072595,0.064799,4,4,0.22909,0.023593,0.062989,4,4,1
0.32387,0.058984,0.068461,4,4,0.27857,0.0099819,0.066652,4,4,1
0.30599,0.066243,0.040232,3,15,0.26069,0.017241,0.038423,3,15,1
0.27933,0.068058,0.052064,4,4,0.23403,0.019056,0.050254,4,4,1
0.2659,0.07078,0.058045,4,4,0.2206,0.021779,0.056235,4,4,1
0.23467,0.086207,0.060266,4,4,0.18937,0.037205,0.058457,4,4,1
0.2458,0.086207,0.042851,4,4,0.2005,0.037205,0.041041,4,4,1
0.23513,0.090744,0.039919,3,13,0.18983,0.041742,0.03811,3,13,1
0.24446,0.083485,0.04229,4,4,0.19916,0.034483,0.040481,4,4,1
0.26087,0.060799,0.043775,4,4,0.21557,0.011797,0.041966,4,4,1
0.26771,0.051724,0.040154,4,4,0.22241,0.0027223,0.038345,4,4,1
0.28216,0.051724,0.036451,3,4,0.23687,0.0027223,0.034642,3,4,1
0.30426,0.041742,0.038154,3,4,0.25896,0,0.036345,3,4,1
0.31609,0.037205,0.042914,3,4,0.27079,0,0.041105,3,4,1
0.30133,0.046279,0.036839,5,4,0.25603,0.0090744,0.035029,5,4,1
0.28428,0.052632,0.044929,4,4,0.23898,0.015426,0.04312,4,4,1
0.28008,0.051724,0.043492,4,5,0.23478,0.014519,0.041683,4,5,1
