@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2096.7,4.286,516.8,1.2534,10,2024.4,0.0058656,387.6,0.91661,3,0
2189.2,4.3901,538.33,1.1843,10,2117,0.10996,409.13,0.84749,3,0
2328.6,4.3746,538.33,1.1994,10,2256.3,0.094493,409.13,0.86259,3,0
2432.9,4.3321,538.33,1.2849,10,2360.6,0.051977,409.13,0.94806,3,0
2613.6,4.3822,516.8,1.2118,10,2541.3,0.10204,387.6,0.87495,3,0
2537.8,4.3628,516.8,1.1228,9,2465.6,0.082731,387.6,0.78596,2,0
1569.8,4.723,516.8,0.89099,9,1497.6,0.4429,387.6,0.55419,2,0
1779.1,4.613,495.26,0.87953,9,1706.8,0.33292,366.06,0.54273,2,0
2117.9,4.5088,495.26,0.85062,9,2045.6,0.22867,366.06,0.51382,2,0
1443.8,4.6597,215.33,0.48103,10,1371.5,0.37958,86.133,0.14423,3,0
1834.8,4.429,409.13,0.86364,8,1762.5,0.14889,279.93,0.52684,1,0
1809.3,4.5643,387.6,0.86519,7,1737,0.28419,258.4,0.52839,0,0
1453.3,4.408,495.26,0.69525,9,1381,0.12788,366.06,0.35845,2,0
782.22,4.716,473.73,0.6928,9,709.96,0.43586,344.53,0.356,2,0
606.29,4.798,516.8,0.49232,8,534.02,0.51787,387.6,0.15552,1,0
634.26,4.8978,516.8,0.68173,10,561.99,0.61772,387.6,0.34493,3,0
442.05,5.1613,409.13,0.53089,12,369.79,0.88115,279.93,0.19409,5,0
346.2,5.3249,366.06,0.55001,12,273.94,1.0448,236.87,0.21321,5,1
906.02,5.13,538.33,0.46931,9,833.76,0.84989,409.13,0.13251,2,1
1010.8,5.1222,473.73,1.0196,9,938.56,0.84206,344.53,0.68282,2,1
1690,5.0571,473.73,1.3205,9,1617.7,0.77697,344.53,0.98371,2,1
1890.7,5.0213,473.73,1.2119,9,1818.5,0.74121,344.53,0.87507,2,1
1774.2,4.9786,473.73,1.1182,13,1701.9,0.69844,344.53,0.78144,6,1
2449.8,4.9737,495.26,1.2992,15,2377.5,0.69362,366.06,0.96239,8,1
2692.3,5.0723,495.26,1.1313,15,2620,0.79214,366.06,0.79447,8,1
2764.8,4.9514,495.26,1.0199,21,2692.6,0.67125,366.06,0.68312,14,1
2571.1,4.9823,495.26,1.1368,18,2498.9,0.70221,366.06,0.79999,11,1
2192.9,4.9942,495.26,1.2171,9,2120.6,0.71407,366.06,0.88032,2,1
2066.9,5.0173,495.26,1.2344,19,1994.6,0.73714,366.06,0.89761,12,1
2532.4,4.9798,473.73,1.4441,20,2460.2,0.69968,344.53,1.1073,13,1
2255.5,5.088,495.26,1.2013,22,2183.2,0.80786,366.06,0.8645,15,1
2135.5,5.0977,495.26,1.2814,31,2063.2,0.81755,366.06,0.94457,24,1
2405.1,4.9979,473.73,1.2644,15,2332.9,0.71778,344.53,0.92763,8,1
2521,4.9706,473.73,1.3363,9,2448.7,0.69051,344.53,0.99953,2,1
2035.4,5.0454,495.26,1.2042,9,1963.1,0.7653,366.06,0.86744,2,1
2412.1,4.9027,495.26,1.3385,9,2339.8,0.62261,366.06,1.0017,2,1
2544.6,4.9687,473.73,1.1838,9,2472.3,0.68855,344.53,0.84697,2,1
2267.2,4.9184,473.73,1.1782,14,2195,0.6383,344.53,0.84144,7,1
2584.4,5.0278,473.73,1.2392,9,2512.2,0.74767,344.53,0.90244,2,1
2446.2,5.109,473.73,1.0209,8,2374,0.82891,344.53,0.68408,1,1
2347.5,4.9683,452.2,1.0559,8,2275.2,0.68818,323,0.71911,1,1
2149.9,4.9948,452.2,1.1875,10,2077.6,0.71465,323,0.85072,3,1
1999.6,5.0933,452.2,1.0275,24,1927.3,0.81322,323,0.69073,17,1
1503.1,5.2583,452.2,1.0891,26,1430.9,0.97815,323,0.75227,19,1
1384.9,5.1908,452.2,0.96478,68,1312.7,0.91069,323,0.62798,61,1
1603,5.1171,452.2,1.0098,82,1530.8,0.83701,323,0.67296,75,1
1434.6,5.1611,452.2,1.1097,55,1362.3,0.88097,323,0.77292,48,1
1694.8,5.1437,452.2,1.242,48,1622.5,0.86363,323,0.90525,41,1
1539.1,5.1452,452.2,1.0647,25,1466.9,0.86512,323,0.72794,18,1
1678.8,5.085,452.2,1.184,9,1606.6,0.80491,323,0.84718,2,1
1906.6,5.0448,452.2,1.236,15,1834.3,0.76468,323,0.89924,8,1
2021.5,5.0565,452.2,1.0452,16,1949.2,0.77635,323,0.70836,9,1
2190.6,5.0591,452.2,0.90612,26,2118.4,0.77903,323,0.56932,19,1
1852.1,5.1588,452.2,0.94801,27,1779.8,0.87872,323,0.61121,20,1
1800.3,4.9945,473.73,1.2148,13,1728,0.71435,344.53,0.87799,6,1
1693,5.0559,473.73,1.2389,11,1620.7,0.77581,344.53,0.9021,4,1
1785.4,5.0447,473.73,1.2605,9,1713.1,0.7646,344.53,0.92373,2,1
1900.5,5.0317,473.73,1.3462,20,1828.3,0.75159,344.53,1.0094,13,1
1983,5.0257,473.73,1.2548,25,1910.7,0.74556,344.53,0.91803,18,1
1979.3,5.0266,473.73,1.2472,34,1907,0.74651,344.53,0.91039,27,1
1804.3,5.192,452.2,1.1047,23,1732,0.91185,323,0.76787,16,1
1683.5,5.1815,452.2,0.98888,24,1611.2,0.9014,323,0.65208,17,1
1728.5,5.1941,452.2,0.9031,24,1656.3,0.91402,323,0.56629,17,1
1604.4,5.1206,452.2,0.9942,23,1532.1,0.84044,323,0.6574,16,1
1666,5.1577,452.2,1.0116,22,1593.7,0.8776,323,0.67482,15,1
1677.7,5.1592,452.2,0.97815,24,1605.5,0.87908,323,0.64134,17,1
1813.3,5.1745,430.66,0.84909,22,1741,0.8944,301.46,0.51229,15,1
1894.9,5.1254,452.2,0.86549,18,1822.7,0.84526,323,0.52869,11,1
1644.7,5.1561,452.2,0.91432,21,1572.5,0.87598,323,0.57752,14,1
1873,5.0313,430.66,1.0142,21,1800.8,0.75116,301.46,0.67744,14,1
1718,4.9284,452.2,1.1135,17,1645.7,0.64829,323,0.7767,10,1
1516.2,5.1279,452.2,0.98631,22,1444,0.84777,323,0.64951,15,1
1907.8,4.9865,452.2,1.0032,39,1835.6,0.70639,323,0.6664,32,1
1703.9,4.9049,452.2,1.1788,40,1631.6,0.62474,323,0.84204,33,1
1682.6,4.8501,452.2,1.2647,40,1610.3,0.56997,323,0.92789,33,1
1626.9,4.7649,452.2,1.2526,40,1554.6,0.48476,323,0.91576,33,1
1700.2,4.7555,452.2,1.2583,40,1627.9,0.47536,323,0.92153,33,1
1905.8,4.7437,473.73,1.3222,40,1833.5,0.46359,344.53,0.9854,33,1
2084.4,4.8242,473.73,1.2719,24,2012.2,0.5441,344.53,0.93513,17,1
2257.5,4.7024,473.73,1.4728,10,2185.3,0.42232,344.53,1.136,3,1
2287.1,4.8561,473.73,1.4861,9,2214.9,0.57602,344.53,1.1493,2,1
2072.4,4.6297,473.73,1.4916,34,2000.1,0.34962,344.53,1.1548,27,1
2235.7,4.6427,473.73,1.4765,14,2163.4,0.36256,344.53,1.1397,7,1
2119.8,4.5734,473.73,1.5036,9,2047.5,0.29325,344.53,1.1668,2,1
2210.9,4.5785,495.26,1.5215,9,2138.6,0.29834,366.06,1.1847,2,1
2258.6,4.6406,495.26,1.4738,9,2186.3,0.36046,366.06,1.137,2,1
2369.1,4.6264,495.26,1.4122,9,2296.8,0.34631,366.06,1.0754,2,1
2611.7,4.6641,495.26,1.4524,9,2539.4,0.38394,366.06,1.1156,2,1
2712.3,4.6564,495.26,1.4223,9,2640.1,0.37626,366.06,1.0855,2,1
2758.7,4.8039,495.26,1.3535,9,2686.4,0.52374,366.06,1.0167,2,1
2426,4.8311,495.26,1.2218,9,2353.7,0.55097,366.06,0.88498,2,1
2748.4,4.8028,495.26,1.3728,9,2676.2,0.52266,366.06,1.036,2,1
2678,4.8448,495.26,1.2971,9,2605.8,0.56469,366.06,0.96031,2,1
2762.5,4.8527,495.26,1.197,9,2690.2,0.57254,366.06,0.86021,2,1
2879.1,4.8485,473.73,1.2798,9,2806.8,0.56836,344.53,0.94295,2,1
2890.3,4.7771,473.73,1.345,9,2818.1,0.49703,344.53,1.0082,2,1
2576.2,4.8117,473.73,1.3389,9,2504,0.53155,344.53,1.0021,2,1
2619.7,4.801,473.73,1.2934,9,2547.5,0.52088,344.53,0.95657,2,1
2530.3,4.8589,473.73,1.1186,9,2458,0.57882,344.53,0.78176,2,1
3560.3,5.12,473.73,0.83022,14,3488.1,0.8399,344.53,0.49342,7,1
4994.1,5.0339,473.73,0.59826,24,4921.9,0.75379,344.53,0.26146,17,1
4030.5,5.026,452.2,0.74884,14,3958.2,0.74587,323,0.41204,7,1
7526.1,4.9686,452.2,0.96818,12,7453.8,0.68846,323,0.63138,5,1
6494.9,5.0005,258.4,0.58862,17,6422.6,0.72036,129.2,0.25181,10,1
7411.8,4.8553,430.66,0.52436,17,7339.6,0.57517,301.46,0.18756,10,1
6086.4,4.8394,258.4,0.45971,16,6014.2,0.55924,129.2,0.12291,9,1
5696.8,4.84,258.4,0.6219,12,5624.5,0.55985,129.2,0.2851,5,1
5746.6,4.7268,301.46,0.55564,14,5674.3,0.44671,172.27,0.21884,7,1
4482,4.874,732.13,0.46143,13,4409.8,0.59388,602.93,0.12463,6,1
4654.2,4.7879,430.66,0.63061,13,4582,0.50775,301.46,0.29381,6,1
3459.6,4.7418,430.66,0.64435,8,3387.3,0.46166,301.46,0.30755,1,1
3515.6,5.1251,107.67,0.41764,25,3443.3,0.84503,0,0.080839,18,1
3594.2,5.1561,107.67,0.30303,28,3521.9,0.87603,0,0,21,1
1928.6,5.124,409.13,0.39105,29,1856.3,0.84394,301.46,0.088026,22,1
2383.4,4.8971,86.133,0.30924,15,2311.1,0.61701,0,0.0062177,8,1
2289.7,4.7818,107.67,0.44294,9,2217.4,0.50167,21.533,0.13991,2,1
1694,4.962,107.67,0.44064,13,1621.7,0.68188,21.533,0.13761,6,1
1482.2,4.8587,279.93,0.35317,14,1410,0.57855,193.8,0.050141,7,1
1865.1,4.7826,710.6,0.43318,14,1792.8,0.50251,624.46,0.13016,7,1
2278.3,4.8436,107.67,0.40908,12,2206,0.5635,21.533,0.10605,5,1
1965.7,5.3771,107.67,0.2566,26,1893.4,1.097,21.533,0,19,1
3222.8,5.6116,344.53,0.35309,35,3150.5,1.3315,258.4,0.09649,28,1
2088.2,5.4274,366.06,0.54349,25,2015.9,1.1473,279.93,0.28689,18,1
2109.5,5.2749,495.26,0.67218,17,2037.2,0.99476,409.13,0.41558,10,1
1821.6,5.1243,344.53,0.8453,11,1749.3,0.84422,258.4,0.5887,4,1
1501.2,5.0981,344.53,0.86976,10,1428.9,0.81801,258.4,0.61316,3,1
774.59,5.2882,366.06,0.46593,24,702.33,1.0081,279.93,0.20933,17,1
