@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.28428,0.052632,3048.1,4.9676,495.26,0.044929,4,4,1.403,9,0.23898,0.015426,2975.8,0.10228,344.53,0.04312,4,4,0.98165,0,1
0.28008,0.051724,2881.1,5.0934,516.8,0.043492,4,5,1.3717,9,0.23478,0.014519,2808.9,0.22809,366.06,0.041683,4,5,0.95038,0,1
0.29564,0.049909,3169.9,4.9872,516.8,0.055349,5,5,1.4599,9,0.25034,0.012704,3097.7,0.12191,366.06,0.05354,5,5,1.0386,0,1
0.32139,0.047187,3580.9,5.024,516.8,0.046061,4,3,1.4267,9,0.27609,0.0099819,3508.7,0.15865,366.06,0.044251,4,3,1.0054,0,1
0.33868,0.046279,4088.8,4.9809,516.8,0.036224,5,3,1.3786,9,0.29338,0.0090744,4016.5,0.11555,366.06,0.034415,5,3,0.95728,0,1
0.34643,0.049909,4367.3,5.015,516.8,0.046994,5,3,1.2993,9,0.30113,0.012704,4295.1,0.14963,366.06,0.045184,5,3,0.87797,0,1
0.37074,0.043557,4104,4.9773,516.8,0.038382,3,3,1.3817,9,0.32544,0.0063521,4031.7,0.11196,366.06,0.036572,3,3,0.96036,0,1
0.40237,0.029946,4152.1,4.7876,516.8,0.024213,4,4,1.5393,10,0.35707,0,4079.8,0,366.06,0.022403,4,4,1.1179,1,1
0.39803,0.026316,3869.3,4.8514,516.8,0.05069,4,4,1.4807,10,0.35273,0,3797,0.063824,366.06,0.048881,4,4,1.0593,1,1
0.38175,0.033575,3978.2,4.7989,516.8,0.051002,4,4,1.5627,10,0.33645,0.0072595,3906,0.011241,366.06,0.049192,4,4,1.1414,1,1
