@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.085269,0.040835,0.68173,10,0.03997,0.022686,0.34493,3,0
0.089299,0.03176,0.53089,12,0.043999,0.013612,0.19409,5,0
0.072387,0.026316,0.55001,12,0.027088,0.008167,0.21321,5,1
0.1074,0.026316,0.46931,9,0.062098,0.008167,0.13251,2,1
0.14542,0.032668,1.0196,9,0.10012,0.014519,0.68282,2,1
0.17284,0.039927,1.3205,9,0.12754,0.021779,0.98371,2,1
0.19655,0.044465,1.2119,9,0.15125,0.026316,0.87507,2,1
0.21816,0.03902,1.1182,13,0.17286,0.020871,0.78144,6,1
0.22765,0.036298,1.2992,15,0.18235,0.018149,0.96239,8,1
0.23562,0.039927,1.1313,15,0.19032,0.021779,0.79447,8,1
0.23031,0.046279,1.0199,21,0.18501,0.028131,0.68312,14,1
0.23054,0.045372,1.1368,18,0.18524,0.027223,0.79999,11,1
0.23116,0.047187,1.2171,9,0.18586,0.029038,0.88032,2,1
0.21844,0.051724,1.2344,19,0.17314,0.033575,0.89761,12,1
0.23124,0.045372,1.4441,20,0.18594,0.027223,1.1073,13,1
0.22764,0.051724,1.2013,22,0.18234,0.033575,0.8645,15,1
0.22034,0.057169,1.2814,31,0.17504,0.03902,0.94457,24,1
0.22881,0.049909,1.2644,15,0.18351,0.03176,0.92763,8,1
0.23439,0.040835,1.3363,9,0.18909,0.022686,0.99953,2,1
0.22957,0.040835,1.2042,9,0.18427,0.022686,0.86744,2,1
0.24012,0.039927,1.3385,9,0.19482,0.021779,1.0017,2,1
0.24131,0.044465,1.1838,9,0.19601,0.026316,0.84697,2,1
0.23754,0.050817,1.1782,14,0.19224,0.032668,0.84144,7,1
0.24412,0.044465,1.2392,9,0.19882,0.026316,0.90244,2,1
0.21906,0.046279,1.0209,8,0.17376,0.028131,0.68408,1,1
0.20799,0.041742,1.0559,8,0.16269,0.023593,0.71911,1,1
0.20032,0.052632,1.1875,10,0.15503,0.034483,0.85072,3,1
0.18012,0.069873,1.0275,24,0.13482,0.051724,0.69073,17,1
