@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
2544.6,4.9687,473.73,2472.3,0.68855,344.53,1
2267.2,4.9184,473.73,2195,0.6383,344.53,1
2584.4,5.0278,473.73,2512.2,0.74767,344.53,1
2446.2,5.109,473.73,2374,0.82891,344.53,1
2347.5,4.9683,452.2,2275.2,0.68818,323,1
2149.9,4.9948,452.2,2077.6,0.71465,323,1
1999.6,5.0933,452.2,1927.3,0.81322,323,1
1503.1,5.2583,452.2,1430.9,0.97815,323,1
1384.9,5.1908,452.2,1312.7,0.91069,323,1
1603,5.1171,452.2,1530.8,0.83701,323,1
1434.6,5.1611,452.2,1362.3,0.88097,323,1
1694.8,5.1437,452.2,1622.5,0.86363,323,1
1539.1,5.1452,452.2,1466.9,0.86512,323,1
1678.8,5.085,452.2,1606.6,0.80491,323,1
1906.6,5.0448,452.2,1834.3,0.76468,323,1
2021.5,5.0565,452.2,1949.2,0.77635,323,1
2190.6,5.0591,452.2,2118.4,0.77903,323,1
1852.1,5.1588,452.2,1779.8,0.87872,323,1
1800.3,4.9945,473.73,1728,0.71435,344.53,1
1693,5.0559,473.73,1620.7,0.77581,344.53,1
1785.4,5.0447,473.73,1713.1,0.7646,344.53,1
1900.5,5.0317,473.73,1828.3,0.75159,344.53,1
1983,5.0257,473.73,1910.7,0.74556,344.53,1
1979.3,5.0266,473.73,1907,0.74651,344.53,1
1804.3,5.192,452.2,1732,0.91185,323,1
1683.5,5.1815,452.2,1611.2,0.9014,323,1
1728.5,5.1941,452.2,1656.3,0.91402,323,1
1604.4,5.1206,452.2,1532.1,0.84044,323,1
1666,5.1577,452.2,1593.7,0.8776,323,1
1677.7,5.1592,452.2,1605.5,0.87908,323,1
1813.3,5.1745,430.66,1741,0.8944,301.46,1
1894.9,5.1254,452.2,1822.7,0.84526,323,1
1644.7,5.1561,452.2,1572.5,0.87598,323,1
1873,5.0313,430.66,1800.8,0.75116,301.46,1
1718,4.9284,452.2,1645.7,0.64829,323,1
1516.2,5.1279,452.2,1444,0.84777,323,1
1907.8,4.9865,452.2,1835.6,0.70639,323,1
1703.9,4.9049,452.2,1631.6,0.62474,323,1
1682.6,4.8501,452.2,1610.3,0.56997,323,1
1626.9,4.7649,452.2,1554.6,0.48476,323,1
1700.2,4.7555,452.2,1627.9,0.47536,323,1
1905.8,4.7437,473.73,1833.5,0.46359,344.53,1
2084.4,4.8242,473.73,2012.2,0.5441,344.53,1
2257.5,4.7024,473.73,2185.3,0.42232,344.53,1
2287.1,4.8561,473.73,2214.9,0.57602,344.53,1
2072.4,4.6297,473.73,2000.1,0.34962,344.53,1
2235.7,4.6427,473.73,2163.4,0.36256,344.53,1
2119.8,4.5734,473.73,2047.5,0.29325,344.53,1
2210.9,4.5785,495.26,2138.6,0.29834,366.06,1
2258.6,4.6406,495.26,2186.3,0.36046,366.06,1
2369.1,4.6264,495.26,2296.8,0.34631,366.06,1
2611.7,4.6641,495.26,2539.4,0.38394,366.06,1
2712.3,4.6564,495.26,2640.1,0.37626,366.06,1
2758.7,4.8039,495.26,2686.4,0.52374,366.06,1
2426,4.8311,495.26,2353.7,0.55097,366.06,1
2748.4,4.8028,495.26,2676.2,0.52266,366.06,1
2678,4.8448,495.26,2605.8,0.56469,366.06,1
2762.5,4.8527,495.26,2690.2,0.57254,366.06,1
