@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.86976,10,0.61316,3,1
0.46593,24,0.20933,17,1
0.30778,35,0.051175,28,1
0.40453,26,0.14793,19,1
0.42961,18,0.17301,11,1
0.40645,19,0.14985,12,1
0.49542,18,0.23882,11,0
0.68456,16,0.42796,9,0
0.31689,31,0.060291,24,0
0.48979,19,0.23319,12,0
0.56947,15,0.31286,8,0
0.62229,9,0.36569,2,0
0.71007,12,0.45347,5,0
0.40701,20,0.15041,13,0
0.50266,15,0.24606,8,0
0.48791,14,0.23131,7,0
0.30251,26,0.04591,19,0
0.36895,19,0.11235,12,0
0.41064,12,0.15404,5,0
0.29416,19,0.037556,12,0
0.31692,25,0.060319,18,0
0.31743,29,0.060826,22,0
0.52536,22,0.26876,15,0
0.38283,29,0.12623,22,0
0.2943,37,0.037695,30,0
0.47495,25,0.21835,18,0
0.46263,22,0.20603,15,0
0.51553,22,0.25893,15,0
0.54855,17,0.29195,10,0
0.52892,17,0.27232,10,0
0.40987,13,0.15327,6,0
0.41745,18,0.16085,11,0
0.32427,26,0.067665,19,0
0.26365,32,0.0070441,25,0
0.53228,22,0.27568,15,0
0.71496,12,0.45836,5,0
0.46802,19,0.21142,12,0
0.46332,19,0.20672,12,0
0.67788,22,0.42128,15,0
0.78319,22,0.52659,15,0
0.97971,14,0.72311,7,0
0.84779,15,0.59119,8,0
0.66521,18,0.40861,11,0
0.48502,20,0.22842,13,0
0.53159,25,0.27499,18,0
0.33194,41,0.075335,34,0
0.7018,20,0.4452,13,0
0.54463,18,0.28802,11,0
0.8169,15,0.5603,8,0
0.70963,14,0.45303,7,0
0.62027,13,0.36366,6,0
0.49556,14,0.23896,7,0
0.49277,18,0.23617,11,0
0.82178,13,0.56518,6,0
0.71922,16,0.46262,9,0
0.77073,14,0.51413,7,0
0.8395,14,0.5829,7,0
0.78291,14,0.52631,7,0
0.68803,14,0.43143,7,0
0.81006,15,0.55346,8,0
0.81551,15,0.55891,8,0
0.37629,24,0.11969,17,0
0.35825,22,0.10165,15,0
0.37381,22,0.1172,15,0
0.32374,26,0.067139,19,0
0.45425,20,0.19765,13,0
0.66494,10,0.40834,3,0
0.64832,8,0.39171,1,0
0.46486,9,0.20826,2,0
0.7457,10,0.4891,3,0
0.79786,10,0.54126,3,0
0.59108,11,0.33448,4,0
0.35692,17,0.10032,10,0
0.579,11,0.3224,4,0
0.5945,14,0.3379,7,0
0.3485,19,0.091896,12,0
0.44225,14,0.18565,7,0
0.41704,15,0.16044,8,0
0.48902,20,0.23241,13,0
0.62176,10,0.36516,3,0
0.5947,9,0.3381,2,0
0.94953,8,0.69293,1,0
0.7401,8,0.4835,1,0
0.41627,14,0.15967,7,0
0.55716,12,0.30056,5,0
0.52753,13,0.27093,6,0
0.49039,15,0.23379,8,0
0.37751,18,0.1209,11,0
0.52716,22,0.27056,15,0
0.75331,15,0.49671,8,0
0.58308,20,0.32647,13,0
0.76521,21,0.50861,14,0
0.55202,16,0.29542,9,0
0.84287,12,0.58627,5,0
0.44891,18,0.1923,11,0
0.466,14,0.2094,7,0
0.56622,24,0.30962,17,0
0.62921,25,0.37261,18,0
0.44025,29,0.18365,22,0
0.4492,37,0.1926,30,0
0.40573,16,0.14913,9,0
0.57263,17,0.31603,10,0
0.60646,16,0.34986,9,0
0.43208,21,0.17548,14,0
0.5085,33,0.2519,26,0
0.44892,28,0.19232,21,0
0.4957,24,0.2391,17,0
0.54215,35,0.28555,28,0
0.51429,23,0.25769,16,0
0.52183,11,0.26523,4,0
0.7089,7,0.4523,0,0
0.59588,8,0.33928,1,0
0.4448,11,0.1882,4,0
0.25002,29,0,22,0
0.28774,35,0.037717,28,0
0.40544,31,0.15541,24,0
0.3586,29,0.10858,22,0
0.33533,41,0.085308,34,0
0.28503,28,0.035007,21,0
0.38742,26,0.1374,19,0
0.29037,34,0.040348,27,0
0.38425,22,0.13423,15,0
0.42607,16,0.17605,9,0
0.86692,17,0.61689,10,0
0.71922,17,0.46919,10,0
0.47066,16,0.22064,9,0
0.62835,20,0.37833,13,0
0.61378,15,0.36375,8,0
0.50086,13,0.25084,6,0
0.4305,24,0.18048,17,0
0.34914,31,0.099115,24,0
0.45306,27,0.20304,20,0
0.35065,28,0.10063,21,0
0.46111,24,0.21109,17,0
0.41294,21,0.16291,14,0
0.33758,29,0.087554,22,0
0.50411,27,0.25408,20,0
0.47213,18,0.22211,11,0
0.42929,24,0.17927,17,0
0.26344,19,0.013414,12,0
0.27157,23,0.021551,16,0
0.26994,20,0.019918,13,0
0.28501,27,0.034989,20,0
0.24443,24,0,17,0
0.2729,20,0.02847,13,0
0.42784,21,0.18341,14,0
0.43359,28,0.18917,21,0
0.44025,30,0.19582,23,0
0.35903,27,0.11461,20,0
0.36543,28,0.121,21,0
0.48663,32,0.2422,25,0
0.44369,24,0.19926,17,0
0.40555,26,0.16112,19,0
0.4204,30,0.17597,23,0
0.44007,34,0.19564,27,0
0.38939,31,0.14496,24,0
0.3241,32,0.079672,25,0
0.32796,31,0.083534,24,0
0.57571,24,0.33128,17,0
0.47053,22,0.2261,15,0
0.62609,17,0.38166,10,0
0.89769,8,0.65327,1,0
1.1275,8,0.88307,1,0
0.93699,8,0.69257,1,0
0.55052,13,0.30609,6,0
0.82023,14,0.57581,7,0
0.73764,9,0.49321,2,0
0.67433,15,0.4299,8,0
0.61817,25,0.37375,18,0
0.42759,40,0.18316,33,0
0.37728,20,0.13285,13,0
0.46073,17,0.2163,10,0
0.40903,14,0.1646,7,0
0.69473,11,0.4503,4,0
0.47761,53,0.23318,46,0
0.45737,53,0.21294,46,0
0.49597,35,0.25154,28,0
0.5269,21,0.28247,14,0
0.47079,18,0.22636,11,1
0.54233,13,0.29791,6,1
0.70804,12,0.46362,5,1
0.38658,13,0.14216,6,1
0.85009,13,0.60567,6,1
0.89687,21,0.65244,14,1
0.90728,15,0.66285,8,1
1.0712,19,0.82681,12,1
1.1391,23,0.89471,16,1
1.3912,40,1.1468,33,1
1.2975,37,1.0531,30,1
1.3957,40,1.1513,33,1
1.2726,22,1.0281,15,1
1.182,29,0.93762,22,1
1.0319,10,0.78746,3,1
1.0072,18,0.76281,11,1
0.88964,23,0.64522,16,1
0.96881,18,0.72439,11,1
1.0017,14,0.75731,7,1
1.0753,13,0.83087,6,1
1.0936,12,0.8492,5,1
1.1256,11,0.88121,4,1
1.2878,11,1.0434,4,1
1.1699,11,0.92543,4,1
0.79559,12,0.55117,5,1
0.86204,12,0.61761,5,1
0.77434,16,0.52991,9,1
0.79782,14,0.55339,7,1
0.94721,17,0.70279,10,1
0.9636,16,0.71918,9,1
0.69544,15,0.45101,8,1
0.66933,20,0.4249,13,1
0.59684,16,0.35241,9,1
0.53617,24,0.29174,17,1
0.64315,16,0.39872,9,1
