@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
95.271,5.567,516.8,0.0034698,0,0,34.29,1.5345,86.133,0,0,0,0
107.22,5.821,538.33,0.0033417,0,0,46.236,1.7885,107.67,0,0,0,0
99.015,5.7175,495.26,0.0018977,0,0,38.034,1.685,64.6,0,0,0,0
102.79,5.9646,258.4,0.0029938,0,0,41.808,1.9321,0,0.0010961,0,0,0
98.02,5.7163,129.2,0.0038211,0,0,37.039,1.6838,0,0.0019234,0,0,0
103.28,5.7972,86.133,0.011845,1,23,42.302,1.7647,0,0.0099477,1,23,0
115.76,5.8945,301.46,0.009561,0,0,54.783,1.862,215.33,0.0076633,0,0,0
126.01,5.8838,1959.5,0.016581,1,21,65.026,1.8514,1873.4,0.014683,1,21,0
115.48,5.7501,1981.1,0.019383,1,24,54.497,1.7176,1894.9,0.017485,1,24,0
95.904,5.6666,1851.9,0.028447,1,23,34.923,1.6341,1765.7,0.02655,1,23,0
140.22,5.9467,258.4,0.016027,1,24,79.24,1.9142,172.27,0.014129,1,24,0
133.7,5.9044,2024.1,0.029848,2,15,72.716,1.8719,1938,0.02795,2,15,0
145.54,5.9891,193.8,0.016891,2,15,84.562,1.9566,107.67,0.014994,2,15,0
149.15,6.0387,2067.2,0.022895,1,15,88.169,2.0062,1981.1,0.020998,1,15,0
130.69,5.8758,2002.6,0.018288,1,22,69.713,1.8433,1916.5,0.01639,1,22,0
137.07,5.9626,215.33,0.015071,2,15,76.092,1.9302,129.2,0.013173,2,15,0
132.23,5.9741,236.87,0.01392,1,15,71.252,1.9416,150.73,0.012022,1,15,0
113.9,5.9099,193.8,0.015155,1,15,52.914,1.8774,107.67,0.013258,1,15,0
103.82,6.1157,129.2,0.0080033,0,0,42.839,2.0832,43.066,0.0061056,0,0,0
103.35,6.2585,258.4,0.0049231,0,0,42.365,2.226,172.27,0.0030254,0,0,0
87.836,6.2339,236.87,0.001841,0,0,26.855,2.2014,150.73,0,0,0,0
73.854,6.2734,387.6,0.0011425,0,0,12.873,2.2409,301.46,0,0,0,0
73.261,6.3249,107.67,0.0008105,0,0,12.28,2.2924,21.533,0,0,0,0
96.498,6.1053,258.4,0.0059993,0,0,35.518,2.0728,172.27,0.0051888,0,0,0
124.54,6.1044,495.26,0.0079195,0,0,63.556,2.072,409.13,0.007109,0,0,0
128.21,5.9428,538.33,0.0077063,0,0,67.227,1.9103,452.2,0.0068958,0,0,1
822.44,4.7283,516.8,0.0038944,0,0,761.46,0.69583,430.66,0.0030839,0,0,1
1146,4.6029,495.26,0.034005,3,4,1085.1,0.57038,409.13,0.033194,3,4,1
1607.3,4.7949,473.73,0.040307,2,4,1546.3,0.76245,387.6,0.039497,2,4,1
1812.6,4.8409,473.73,0.049547,4,4,1751.6,0.80838,387.6,0.048736,4,4,1
1878.3,4.7456,473.73,0.046426,4,4,1817.3,0.71316,387.6,0.045616,4,4,1
2001.9,4.8121,473.73,0.047174,4,4,1941,0.77958,387.6,0.046363,4,4,1
2184.4,4.9128,495.26,0.054936,4,4,2123.4,0.88028,409.13,0.054125,4,4,1
2170.1,4.7568,495.26,0.045579,3,4,2109.1,0.72433,409.13,0.044768,3,4,1
2232.4,4.8234,495.26,0.053133,3,4,2171.4,0.79088,409.13,0.052323,3,4,1
2219.8,4.7288,495.26,0.042479,4,4,2158.9,0.69633,409.13,0.041669,4,4,1
2220,4.823,495.26,0.047751,4,4,2159,0.79049,409.13,0.04694,4,4,1
2225.3,4.8175,495.26,0.050013,4,4,2164.4,0.78506,409.13,0.049202,4,4,1
2254.4,4.7508,495.26,0.04892,4,4,2193.4,0.71837,409.13,0.04811,4,4,1
2325.1,4.8884,495.26,0.051041,4,4,2264.1,0.85596,409.13,0.050231,4,4,1
2288.1,4.7729,495.26,0.043902,3,4,2227.2,0.74043,409.13,0.043091,3,4,1
2216,4.7608,473.73,0.043732,4,4,2155,0.72829,387.6,0.042921,4,4,1
2218.1,4.8445,495.26,0.049901,4,4,2157.1,0.81202,409.13,0.04909,4,4,1
2191.7,4.7383,495.26,0.039602,4,4,2130.7,0.70582,409.13,0.038792,4,4,1
2187.2,4.9205,473.73,0.054089,2,4,2126.3,0.88799,387.6,0.053278,2,4,1
2145,4.7735,473.73,0.055643,3,4,2084,0.74099,387.6,0.054832,3,4,1
2181.8,4.9372,473.73,0.068548,3,4,2120.8,0.90471,387.6,0.067738,3,4,1
2170.4,5.0256,473.73,0.07451,3,5,2109.5,0.9931,387.6,0.073699,3,5,1
2048,4.7596,452.2,0.058757,3,4,1987,0.7271,366.06,0.057946,3,4,1
