@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,0.45265,35,0,0,0,0,0
0.0080354,0.098004,0.59141,25,0.0005254,0,0.13876,0,0
0.0087752,0.097096,0.55676,35,0.0012652,0,0.10411,10,0
0.010187,0.12976,0.48503,59,0.002677,0.032668,0.032376,34,0
0.010509,0.16515,0.52677,97,0.0029987,0.068058,0.074116,72,1
0.050137,0.12432,0.30833,35,0.042627,0.027223,0,10,1
0.12549,0.054446,0.76086,15,0.11798,0,0.45252,0,1
0.16054,0.043557,0.88301,22,0.15303,0,0.57468,7,1
0.16062,0.052632,1.1518,29,0.15311,0.0090744,0.84349,14,1
0.17314,0.056261,1.1487,30,0.16563,0.012704,0.84039,15,1
0.1817,0.059891,0.94736,24,0.17419,0.016334,0.63903,9,1
0.19365,0.069873,1.1713,32,0.18614,0.026316,0.86296,17,1
0.21998,0.083485,1.2672,33,0.21247,0.039927,0.95892,18,1
0.22573,0.092559,1.1944,33,0.21822,0.049002,0.88609,18,1
0.2201,0.092559,1.1166,32,0.21259,0.049002,0.80824,17,1
0.23167,0.087114,1.0225,33,0.22416,0.043557,0.71413,18,1
0.25168,0.087114,1.2228,33,0.24417,0.043557,0.91451,18,1
0.25385,0.10436,1.133,33,0.24634,0.060799,0.82465,18,1
0.264,0.10799,1.0214,34,0.25649,0.064428,0.71308,19,1
0.29419,0.090744,1.166,33,0.28668,0.047187,0.85768,18,1
0.30447,0.084392,1.2562,34,0.29696,0.040835,0.94785,19,1
0.30349,0.077132,1.2628,34,0.29598,0.033575,0.95449,19,1
0.29497,0.076225,1.2536,33,0.28746,0.032668,0.94531,18,1
0.28445,0.089837,1.2805,34,0.27694,0.046279,0.97217,19,1
0.27865,0.10073,1.3002,34,0.27114,0.057169,0.99187,19,1
0.27298,0.082577,1.2602,34,0.26547,0.03902,0.95186,19,1
0.28062,0.068058,1.3005,34,0.27311,0.024501,0.99219,19,1
0.28573,0.062613,1.3571,10,0.27822,0.019056,1.0487,0,1
0.29361,0.057169,1.4397,9,0.2861,0.013612,1.1313,0,1
0.31875,0.049909,1.5203,9,0.31124,0.0063521,1.212,0,1
0.33865,0.029946,1.5706,9,0.33114,0,1.2623,0,1
0.33978,0.03176,1.5468,9,0.33227,0.0018149,1.2385,0,1
0.32885,0.043557,1.5026,9,0.32134,0.013612,1.1943,0,1
0.31922,0.044465,1.5105,9,0.31171,0.014519,1.2021,0,1
0.31597,0.047187,1.5024,9,0.30846,0.017241,1.1941,0,1
0.32684,0.049909,1.5166,9,0.31933,0.019964,1.2083,0,1
0.35059,0.045372,1.574,9,0.34308,0.015426,1.2657,0,1
0.36701,0.043557,1.5898,9,0.3595,0.013612,1.2815,0,1
0.37725,0.044465,1.5722,9,0.36974,0.014519,1.2639,0,1
0.38641,0.046279,1.578,9,0.3789,0.016334,1.2697,0,1
0.3928,0.046279,1.575,10,0.38529,0.016334,1.2667,1,1
0.406,0.033575,1.5859,10,0.39849,0.0036298,1.2776,1,1
0.41429,0.024501,1.585,9,0.40678,0,1.2767,0,1
0.41087,0.033575,1.5759,9,0.40336,0.0090744,1.2675,0,1
0.40477,0.043557,1.571,9,0.39726,0.019056,1.2626,0,1
0.41041,0.045372,1.5838,9,0.4029,0.020871,1.2755,0,1
0.4215,0.039927,1.6019,9,0.41399,0.015426,1.2936,0,1
0.42175,0.029946,1.6024,9,0.41424,0.0054446,1.294,0,1
0.42117,0.024501,1.5965,9,0.41366,0,1.2882,0,1
