@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.05337,3,4,0.05256,3,4,1
0.059074,4,4,0.058264,4,4,1
0.067908,4,4,0.067098,4,4,1
0.065216,4,4,0.064406,4,4,1
0.065423,4,4,0.064613,4,4,1
0.058607,3,5,0.057797,3,5,1
0.065811,4,4,0.065001,4,4,1
0.06211,3,5,0.0613,3,5,1
0.068274,4,5,0.067464,4,5,1
0.064554,4,5,0.063744,4,5,1
0.067564,4,5,0.066753,4,5,1
0.062445,4,5,0.061634,4,5,1
0.062455,4,5,0.061645,4,5,1
0.060428,4,5,0.059617,4,5,1
0.050547,4,5,0.049737,4,5,1
0.050091,4,5,0.049281,4,5,1
0.061305,3,4,0.060494,3,4,1
0.063691,2,5,0.062881,2,5,1
0.056059,3,4,0.055249,3,4,1
0.042735,1,14,0.041925,1,14,1
0.054352,2,13,0.053542,2,13,1
0.062726,2,13,0.061916,2,13,1
0.057258,1,13,0.056448,1,13,1
0.051153,1,13,0.050342,1,13,1
0.053221,1,14,0.05241,1,14,1
0.052709,1,14,0.051899,1,14,1
0.061396,1,13,0.060586,1,13,1
0.061384,1,13,0.060573,1,13,1
0.061531,1,14,0.06072,1,14,1
0.053657,1,13,0.052846,1,13,1
0.055649,1,13,0.054839,1,13,1
0.049416,1,13,0.048605,1,13,1
0.03792,1,13,0.03711,1,13,1
0.037193,1,13,0.036382,1,13,1
0.038499,1,13,0.037689,1,13,1
0.032158,1,13,0.031348,1,13,1
0.025314,1,13,0.024503,1,13,1
0.020692,1,13,0.019882,1,13,1
0.011813,1,13,0.011002,1,13,1
0.005251,0,0,0.0044405,0,0,1
0.012143,1,19,0.011332,1,19,1
0.0032361,0,0,0.0024256,0,0,1
0.0071064,0,0,0.0062959,0,0,1
0.0024193,0,0,0.0016088,0,0,1
0.0051232,0,0,0.0043127,0,0,1
0.0025872,0,0,0.0017767,0,0,1
5.809e-05,0,0,0,0,0,1
0.00037019,0,0,0.0003121,0,0,1
0.0025863,0,0,0.0025282,0,0,1
0.0049656,0,0,0.0049076,0,0,1
0.0038748,0,0,0.0038167,0,0,0
0.0021835,0,0,0.0021254,0,0,0
0.0036753,0,0,0.0036173,0,0,0
0.003271,0,0,0.0032129,0,0,0
0.0064139,0,0,0.0063558,0,0,0
0.0053362,0,0,0.0052781,0,0,0
0.0074631,0,0,0.007405,0,0,0
0.0052054,0,0,0.0051473,0,0,0
0.0051295,0,0,0.0050714,0,0,0
0.004962,0,0,0.0049039,0,0,0
0.0055974,0,0,0.0055393,0,0,0
0.0035087,0,0,0.0034506,0,0,0
0.0029035,0,0,0.0028454,0,0,0
0.0046706,0,0,0.0046125,0,0,0
0.0022832,0,0,0.0022252,0,0,0
0.0019002,0,0,0.0018421,0,0,0
0.0025978,0,0,0.0025397,0,0,0
0.0018858,0,0,0.0018277,0,0,0
0.0023821,0,0,0.002324,0,0,0
0.0013251,0,0,0.001267,0,0,0
0.002428,0,0,0.0023699,0,0,0
0.0017317,0,0,0.0016736,0,0,0
0.0012584,0,0,0.0012003,0,0,0
0.00092492,0,0,0.00086683,0,0,0
0.0011783,0,0,0.0011202,0,0,0
0.0013041,0,0,0.001246,0,0,0
0.001524,0,0,0.0014659,0,0,0
0.0007125,0,0,0.00065441,0,0,0
0.00054682,0,0,0.00048873,0,0,0
0.00072152,0,0,0.00066343,0,0,0
0.001012,0,0,0.00095387,0,0,0
0.0015837,0,0,0.0015256,0,0,0
0.00089905,0,0,0.00084096,0,0,0
0.00092615,0,0,0.00086806,0,0,0
0.00087119,0,0,0.0008131,0,0,0
0.00042618,0,0,0.00036809,0,0,0
0.00098241,0,0,0.00092432,0,0,0
0.0017719,0,0,0.0017138,0,0,0
0.0023143,0,0,0.0022562,0,0,0
0.0020159,0,0,0.0019579,0,0,0
0.0029427,0,0,0.0028846,0,0,0
0.0031617,0,0,0.0031036,0,0,0
0.0029922,0,0,0.0029341,0,0,0
0.0026124,0,0,0.0025543,0,0,0
0.0030405,0,0,0.0029824,0,0,0
0.0017214,0,0,0.0016633,0,0,0
0.0016343,0,0,0.0015762,0,0,0
0.0021784,0,0,0.0021203,0,0,0
0.0024071,0,0,0.002349,0,0,0
0.0039653,0,0,0.0039072,0,0,0
0.0039674,0,0,0.0039094,0,0,0
0.0027767,0,0,0.0027186,0,0,0
0.0036653,0,0,0.0036072,0,0,0
0.00025408,0,0,0.00019599,0,0,0
0.00035038,0,0,0.00029229,0,0,0
0.00078027,0,0,0.00072218,0,0,0
0.00044993,0,0,0.00039184,0,0,0
0.00046607,0,0,0.00040798,0,0,0
0.00070367,0,0,0.00064557,0,0,0
0.00078292,0,0,0.00072483,0,0,0
0.00057843,0,0,0.00052034,0,0,0
0.00036643,0,0,0.00030834,0,0,0
0.00058961,0,0,0.00053152,0,0,0
0.00027927,0,0,0.00022118,0,0,0
0.00020123,0,0,0.00014314,0,0,0
0.00047631,0,0,0.00041822,0,0,0
0.0007519,0,0,0.00069381,0,0,0
0.00064183,0,0,0.00058374,0,0,0
0.00031985,0,0,0.00026176,0,0,0
0.00033764,0,0,0.00027955,0,0,0
0.00061974,0,0,0.00056165,0,0,0
0.0011061,0,0,0.001048,0,0,0
0.0010019,0,0,0.00094377,0,0,0
0.0003454,0,0,0.00028731,0,0,0
0.00045163,0,0,0.00039354,0,0,0
0.00083219,0,0,0.0007741,0,0,0
0.00060369,0,0,0.0005456,0,0,0
0.00037179,0,0,0.0003137,0,0,0
0.0005708,0,0,0.00051271,0,0,0
0.00052345,0,0,0.00046536,0,0,0
0.00034853,0,0,0.00029044,0,0,0
0.00039467,0,0,0.00033658,0,0,0
0.00028055,0,0,0.00022246,0,0,0
0.00022891,0,0,0.00017082,0,0,0
0.00075209,0,0,0.000694,0,0,0
0.00027943,0,0,0.00022134,0,0,0
0.00035423,0,0,0.00029614,0,0,0
0.00053202,0,0,0.00047393,0,0,0
0.00060433,0,0,0.00054624,0,0,0
0.00032742,0,0,0.00026933,0,0,0
0.00043378,0,0,0.00037569,0,0,0
0.00093619,0,0,0.0008781,0,0,0
0.0027341,0,0,0.002676,0,0,0
0.0014687,0,0,0.0014106,0,0,0
0.00083555,0,0,0.00077746,0,0,0
0.0017898,0,0,0.0017317,0,0,0
0.0011193,0,0,0.0010613,0,0,0
0.0013144,0,0,0.0012563,0,0,0
0.00064079,0,0,0.0005827,0,0,0
0.0018612,0,0,0.0018031,0,0,0
0.0025289,0,0,0.0024708,0,0,0
0.00074187,0,0,0.00068378,0,0,0
0.00058798,0,0,0.00052988,0,0,0
0.00052497,0,0,0.00046688,0,0,0
0.00033504,0,0,0.00027695,0,0,0
0.0012026,0,0,0.0011446,0,0,0
0.0003894,0,0,0.00033131,0,0,0
0.00081382,0,0,0.00075573,0,0,0
0.00042395,0,0,0.00036586,0,0,0
0.00053105,0,0,0.00047296,0,0,0
0.00064025,0,0,0.00058216,0,0,0
0.00030745,0,0,0.00024936,0,0,0
0.00044084,0,0,0.00038275,0,0,0
0.00038495,0,0,0.00032686,0,0,0
0.00029746,0,0,0.00023936,0,0,0
0.00057183,0,0,0.00051374,0,0,0
0.00026757,0,0,0.00020948,0,0,0
0.00029079,0,0,0.0002327,0,0,0
0.0055282,0,0,0.0054701,0,0,0
0.0038513,0,0,0.0037932,0,0,0
0.0033221,0,0,0.003264,0,0,0
0.0029882,0,0,0.0029301,0,0,0
0.0020945,0,0,0.0020364,0,0,0
0.0023859,0,0,0.0023278,0,0,0
0.0013598,0,0,0.0013017,0,0,0
0.0011385,0,0,0.0010804,0,0,0
0.0059664,0,0,0.0059083,0,0,0
0.0047819,0,0,0.0047238,0,0,0
0.0033622,0,0,0.0033041,0,0,0
0.0045068,0,0,0.0044487,0,0,0
0.00052712,0,0,0.00046903,0,0,0
0.00020216,0,0,0.00014407,0,0,0
0.0032053,0,0,0.0031472,0,0,0
0.002768,0,0,0.0027099,0,0,0
0.0046443,0,0,0.0045863,0,0,0
0.0022985,0,0,0.0022405,0,0,0
0.0017584,0,0,0.0017004,0,0,0
0.0036472,0,0,0.0035891,0,0,0
0.0044162,0,0,0.0043582,0,0,0
0.011126,1,15,0.011068,1,15,0
0.017807,1,17,0.017749,1,17,0
0.018799,1,15,0.018741,1,15,0
0.024276,1,17,0.024218,1,17,0
0.017086,1,17,0.017028,1,17,0
0.016145,1,17,0.016087,1,17,0
0.015945,1,17,0.015887,1,17,0
0.016917,1,13,0.016859,1,13,0
0.011318,1,13,0.01126,1,13,0
0.012021,1,17,0.011963,1,17,0
0.0086147,0,0,0.0085566,0,0,0
0.0026676,0,0,0.0026095,0,0,0
0.0023437,0,0,0.0022856,0,0,0
0.0009874,0,0,0.00092931,0,0,0
0.00099828,0,0,0.00094019,0,0,0
0.00038211,0,0,0.00032402,0,0,0
0.00049549,0,0,0.0004374,0,0,0
0.0089762,0,0,0.0089181,0,0,0
0.013521,1,19,0.013463,1,19,0
0.029974,1,17,0.029916,1,17,0
0.028229,2,9,0.028171,2,9,0
0.025345,3,9,0.025287,3,9,0
0.027141,4,2,0.027083,4,2,0
0.04248,4,3,0.042422,4,3,0
0.043308,2,4,0.04325,2,4,0
0.031702,1,17,0.031644,1,17,0
0.024552,1,17,0.024494,1,17,0
0.021861,1,17,0.021803,1,17,0
0.0087213,0,0,0.0086632,0,0,0
0.0010033,0,0,0.0009452,0,0,0
0.00057772,0,0,0.00051963,0,0,0
0.00095862,0,0,0.00090053,0,0,0
0.0019012,0,0,0.0018431,0,0,0
0.0027989,0,0,0.0027408,0,0,1
0.021485,1,14,0.021427,1,14,1
0.023016,1,14,0.022958,1,14,1
0.023987,3,9,0.023929,3,9,1
0.037054,1,16,0.036996,1,16,1
0.040327,1,16,0.040269,1,16,1
0.047605,1,15,0.047546,1,15,1
0.044407,2,10,0.044348,2,10,1
0.036005,1,14,0.035947,1,14,1
0.025941,1,14,0.025883,1,14,1
0.027709,1,14,0.027651,1,14,1
0.024688,1,14,0.02463,1,14,1
0.034429,1,14,0.034371,1,14,1
0.029812,1,14,0.029754,1,14,1
0.032308,1,14,0.03225,1,14,1
0.027724,1,14,0.027666,1,14,1
0.0335,1,13,0.033442,1,13,1
0.033857,1,13,0.033799,1,13,1
0.041969,1,13,0.041911,1,13,1
0.029555,1,13,0.029497,1,13,1
0.028133,1,13,0.028075,1,13,1
0.025504,1,13,0.025446,1,13,1
0.020815,1,13,0.020757,1,13,1
0.034272,1,13,0.034214,1,13,1
0.033857,1,13,0.033799,1,13,1
0.030891,1,13,0.030833,1,13,1
0.02774,1,13,0.027682,1,13,1
0.026539,1,13,0.026481,1,13,1
0.018777,1,13,0.018719,1,13,1
0.016019,1,13,0.015961,1,13,1
0.016846,1,13,0.016788,1,13,1
0.026424,1,12,0.026365,1,12,1
0.015119,1,12,0.015061,1,12,1
0.019445,1,13,0.019387,1,13,1
0.019845,1,13,0.019787,1,13,1
