@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,-118.04,-5.9673,710.6,0
0.0080354,0.098004,-114.28,-5.8897,925.93,0
0.0087752,0.097096,-124.59,-5.9632,1916.5,0
0.010187,0.12976,-150.21,-6.0711,882.86,0
0.010509,0.16515,-171.48,-6.2006,882.86,1
0.050137,0.12432,-142.68,-5.9607,538.33,1
0.12549,0.054446,1135.4,-5.0043,495.26,1
0.16054,0.043557,1650,-4.9567,452.2,1
0.16062,0.052632,1383.9,-4.7959,430.66,1
0.17314,0.056261,1558.6,-4.919,430.66,1
0.1817,0.059891,1802.2,-5.0667,452.2,1
0.19365,0.069873,1891.2,-4.9475,452.2,1
0.21998,0.083485,2161.1,-4.7659,452.2,1
0.22573,0.092559,2299.9,-4.9516,473.73,1
0.2201,0.092559,2291.2,-5.0225,452.2,1
0.23167,0.087114,2517.2,-5.18,452.2,1
0.25168,0.087114,2691,-4.8836,473.73,1
0.25385,0.10436,2818.3,-5.0428,473.73,1
0.264,0.10799,2961,-5.1449,473.73,1
0.29419,0.090744,3644.4,-5.0025,473.73,1
0.30447,0.084392,3374.8,-4.6868,495.26,1
0.30349,0.077132,3450.6,-4.7841,495.26,1
0.29497,0.076225,3337.7,-4.788,473.73,1
0.28445,0.089837,2988.5,-4.7748,473.73,1
0.27865,0.10073,2884.5,-4.7226,473.73,1
0.27298,0.082577,2809.8,-4.6791,473.73,1
0.28062,0.068058,2943.5,-4.7726,473.73,1
0.28573,0.062613,2747.7,-4.8382,473.73,1
0.29361,0.057169,2840.1,-4.7089,495.26,1
0.31875,0.049909,2890.8,-4.5979,495.26,1
0.33865,0.029946,3148.6,-4.7767,495.26,1
0.33978,0.03176,3202.8,-4.6669,495.26,1
0.32885,0.043557,3207,-4.7893,495.26,1
0.31922,0.044465,3159.8,-4.7686,516.8,1
0.31597,0.047187,3125.5,-4.9854,516.8,1
0.32684,0.049909,3235.2,-4.848,516.8,1
0.35059,0.045372,3399.2,-4.6914,516.8,1
0.36701,0.043557,3486.3,-4.6536,516.8,1
0.37725,0.044465,3571.4,-4.6992,516.8,1
0.38641,0.046279,3691.5,-4.5753,516.8,1
0.3928,0.046279,3767.9,-4.6629,516.8,1
0.406,0.033575,3804.3,-4.5476,516.8,1
0.41429,0.024501,3865.5,-4.57,516.8,1
0.41087,0.033575,3947.5,-4.6557,516.8,1
0.40477,0.043557,3946.6,-4.7135,516.8,1
0.41041,0.045372,3977.1,-4.605,516.8,1
0.4215,0.039927,3843,-4.4396,516.8,1
0.42175,0.029946,3540.5,-4.3467,516.8,1
0.42117,0.024501,3343.4,-4.2801,516.8,1
0.43568,0.029038,3331.5,-4.2709,516.8,1
0.46602,0.029946,3515,-4.1708,516.8,1
0.48327,0.025408,3846.2,-4.0325,538.33,1
0.44598,0.023593,3222.5,-4.0919,538.33,1
0.36665,0.022686,2641,-4.2843,538.33,1
0.2962,0.022686,1748.5,-4.4084,538.33,1
0.22715,0.021779,1523.3,-4.4228,516.8,1
0.14123,0.038113,461.05,-5.0865,473.73,1
0.063988,0.084392,60.981,-5.6272,430.66,1
0.026371,0.11525,-147.56,-6.0487,538.33,1
0.016541,0.096189,-133.4,-5.9134,516.8,1
0.014061,0.062613,-131.65,-5.916,538.33,1
0.01402,0.045372,-95.271,-5.567,516.8,0
0.011926,0.059891,-107.22,-5.821,538.33,0
0.0076668,0.069873,-99.015,-5.7175,495.26,0
0.0063915,0.07804,-102.79,-5.9646,258.4,0
0.0078191,0.072595,-98.02,-5.7163,129.2,0
0.007924,0.058984,-103.28,-5.7972,86.133,0
0.0078277,0.087114,-115.76,-5.8945,301.46,0
0.0099073,0.10708,-126.01,-5.8838,1959.5,0
0.015628,0.098911,-115.48,-5.7501,1981.1,0
0.018007,0.099819,-95.904,-5.6666,1851.9,0
0.016253,0.11343,-140.22,-5.9467,258.4,0
0.014892,0.13067,-133.7,-5.9044,2024.1,0
0.012268,0.14882,-145.54,-5.9891,193.8,0
0.010846,0.15789,-149.15,-6.0387,2067.2,0
0.011069,0.14519,-130.69,-5.8758,2002.6,0
0.010501,0.12886,-137.07,-5.9626,215.33,0
0.0087814,0.1225,-132.23,-5.9741,236.87,0
0.0062901,0.12886,-113.9,-5.9099,193.8,0
0.004438,0.1216,-103.82,-6.1157,129.2,0
0.0038568,0.094374,-103.35,-6.2585,258.4,0
0.0030363,0.11434,-87.836,-6.2339,236.87,0
0.002228,0.10889,-73.854,-6.2734,387.6,0
0.0025667,0.11343,-73.261,-6.3249,107.67,0
0.0033937,0.12976,-96.498,-6.1053,258.4,0
0.0065183,0.13067,-124.54,-6.1044,495.26,0
0.024363,0.11162,-128.21,-5.9428,538.33,1
0.11391,0.050817,822.44,-4.7283,516.8,1
0.16967,0.032668,1146,-4.6029,495.26,1
0.19672,0.039927,1607.3,-4.7949,473.73,1
0.21092,0.044465,1812.6,-4.8409,473.73,1
0.21602,0.046279,1878.3,-4.7456,473.73,1
0.22268,0.046279,2001.9,-4.8121,473.73,1
0.23152,0.04265,2184.4,-4.9128,495.26,1
0.24095,0.04265,2170.1,-4.7568,495.26,1
0.24761,0.049002,2232.4,-4.8234,495.26,1
0.25067,0.052632,2219.8,-4.7288,495.26,1
0.24985,0.046279,2220,-4.823,495.26,1
0.24884,0.040835,2225.3,-4.8175,495.26,1
0.24834,0.041742,2254.4,-4.7508,495.26,1
0.25189,0.04265,2325.1,-4.8884,495.26,1
0.2509,0.04265,2288.1,-4.7729,495.26,1
0.24898,0.04265,2216,-4.7608,473.73,1
0.24826,0.040835,2218.1,-4.8445,495.26,1
0.24449,0.047187,2191.7,-4.7383,495.26,1
0.24278,0.056261,2187.2,-4.9205,473.73,1
0.24214,0.067151,2145,-4.7735,473.73,1
0.23477,0.064428,2181.8,-4.9372,473.73,1
0.22563,0.060799,2170.4,-5.0256,473.73,1
0.21726,0.062613,2048,-4.7596,452.2,1
0.2115,0.065336,1983.2,-4.8607,452.2,1
0.20068,0.073503,1894.4,-4.8788,452.2,1
0.18541,0.071688,1715.5,-5.0053,452.2,1
0.18279,0.07078,1690.2,-4.9395,452.2,1
0.18015,0.07441,1726.8,-4.9403,452.2,1
0.18306,0.07441,1716.9,-4.9395,452.2,1
0.18726,0.072595,1737.2,-4.934,452.2,1
0.19059,0.075318,1783.1,-4.9357,452.2,1
0.19811,0.068058,1850.8,-4.8897,452.2,1
0.20414,0.059891,1932.4,-4.8398,452.2,1
0.20354,0.059891,1919.1,-4.8897,452.2,1
0.2016,0.058984,1920.6,-4.8701,452.2,1
0.20293,0.063521,1941.8,-4.9068,473.73,1
0.20913,0.061706,1957.1,-4.8105,473.73,1
0.21498,0.054446,1988,-4.8613,473.73,1
0.21867,0.053539,2061.3,-4.8469,473.73,1
0.22058,0.058984,2067.1,-4.8676,473.73,1
0.22253,0.068966,2110.9,-4.7848,473.73,1
0.21953,0.072595,2082.8,-4.8124,473.73,1
0.20568,0.07441,2046.4,-4.9187,452.2,1
0.18649,0.078947,1811,-4.9707,452.2,1
0.17452,0.077132,1632.9,-4.9707,452.2,1
0.17778,0.083485,1669.9,-4.879,452.2,1
0.17969,0.086207,1783.1,-4.8473,452.2,1
0.17559,0.076225,1719.3,-4.7878,452.2,1
0.17528,0.073503,1673.5,-4.8955,452.2,1
0.1767,0.064428,1645.3,-4.8012,452.2,1
0.1736,0.057169,1626.9,-4.6562,452.2,1
0.17565,0.057169,1619.8,-4.6164,452.2,1
0.18215,0.052632,1680.6,-4.4394,452.2,1
0.18521,0.046279,1727.9,-4.5717,452.2,1
0.18929,0.052632,1752.2,-4.5351,452.2,1
0.19494,0.061706,1730.1,-4.4214,452.2,1
0.19677,0.064428,1816.8,-4.4611,452.2,1
0.20469,0.056261,1816.9,-4.356,452.2,1
0.21633,0.052632,1938.2,-4.4909,452.2,1
0.23246,0.059891,2142.6,-4.4426,473.73,1
0.25156,0.061706,2286.1,-4.604,473.73,1
0.2638,0.057169,2478.1,-4.6434,473.73,1
0.27256,0.055354,2487.1,-4.8158,473.73,1
0.27303,0.062613,2441.3,-4.3709,473.73,1
0.27065,0.064428,2402.4,-4.3996,473.73,1
0.27041,0.064428,2367.9,-4.4776,473.73,1
0.28026,0.055354,2477.3,-4.4808,495.26,1
0.2976,0.04265,2588.8,-4.5194,495.26,1
0.30672,0.032668,2722.9,-4.4765,495.26,1
0.31004,0.023593,2771.9,-4.5728,495.26,1
0.30616,0.021779,2707,-4.5364,495.26,1
0.29965,0.020871,2696.9,-4.6476,495.26,1
0.29442,0.022686,2701.5,-4.6062,495.26,1
0.29787,0.028131,2814.4,-4.6031,495.26,1
0.30256,0.028131,2756.3,-4.6161,495.26,1
0.29563,0.027223,2718.1,-4.6596,495.26,1
0.28677,0.033575,2643,-4.6792,473.73,1
0.27378,0.04265,2474.4,-4.5218,473.73,1
0.2671,0.046279,2419.8,-4.4929,473.73,1
0.26601,0.043557,2411.9,-4.6505,473.73,1
0.2554,0.041742,2471,-4.7288,473.73,1
0.24925,0.04265,2496.7,-4.724,473.73,1
0.24025,0.034483,2250.7,-4.4028,473.73,1
0.23536,0.033575,2248.8,-4.5456,452.2,1
0.22416,0.051724,2103.5,-4.6198,452.2,1
0.20329,0.052632,1944.6,-4.5692,452.2,1
0.20625,0.041742,1972.8,-4.4798,430.66,1
0.19958,0.039927,1764.4,-4.7398,430.66,1
0.19486,0.037205,1816.1,-4.5948,796.73,1
0.22766,0.033575,1943.1,-4.5786,753.66,1
0.245,0.03539,2063.1,-4.4476,732.13,1
0.21104,0.036298,1859.2,-4.505,710.6,1
0.15962,0.03176,1112.8,-4.6473,689.06,1
0.14229,0.036298,975.93,-4.7434,689.06,1
0.12834,0.040835,960.81,-4.7413,732.13,1
0.097579,0.043557,596.76,-4.8613,387.6,1
0.087752,0.041742,780.08,-4.9004,732.13,1
0.10492,0.032668,984.94,-4.8125,732.13,1
