@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11913,0.1169,0.030853,0.1343,0.023109,0.021439,43,1
0.11867,0.11644,0.03176,0.13339,0.022371,0.020701,61,1
0.11602,0.11379,0.029946,0.13521,0.016275,0.014606,65,1
0.1162,0.11397,0.028131,0.13702,0.022836,0.021167,57,1
0.11374,0.11152,0.024501,0.14065,0.020874,0.019204,59,1
0.11198,0.10975,0.021779,0.14338,0.027325,0.025655,158,1
0.079116,0.076888,0.028131,0.13702,0.030753,0.029084,72,1
0.032012,0.029784,0.043557,0.1216,0.012566,0.010897,74,1
0.02062,0.018392,0.036298,0.12886,0.014635,0.012965,72,1
0.019472,0.017244,0.018149,0.14701,0.011583,0.0099133,90,1
0.011514,0.0092862,0.044465,0.12069,0.010285,0.0086158,74,1
0.01036,0.0081317,0.053539,0.11162,0.011345,0.0096754,87,1
0.013161,0.010933,0.03176,0.13339,0.014957,0.013287,90,1
0.013776,0.011548,0.025408,0.13975,0.0164,0.01473,81,0
0.012272,0.010044,0.023593,0.14156,0.01176,0.01009,75,0
0.0074759,0.005248,0.038113,0.12704,0.0098642,0.0081948,75,0
0.0043124,0.0020845,0.088929,0.076225,0.0070548,0.0053854,86,0
0.0029858,0.00075788,0.11887,0.046279,0.0051191,0.0034497,20,0
0.0023971,0.00016916,0.11434,0.050817,0.0034513,0.0017819,79,0
0.0025065,0.00027855,0.11434,0.050817,0.0051053,0.0034359,74,0
0.002229,1.0106e-06,0.12704,0.038113,0.0029378,0.0012684,66,0
0.0018429,0,0.14882,0.016334,0.0021761,0.0005067,96,0
0.0018017,0,0.15064,0.014519,0.0038116,0.0021422,91,0
0.0016858,0,0.14701,0.018149,0.0028067,0.0011373,94,0
0.0016838,0,0.13975,0.025408,0.0021325,0.0004631,172,0
