@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0025667,0.00033878,0.11343,0.051724,0.14244,0.05965,18,7,0
0.0033937,0.0011657,0.12976,0.03539,0.23946,0.15667,19,6,0
0.0065183,0.0042903,0.13067,0.034483,0.28883,0.20604,16,9,0
0.024363,0.022135,0.11162,0.053539,0.4615,0.37871,2,23,1
0.11391,0.11168,0.050817,0.11434,1.243,1.1602,2,23,1
0.16967,0.16744,0.032668,0.13249,1.513,1.4302,2,23,1
0.19672,0.1945,0.039927,0.12523,1.595,1.5123,2,23,1
0.21092,0.20869,0.044465,0.12069,1.5727,1.4899,2,23,1
0.21602,0.21379,0.046279,0.11887,1.5601,1.4773,2,23,1
0.22268,0.22045,0.046279,0.11887,1.6136,1.5308,10,15,1
0.23152,0.22929,0.04265,0.1225,1.6105,1.5278,9,16,1
0.24095,0.23873,0.04265,0.1225,1.5877,1.5049,2,23,1
0.24761,0.24539,0.049002,0.11615,1.6038,1.521,2,23,1
0.25067,0.24844,0.052632,0.11252,1.625,1.5422,2,23,1
0.24985,0.24763,0.046279,0.11887,1.6135,1.5308,2,23,1
0.24884,0.24662,0.040835,0.12432,1.6241,1.5413,2,23,1
0.24834,0.24612,0.041742,0.12341,1.6408,1.558,2,23,1
0.25189,0.24966,0.04265,0.1225,1.6501,1.5673,2,23,1
0.2509,0.24867,0.04265,0.1225,1.6086,1.5258,2,23,1
0.24898,0.24675,0.04265,0.1225,1.5924,1.5096,2,23,1
0.24826,0.24603,0.040835,0.12432,1.6109,1.5281,2,23,1
0.24449,0.24227,0.047187,0.11797,1.6155,1.5328,2,23,1
