@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
3988.4,3925.4,4.1979,1.3137,516.8,86.133,1.7307,1.278,2,22,1
4015.4,3952.4,4.1153,1.3963,516.8,86.133,1.7408,1.2882,2,22,1
3871,3808,3.9727,1.5389,516.8,86.133,1.7581,1.3054,2,22,1
3593.5,3530.5,3.8876,1.6241,516.8,86.133,1.7627,1.3101,2,22,1
3416.9,3353.9,3.8163,1.6954,516.8,86.133,1.7626,1.3099,2,22,1
3419.7,3356.7,3.8153,1.6964,516.8,86.133,1.7651,1.3125,2,22,1
3604.6,3541.6,3.707,1.8046,516.8,86.133,1.7505,1.2978,2,22,1
3918.6,3855.5,3.5803,1.9313,538.33,107.67,1.7933,1.3407,2,22,1
3322.6,3259.6,3.6082,1.9034,538.33,107.67,1.788,1.3353,2,22,1
2773.1,2710.1,3.8238,1.6879,538.33,107.67,1.7938,1.3412,2,22,1
1871.1,1808.1,3.9439,1.5678,538.33,107.67,1.6904,1.2377,2,22,1
1630,1567,4.0169,1.4948,516.8,86.133,1.7455,1.2928,2,22,1
564.33,501.32,4.609,0.9027,473.73,43.066,1.477,1.0243,2,22,1
148.7,85.688,5.2066,0.30509,430.66,0,1.2672,0.81455,2,22,1
70.206,7.1929,5.5821,0,538.33,107.67,0.65995,0.2073,8,16,1
72.307,9.2935,5.4706,0.11147,516.8,86.133,0.66235,0.2097,9,15,1
76.372,13.358,5.3391,0.24296,538.33,107.67,0.98256,0.52991,3,21,1
45.768,0,4.8904,0.6917,516.8,86.133,1.5117,1.059,2,22,0
56.429,10.662,5.0393,0.54278,538.33,107.67,1.3732,0.92053,2,22,0
56.438,10.671,5.0413,0.54078,495.26,64.6,0.44804,0,2,22,0
60.837,15.07,5.2364,0.34574,258.4,0,0.27167,0,6,18,0
61.764,15.997,5.2043,0.37783,129.2,0,0.082786,0,8,16,0
69.115,23.348,5.3315,0.25058,86.133,0,0.12904,0.046257,9,15,0
76.022,30.255,5.3726,0.20951,301.46,215.33,0.37188,0.28909,11,13,0
82.524,36.757,5.4139,0.16818,1959.5,1873.4,0.58007,0.49728,9,15,0
69.526,23.758,5.3216,0.2605,1981.1,1894.9,0.97961,0.89683,10,14,0
46.318,0.55085,5.2756,0.30648,1851.9,1765.7,0.95418,0.87139,9,15,0
81.392,35.624,5.4947,0.087401,258.4,172.27,0.54605,0.46327,12,12,0
81.186,35.419,5.5056,0.076452,2024.1,1938,0.33734,0.25456,12,12,0
98.854,53.087,5.5974,0,193.8,107.67,0.23949,0.15671,23,1,0
99.925,54.157,5.6045,0,2067.2,1981.1,0.42191,0.33913,21,3,0
83.651,37.883,5.4481,0.15631,2002.6,1916.5,0.46305,0.38027,13,11,0
93.892,48.124,5.5428,0.06169,215.33,129.2,0.37036,0.28757,19,5,0
93.921,48.154,5.564,0.040453,236.87,150.73,0.21116,0.12837,23,1,0
77.946,32.178,5.4406,0.16387,193.8,107.67,0.21937,0.13658,23,1,0
69.372,23.604,5.5286,0.0759,129.2,43.066,0.29624,0.21345,13,11,0
56.193,10.425,5.404,0.20048,258.4,172.27,0.18042,0.097634,12,12,0
45.479,0,5.3125,0.29194,236.87,150.73,0.24098,0.1582,12,12,0
38.274,0,5.3636,0.24085,387.6,301.46,0.21411,0.13132,25,0,0
39.659,1.3852,5.4497,0.15474,107.67,21.533,0.14244,0.05965,18,7,0
61.922,23.648,5.4852,0.11926,258.4,172.27,0.23946,0.15667,19,6,0
82.074,43.8,5.5506,0.053902,495.26,409.13,0.28883,0.20604,16,9,0
82.836,44.562,5.4407,0.16371,538.33,452.2,0.4615,0.37871,2,23,1
883.2,844.92,4.4832,1.1213,516.8,430.66,1.243,1.1602,2,23,1
1231.9,1193.6,4.2961,1.3084,495.26,409.13,1.513,1.4302,2,23,1
1692.9,1654.7,4.5453,1.0592,473.73,387.6,1.595,1.5123,2,23,1
1909.8,1871.5,4.5873,1.0171,473.73,387.6,1.5727,1.4899,2,23,1
1978.6,1940.3,4.4656,1.1388,473.73,387.6,1.5601,1.4773,2,23,1
2124.8,2086.5,4.476,1.1285,473.73,387.6,1.6136,1.5308,10,15,1
2304.5,2266.3,4.6013,1.0031,495.26,409.13,1.6105,1.5278,9,16,1
2281.7,2243.5,4.4307,1.1738,495.26,409.13,1.5877,1.5049,2,23,1
2348.4,2310.1,4.4819,1.1226,495.26,409.13,1.6038,1.521,2,23,1
2334.3,2296,4.4098,1.1946,495.26,409.13,1.625,1.5422,2,23,1
2343.2,2304.9,4.4951,1.1093,495.26,409.13,1.6135,1.5308,2,23,1
2350.6,2312.3,4.4804,1.1241,495.26,409.13,1.6241,1.5413,2,23,1
2366,2327.7,4.422,1.1825,495.26,409.13,1.6408,1.558,2,23,1
2447.8,2409.6,4.5704,1.034,495.26,409.13,1.6501,1.5673,2,23,1
2404.1,2365.9,4.464,1.1405,495.26,409.13,1.6086,1.5258,2,23,1
2336.9,2298.6,4.434,1.1705,473.73,387.6,1.5924,1.5096,2,23,1
2350.8,2312.5,4.4973,1.1072,495.26,409.13,1.6109,1.5281,2,23,1
2309.4,2271.1,4.4008,1.2036,495.26,409.13,1.6155,1.5328,2,23,1
2325.5,2287.3,4.5523,1.0522,473.73,387.6,1.604,1.5212,2,23,1
2257.2,2218.9,4.4563,1.1481,473.73,387.6,1.5995,1.5167,3,22,1
2314.2,2275.9,4.5984,1.0061,473.73,387.6,1.591,1.5082,2,23,1
2287.4,2249.1,4.7653,0.83919,473.73,387.6,1.5111,1.4283,2,23,1
2149.9,2111.7,4.5053,1.0992,452.2,366.06,1.495,1.4122,2,23,1
2098.3,2060.1,4.5778,1.0266,452.2,366.06,1.5156,1.4328,4,21,1
1998.9,1960.6,4.6164,0.98807,452.2,366.06,1.4738,1.391,8,17,1
1828.9,1790.6,4.7082,0.89623,452.2,366.06,1.4037,1.3209,14,11,1
1783.8,1745.5,4.6883,0.91614,452.2,366.06,1.4073,1.3245,16,9,1
1822.7,1784.4,4.6731,0.9314,452.2,366.06,1.4034,1.3206,16,9,1
1820.9,1782.6,4.6545,0.94994,452.2,366.06,1.4017,1.3189,15,10,1
1838.8,1800.6,4.6404,0.96403,452.2,366.06,1.4243,1.3415,10,15,1
