@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0026185,0.00094913,147,0
0.0020694,0.00040003,68,0
0.0021981,0.00052865,72,0
0.0020819,0.00041248,153,0
0.0016426,0,123,0
0.0019038,0.00026117,40,0
0.0015354,0,61,0
0.0018142,0.00027871,139,0
0.0018848,0.00034933,75,0
0.0016662,0.00013078,94,0
0.0014357,0,78,0
0.0012343,0,59,0
0.0015631,0.00032875,129,0
0.0012628,2.8443e-05,149,0
0.0012007,0,144,0
0.0014413,0.00024058,93,0
0.0013723,0.00017166,31,0
0.0013405,0.00013981,99,0
0.0012083,7.6136e-06,18,0
0.0016912,0.00049049,18,0
0.0013925,0.00019182,18,0
0.0016635,0.00046281,68,0
0.0019099,0.00070924,139,0
0.0017877,0.00058706,18,0
0.0028048,0.0016042,95,0
0.0033185,0.0021178,19,0
0.0027698,0.0015691,18,0
0.0023837,0.0011831,150,0
0.0040076,0.0028069,17,0
0.0033352,0.0021345,44,0
0.0026935,0.0014928,31,0
0.0033932,0.0021925,39,0
0.0044966,0.0032959,69,0
0.0043285,0.0031278,93,0
0.0048939,0.0036933,35,0
0.0038488,0.0026481,17,0
0.0024415,0.0012408,89,0
0.0032477,0.0020471,89,0
0.0014147,0.00021405,83,0
0.0012131,1.2438e-05,147,0
0.0010185,0,100,0
0.0015653,0.00054681,121,0
0.0011415,0.00012301,122,0
0.00094813,0,138,0
0.00074457,0,74,0
0.0013141,0.00056952,66,0
0.0026917,0.0019471,65,0
0.0032582,0.0025136,66,0
0.0018841,0.0011395,70,0
0.0011368,0.00039221,77,0
0.0014974,0.00075287,75,0
0.0024012,0.0016566,147,0
0.0016395,0.00089489,138,0
0.0013694,0.00062482,163,0
0.0019587,0.0012141,157,0
0.0018334,0.0010888,122,0
0.0010301,0.00028556,150,0
0.0014383,0.00069377,170,0
0.0010738,0.00032927,182,0
0.001028,0.0002834,76,0
0.0007551,1.053e-05,164,0
0.00071051,0,143,0
0.0013634,0.00065285,175,0
0.0011663,0.00045582,153,0
0.001372,0.00066144,172,0
0.0010074,0.00029687,73,0
0.0011897,0.00047918,114,0
0.0013494,0.00063892,186,0
0.00094072,0.00023021,147,0
0.00073018,1.967e-05,109,0
0.0015976,0.00088713,61,0
0.0010117,0.00030119,113,0
0.0011911,0.00048061,52,0
0.0008272,0.00011669,160,0
0.00093619,0.00022567,5,0
0.002576,0.0018655,156,0
0.0026669,0.0019564,90,0
0.0029646,0.0022541,89,0
0.0020009,0.0012903,138,0
0.0022797,0.0015692,105,0
0.002014,0.0013035,90,0
0.0010323,0.00032176,36,0
0.0019104,0.0011999,150,0
0.002641,0.0019305,46,0
0.0014074,0.00069688,35,0
0.0013084,0.00059788,104,0
0.0011105,0.00039997,41,0
0.00066291,0,94,0
0.0012919,0.00062897,38,0
0.0010459,0.00038304,138,0
0.0014334,0.00077052,141,0
0.0018404,0.0011775,109,0
0.0020976,0.0014347,75,0
0.0020115,0.0013486,75,0
0.0012627,0.00059979,79,0
0.0012668,0.0006039,120,0
0.001597,0.00093412,74,0
0.0020838,0.0014209,149,0
0.0016024,0.00093951,80,0
0.0015518,0.00088891,81,0
0.0012902,0.0006273,125,0
0.0056545,0.0049916,15,0
0.0047045,0.0040416,138,0
0.0052103,0.0045474,41,0
0.0039684,0.0033055,84,0
0.003573,0.0029101,102,0
0.0027238,0.0020609,79,0
0.0026478,0.0019849,105,0
0.0017164,0.0010535,131,0
0.0046223,0.0039594,25,0
0.0046148,0.0039519,59,0
0.0039799,0.003317,84,0
0.0029257,0.0022628,48,0
0.0050511,0.0043882,21,0
