@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.18521,0.18298,0.046279,0.024501,1
0.18929,0.18706,0.052632,0.030853,1
0.19494,0.19271,0.061706,0.039927,1
0.19677,0.19454,0.064428,0.04265,1
0.20469,0.20246,0.056261,0.034483,1
0.21633,0.2141,0.052632,0.030853,1
0.23246,0.23024,0.059891,0.038113,1
0.25156,0.24933,0.061706,0.039927,1
0.2638,0.26158,0.057169,0.03539,1
0.27256,0.27033,0.055354,0.033575,1
0.27303,0.2708,0.062613,0.040835,1
0.27065,0.26842,0.064428,0.04265,1
0.27041,0.26818,0.064428,0.04265,1
0.28026,0.27803,0.055354,0.033575,1
0.2976,0.29537,0.04265,0.020871,1
0.30672,0.30449,0.032668,0.010889,1
0.31004,0.30781,0.023593,0.0018149,1
0.30616,0.30393,0.021779,0,1
0.29965,0.29742,0.020871,0,1
0.29442,0.29219,0.022686,0.0018149,1
0.29787,0.29564,0.028131,0.0072595,1
0.30256,0.30033,0.028131,0.0072595,1
0.29563,0.2934,0.027223,0.0063521,1
0.28677,0.28454,0.033575,0.012704,1
0.27378,0.27155,0.04265,0.021779,1
0.2671,0.26487,0.046279,0.025408,1
0.26601,0.26378,0.043557,0.022686,1
0.2554,0.25317,0.041742,0.020871,1
0.24925,0.24702,0.04265,0.021779,1
0.24025,0.23802,0.034483,0.013612,1
0.23536,0.23313,0.033575,0.012704,1
0.22416,0.22193,0.051724,0.030853,1
0.20329,0.20106,0.052632,0.03176,1
0.20625,0.20402,0.041742,0.020871,1
0.19958,0.19735,0.039927,0.019056,1
0.19486,0.19263,0.037205,0.016334,1
0.22766,0.22543,0.033575,0.012704,1
0.245,0.24277,0.03539,0.014519,1
0.21104,0.20881,0.036298,0.015426,1
0.15962,0.15739,0.03176,0.010889,1
0.14229,0.14006,0.036298,0.015426,1
0.12834,0.12612,0.040835,0.019964,1
0.097579,0.095351,0.043557,0.022686,1
0.087752,0.085524,0.041742,0.020871,1
0.10492,0.1027,0.032668,0.011797,1
0.11139,0.10916,0.033575,0.012704,1
0.10817,0.10594,0.033575,0.012704,1
0.11913,0.1169,0.030853,0.0099819,1
0.11867,0.11644,0.03176,0.010889,1
0.11602,0.11379,0.029946,0.0090744,1
0.1162,0.11397,0.028131,0.0072595,1
0.11374,0.11152,0.024501,0.0036298,1
0.11198,0.10975,0.021779,0.00090744,1
0.079116,0.076888,0.028131,0.0072595,1
0.032012,0.029784,0.043557,0.022686,1
0.02062,0.018392,0.036298,0.015426,1
0.019472,0.017244,0.018149,0,1
0.011514,0.0092862,0.044465,0.026316,1
0.01036,0.0081317,0.053539,0.03539,1
0.013161,0.010933,0.03176,0.013612,1
0.013776,0.011548,0.025408,0.0072595,0
0.012272,0.010044,0.023593,0.0054446,0
0.0074759,0.005248,0.038113,0.019964,0
0.0043124,0.0020845,0.088929,0.07078,0
