@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R8

@attribute energy numeric
@attribute energy_min numeric
@attribute zeroCrossingRate numeric
@attribute zeroCrossingRate_min numeric
@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.079116,0.076888,0.028131,-0.13702,0.030753,0.029084,39,1
0.032012,0.029784,0.043557,-0.1216,0.012566,0.010897,41,1
0.02062,0.018392,0.036298,-0.12886,0.014635,0.012965,39,1
0.019472,0.017244,0.018149,-0.14701,0.011583,0.009913,57,1
0.011514,0.009286,0.044465,-0.12069,0.010285,0.008616,41,1
0.01036,0.008132,0.053539,-0.11162,0.011345,0.009675,54,1
0.013161,0.010933,0.03176,-0.13339,0.014957,0.013287,57,1
0.013776,0.011548,0.025408,-0.13975,0.0164,0.01473,48,0
0.012272,0.010044,0.023593,-0.14156,0.01176,0.01009,42,0
0.007476,0.005248,0.038113,-0.12704,0.009864,0.008195,42,0
0.004312,0.002085,0.088929,-0.076225,0.006586,0.004916,53,0
0.002986,0.000758,0.11887,-0.046279,0.003565,0.001895,130,0
0.002397,0.000169,0.11434,-0.050817,0.003083,0.001414,46,0
0.002507,0.000279,0.11434,-0.050817,0.004973,0.003303,41,0
0.002229,0.000001,0.12704,-0.038113,0.002363,0.000694,102,0
0.001843,0,0.14882,-0.016334,0.002173,0.000503,63,0
0.001802,0,0.15064,-0.014519,0.003222,0.001553,58,0
0.001686,0,0.14701,-0.018149,0.002807,0.001137,61,0
0.001684,0,0.13975,-0.025408,0.002133,0.000463,139,0
0.001594,0,0.13884,-0.026316,0.001958,0.000288,136,0
0.001621,0.000028,0.14701,-0.018149,0.002365,0.000696,59,0
0.00165,0.000057,0.15245,-0.012704,0.002079,0.00041,102,0
0.001645,0.000051,0.12976,-0.03539,0.001678,0.000008,53,0
0.001668,0.000075,0.12341,-0.041742,0.002072,0.000403,33,0
0.001471,0,0.15336,-0.011797,0.002619,0.000949,114,0
0.001308,0,0.15971,-0.005445,0.002033,0.000364,35,0
0.001367,0.00006,0.16515,0,0.002198,0.000529,39,0
0.001395,0.000088,0.17695,0,0.002082,0.000412,120,0
0.001224,0,0.18603,0,0.001643,0,90,0
0.001083,0,0.18421,-0.001815,0.001904,0.000261,7,0
0.001154,0.000072,0.17604,-0.009982,0.001535,0,28,0
0.001326,0.000243,0.15426,-0.03176,0.001767,0.000232,106,0
0.001238,0.000155,0.16969,-0.016334,0.001885,0.000349,42,0
0.001046,0,0.20871,0,0.001418,0,61,0
0.000948,0,0.22232,0,0.001272,0,45,0
0.001095,0.000147,0.20236,-0.019964,0.001234,0,26,0
0.001199,0.000251,0.16606,-0.056261,0.001563,0.000329,96,0
0.001065,0.000117,0.18421,-0.038113,0.001263,0.000028,116,0
