@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
250.72,-4.9066,409.13,0.66058,10,86.485,0.18135,139.97,0.12005,-0.5,0
347.81,-4.7704,409.13,0.82236,7,-4.3178,-0.028781,-139.97,-0.026001,-1.5,0
242.08,-4.9642,129.2,0.60858,7,25.977,-0.026764,-43.066,-0.16986,2.5,0
399.76,-4.824,323,0.48264,12,343.33,0.23956,193.8,0.17175,1.5,0
928.75,-4.4851,516.8,0.95207,10,514.67,0.27193,96.899,0.36381,-1,0
1429.1,-4.2801,516.8,1.2103,10,583.98,0.099554,0,0.15067,0,0
2096.7,-4.286,516.8,1.2534,10,380.06,-0.05498,10.767,-0.012982,0,0
2189.2,-4.3901,538.33,1.1843,10,115.92,-0.044314,10.767,-0.027008,0,0
2328.6,-4.3746,538.33,1.1994,10,121.82,0.028992,0,0.050286,0,0
2432.9,-4.3321,538.33,1.2849,10,142.51,-0.0037729,-10.767,0.0061811,0,0
2613.6,-4.3822,516.8,1.2118,10,52.487,-0.015377,-10.767,-0.081052,-0.5,0
2537.8,-4.3628,516.8,1.1228,9,-521.87,-0.17043,0,-0.16038,-0.5,0
1569.8,-4.723,516.8,0.89099,9,-379.37,-0.12509,-10.767,-0.12162,0,0
1779.1,-4.613,495.26,0.87953,9,274.02,0.10711,-10.767,-0.020186,0,0
2117.9,-4.5088,495.26,0.85062,9,-167.67,-0.02333,-139.97,-0.19925,0.5,0
1443.8,-4.6597,215.33,0.48103,10,-141.54,0.039893,-43.066,0.0065086,-0.5,0
1834.8,-4.429,409.13,0.86364,8,182.75,0.047692,86.133,0.19208,-1.5,0
1809.3,-4.5643,387.6,0.86519,7,-190.75,0.010505,43.066,-0.084191,0.5,0
1453.3,-4.408,495.26,0.69525,9,-513.52,-0.075832,43.066,-0.086193,1,0
782.22,-4.716,473.73,0.6928,9,-423.5,-0.195,10.767,-0.10147,-0.5,0
