@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.025947,0.046279,-0.00026771,0.0027223,0
0.026624,0.049909,0.00077656,-0.00045372,0
0.0275,0.045372,0.0008961,-0.0013612,0
0.028416,0.047187,-0.0010855,0.0058984,0
0.025329,0.057169,-0.0018078,0.0072595,0
0.024801,0.061706,0.0034983,-0.003176,0
0.032326,0.050817,0.0045802,-0.0090744,0
0.033961,0.043557,0.00036483,-0.0040835,0
0.033056,0.04265,-0.001456,0.0058984,0
0.031049,0.055354,-0.00031013,0.0058984,0
0.032435,0.054446,0.0015241,-0.0058984,0
0.034098,0.043557,-0.001605,0,0
0.029225,0.054446,-0.0032297,0.0068058,0
0.027638,0.057169,0.00061993,-0.0018149,0
0.030465,0.050817,0.0049239,-0.0058984,0
0.037486,0.045372,0.0054581,-0.0040835,0
0.041381,0.04265,0.0017403,-0.0018149,0
0.040967,0.041742,0.0016185,0.0068058,0
0.044618,0.056261,0.0050688,0.0090744,0
0.051104,0.059891,0.0058936,0.00090744,0
0.056406,0.058076,0.0048087,0,0
0.060722,0.059891,0.0025426,-0.0018149,0
0.061491,0.054446,-0.003767,0.00045372,0
0.053188,0.060799,-0.0093772,0.0063521,0
0.042736,0.067151,-0.0063035,-0.0013612,0
0.040581,0.058076,-0.00078943,0.0013612,0
0.041157,0.069873,0.0043029,0.0068058,0
0.049187,0.071688,0.0081368,-0.0077132,0
0.057431,0.054446,0.0060978,-0.010436,0
0.061382,0.050817,0.0029908,-0.0027223,0
0.063413,0.049002,0.0018234,-0.00090744,0
0.065029,0.049002,0.00095986,-0.00090744,0
0.065332,0.047187,0.0031557,0.0022686,0
0.07134,0.053539,0.0064561,0.0036298,0
0.078244,0.054446,0.002648,-0.0036298,0
0.076636,0.046279,-0.0010814,-0.0049909,0
0.076082,0.044465,-1.2347e-05,-0.0027223,0
0.076612,0.040835,-0.00029739,-0.0036298,0
0.075487,0.037205,0.00060556,0.0013612,0
0.077823,0.043557,0.00083439,0.0040835,0
0.077156,0.045372,0.00080774,0.0013612,0
0.079438,0.046279,0.00017235,0.0013612,0
