@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0069098,0,0,0
0.029805,1,23,0
0.008011,0,0,0
0.010856,1,23,0
0.0052344,0,0,0
0.003555,0,0,0
0.0026839,0,0,0
0.0039235,0,0,0
0.017644,1,23,0
0.0079349,0,0,0
0.004132,0,0,0
0.015381,1,11,0
0.013429,3,11,0
0.010763,1,9,0
0.016846,1,10,0
0.026315,1,9,0
0.02352,1,9,0
0.0059491,0,0,0
0.013749,1,12,0
0.019064,1,11,0
0.019929,2,10,0
0.0238,2,11,0
0.008882,0,0,0
0.016693,1,10,0
0.046034,2,11,0
0.011997,1,9,0
0.020226,1,11,0
0.014302,2,11,0
0.008916,0,0,0
0.008874,0,0,0
0.0077394,0,0,0
0.0056316,0,0,0
0.0016201,0,0,0
0.0088871,0,0,0
0.01563,1,13,0
0.020766,1,12,0
0.018944,1,13,0
0.011972,1,15,0
0.0036552,0,0,0
0.004201,0,0,0
0.0088047,0,0,0
0.0075252,0,0,0
0.0084373,0,0,0
0.0075565,0,0,0
0.0011942,0,0,0
0.010084,1,28,0
0.0046924,0,0,0
0.0091783,0,0,0
0.0062723,0,0,0
0.0080572,0,0,0
0.0056568,0,0,0
0.017395,1,13,0
0.013407,1,12,0
0.0031719,0,0,0
0.010126,1,12,0
0.0056959,0,0,0
0.0073948,0,0,0
0.0050302,0,0,0
0.0056045,0,0,0
0.0061902,0,0,0
0.0039897,0,0,0
0.0027297,0,0,0
0.0024602,0,0,0
0.0023007,0,0,0
0.0048048,0,0,0
0.0054708,0,0,0
0.015747,1,21,0
0.011497,1,13,0
0.0094273,0,0,0
0.011584,1,13,0
0.0098676,0,0,0
0.0094569,0,0,0
0.012047,1,13,0
0.0099132,0,0,0
0.0078877,0,0,0
0.0087219,0,0,0
0.021693,1,28,0
0.022148,1,20,0
0.0062489,0,0,0
0.0088745,0,0,0
0.0068766,0,0,0
0.0032736,0,0,0
0.0073605,0,0,0
0.0079466,0,0,0
0.023631,2,13,0
0.016811,2,9,0
0.016741,2,9,0
0.024389,3,9,0
0.028761,4,2,0
0.016801,4,9,0
0.0098465,0,0,0
0.0068527,0,0,0
0.00072453,0,0,0
0.0010561,0,0,0
0.028907,2,11,0
0.054281,3,11,0
0.03949,2,12,0
0.018953,1,12,0
0.027406,1,12,1
0.013663,1,13,1
0.010491,1,9,1
0.029613,2,9,1
0.027284,1,14,1
0.020515,1,15,1
0.024729,1,15,1
0.033711,1,14,1
0.023531,1,14,1
0.020126,1,13,1
0.018622,1,14,1
0.023265,2,12,1
0.01807,1,19,1
0.0054618,0,0,1
0.0097836,0,0,1
0.010762,1,12,1
0.034008,1,13,1
0.019669,1,12,1
0.02884,1,13,1
0.011637,1,10,1
0.017894,1,11,1
0.015996,2,13,1
0.018312,1,13,1
0.015339,1,11,1
0.023771,2,11,1
0.019795,1,12,1
0.011693,1,21,1
0.012835,1,10,1
0.010011,1,12,1
0.021996,1,11,1
0.0068792,0,0,1
0.020502,1,12,1
0.0066205,0,0,1
0.013355,1,26,1
0.027419,1,13,1
0.01534,1,13,1
0.0071419,0,0,1
0.004909,0,0,1
0.003591,0,0,1
0.0095795,0,0,1
0.0060372,0,0,1
0.011483,1,21,1
0.013962,1,12,1
0.019027,1,17,1
0.0062174,0,0,1
0.011478,1,10,1
0.026112,1,18,1
0.028503,1,18,1
0.015,1,20,1
0.044232,1,17,1
0.050284,5,5,1
0.053801,5,5,1
0.073658,4,3,1
0.055045,4,5,1
0.07601,3,13,1
0.052855,2,13,1
0.045415,1,17,1
0.041256,2,13,1
0.023924,2,16,1
0.033079,5,5,1
0.036156,4,10,1
0.047679,4,10,1
0.054478,5,10,1
0.055605,4,10,1
0.039335,5,5,1
0.054609,2,10,1
0.050501,2,10,1
0.041571,3,13,1
0.031793,3,10,1
0.035414,2,10,1
0.027602,1,13,1
0.020769,3,10,1
0.033758,2,13,1
0.047741,2,13,1
0.049075,2,13,1
0.039074,1,13,1
0.024284,2,13,1
0.021595,2,13,1
0.024976,3,13,1
0.022368,1,13,1
0.023456,1,21,1
0.046466,2,14,1
0.042925,1,14,1
0.040335,1,14,1
0.03139,1,14,1
0.022502,1,14,1
0.031036,2,13,1
0.044208,1,14,1
0.027746,2,13,1
0.034808,2,14,1
0.041639,2,14,1
0.031282,2,14,1
0.04006,2,14,1
0.031898,2,14,1
0.036416,3,14,1
0.030718,2,13,1
0.042428,2,14,1
0.037177,2,14,1
0.034965,3,14,1
0.029867,3,14,1
0.027696,3,14,1
0.026148,2,14,1
0.026768,2,14,1
0.043642,2,14,1
0.039994,3,12,1
0.032491,2,7,1
0.025669,2,9,1
0.035837,1,14,1
0.028992,2,12,1
0.027551,2,11,1
0.012799,2,11,1
0.019223,1,18,1
0.035638,1,13,1
0.032509,1,13,1
0.020984,2,13,1
0.039728,1,13,1
0.045666,2,13,1
0.061419,1,12,1
0.060685,2,12,1
0.01788,2,11,1
0.014278,1,13,1
0.020319,2,12,0
0.046837,3,8,0
0.036247,2,12,0
0.019716,2,10,0
0.025013,1,12,0
0.025797,2,11,0
0.010324,1,11,0
0.016244,2,8,0
0.02033,2,12,0
0.01285,1,24,0
0.016894,2,11,0
0.0054903,0,0,0
0.013367,1,13,0
0.0082204,0,0,0
0.0057981,0,0,0
0.013509,1,25,0
0.0079168,0,0,0
0.0048985,0,0,0
0.015069,1,11,0
0.012125,2,12,0
0.0090712,0,0,0
0.012395,1,19,0
0.012166,1,11,0
0.010542,1,29,0
0.0031796,0,0,0
0.011735,2,13,0
0.004915,0,0,0
0.011077,2,13,0
0.013762,1,11,0
0.028289,1,13,0
0.045617,3,11,0
0.035134,2,10,0
0.023707,1,11,0
0.028512,2,11,0
0.016741,2,9,0
0.01513,1,23,0
0.020334,2,9,0
0.011372,2,8,0
0.009524,0,0,0
0.018929,1,20,0
0.013748,1,13,0
0.010543,1,14,0
0.017655,2,13,0
0.026427,3,13,0
0.026874,1,10,0
0.010871,1,24,0
0.030741,2,10,0
0.015287,2,8,0
0.010753,1,20,0
0.016402,1,23,0
0.0094466,0,0,0
0.011312,1,29,1
0.027112,1,24,1
0.039487,4,13,1
0.036575,4,8,1
0.025129,3,11,1
0.038692,3,8,1
0.038021,2,11,1
0.017863,3,8,1
0.055866,5,3,1
0.098077,5,3,1
0.089261,6,3,1
0.069883,7,3,1
0.052916,4,8,1
0.041582,4,8,1
0.030775,2,11,1
0.011193,1,19,1
0.032537,3,11,1
0.025623,2,10,0
0.017898,1,9,0
0.0556,2,14,0
0.054212,2,14,0
0.011169,1,15,0
0.030664,1,12,0
0.014293,3,11,0
0.03355,2,13,0
0.022408,1,12,0
0.037683,2,12,0
0.015939,2,11,0
0.0090113,0,0,0
0.0085796,0,0,0
0.023191,1,18,0
0.0091285,0,0,0
0.013121,2,16,0
0.0062513,0,0,0
0.012037,1,14,0
0.0033733,0,0,0
0.017622,1,14,0
0.0059735,0,0,0
0.017451,1,13,0
0.0084342,0,0,0
0.011437,1,11,0
0.013029,1,13,0
0.0051261,0,0,0
0.0089299,0,0,0
0.0074127,0,0,0
0.0066996,0,0,0
0.0084736,0,0,0
0.0071663,0,0,0
0.0030356,0,0,0
0.0078515,0,0,0
0.006821,0,0,0
0.008256,0,0,0
0.0047893,0,0,0
0.0089663,0,0,0
0.0054613,0,0,0
0.0036994,0,0,0
0.010807,1,12,0
0.022017,1,13,0
0.0084578,0,0,0
0.010566,1,13,0
0.0092263,0,0,0
0.010897,1,14,0
0.006641,0,0,0
0.013432,1,12,0
0.011281,1,13,0
0.0011869,0,0,0
0.0049002,0,0,0
0.0067808,0,0,0
0.0037195,0,0,0
0.0056327,0,0,0
0.00062948,0,0,0
0.0038626,0,0,0
0.00052344,0,0,0
0.00036303,0,0,0
0.0070979,0,0,0
0.0095523,0,0,0
0.0046019,0,0,0
0.011906,1,27,0
0.0080128,0,0,0
0.003474,0,0,0
0.0076147,0,0,0
0.00851,0,0,0
0.0093423,0,0,0
0.0019361,0,0,0
0.015474,1,12,0
0.0068752,0,0,0
0.0033102,0,0,0
0.0076606,0,0,0
0.003288,0,0,0
0.003812,0,0,0
8.0147e-05,0,0,0
0.0031249,0,0,0
0.0069325,0,0,0
0.0038871,0,0,0
0.0049441,0,0,0
0.0034024,0,0,0
0.0021185,0,0,0
0.0025335,0,0,0
0.012839,1,28,0
0.01441,1,4,0
0.023685,1,4,0
0.031352,2,3,0
0.047987,2,3,0
0.070843,4,3,0
0.091897,4,3,0
0.081404,4,3,0
0.092602,2,3,0
0.070322,2,3,0
0.038363,3,3,0
0.025913,2,3,0
0.015058,1,3,0
0.0071846,0,0,0
0.0062524,0,0,0
0.011287,1,29,0
0.0044856,0,0,0
0.008885,0,0,0
0.003143,0,0,0
0.00036867,0,0,0
0.0015751,0,0,0
0.00064977,0,0,0
0.0023385,0,0,0
0.0031245,0,0,0
0.0040183,0,0,0
0.0034863,0,0,0
0.00033838,0,0,0
0.0012233,0,0,0
0.0019985,0,0,0
0.00014477,0,0,0
0.0014694,0,0,0
0.0020153,0,0,0
0.012806,1,19,0
0.032252,1,19,0
0.034736,1,18,0
0.016128,2,17,0
0.036204,2,3,0
0.027628,5,3,0
0.034337,4,3,0
0.058997,2,3,0
0.02659,2,3,1
0.015391,1,13,1
0.010927,1,18,1
0.0095528,0,0,1
0.0066995,0,0,1
0.0030658,0,0,1
0.0020898,0,0,1
0.0045235,0,0,1
0.0049616,0,0,1
0.0066023,0,0,1
0.0041057,0,0,1
0.0029328,0,0,1
0.0095747,0,0,1
0.018878,1,13,1
0.028293,1,13,1
0.024266,1,19,1
0.01795,1,17,1
0.023247,1,16,1
0.0138,1,12,1
0.012631,1,13,1
0.006753,0,0,1
0.0047043,0,0,1
0.0011252,0,0,1
0.00083294,0,0,0
0.00081043,0,0,0
0.00022116,0,0,0
0.0047811,0,0,0
0.0051666,0,0,0
0.0023184,0,0,0
0.0005132,0,0,0
0.00024555,0,0,0
0.0044959,0,0,0
0.0052305,0,0,0
0.0050297,0,0,0
0.0053587,0,0,0
0.0015173,0,0,0
0.0066945,0,0,0
0.0019658,0,0,0
0.010896,1,28,0
0.0098313,0,0,0
0.010672,1,29,0
0.004956,0,0,0
0.0029539,0,0,0
0.0065393,0,0,0
0.012239,2,14,0
0.014064,1,22,1
0.0084261,0,0,1
0.015045,1,29,1
0.024733,1,15,1
0.032755,2,15,1
0.035057,2,15,1
0.050472,3,15,1
0.038193,4,5,1
0.03744,4,5,1
0.050246,4,5,1
0.049323,4,5,1
0.066659,4,5,1
0.053586,4,5,1
0.057251,4,5,1
0.072427,4,5,1
0.065867,4,4,1
0.054811,4,4,1
0.057317,4,4,1
0.060162,4,4,1
0.054018,4,5,1
0.045096,4,5,1
0.041503,4,4,1
0.045867,4,5,1
0.051081,4,4,1
0.041439,4,4,1
0.035695,3,4,1
0.040902,3,5,1
0.040693,3,5,1
0.040391,3,4,1
0.042157,3,4,1
0.050926,4,5,1
0.049467,3,5,1
0.03784,4,5,1
0.038403,4,5,1
0.041276,4,5,1
0.036366,3,5,1
0.041479,4,4,1
0.040293,4,4,1
0.050173,4,4,1
0.065498,4,4,1
0.069106,5,4,1
0.056509,4,4,1
0.051185,3,4,1
0.042036,3,5,1
0.031445,4,4,1
0.031514,4,3,1
0.024889,3,3,1
0.019457,2,13,1
0.020895,4,3,1
0.026855,4,3,1
0.022136,2,3,1
0.036931,3,5,1
0.031682,3,3,1
0.037155,1,13,1
0.025048,1,15,1
0.019943,1,13,1
0.0029588,0,0,1
0.0044084,0,0,0
0.0041837,0,0,0
0.0065929,0,0,0
0.0062785,0,0,0
0.0033682,0,0,0
0.0051333,0,0,0
0.0049207,0,0,0
0.011086,1,22,0
0.014037,1,17,0
0.023869,1,24,0
0.014617,1,22,0
0.024535,1,16,0
0.013489,1,14,0
0.019417,1,15,0
0.015322,1,15,0
0.0099675,0,0,0
0.014058,1,15,0
0.0048905,0,0,0
0.0050657,0,0,0
0.0047057,0,0,0
0.0059974,0,0,0
0.0048784,0,0,0
0.0050759,0,0,0
0.0046473,0,0,0
0.0053704,0,0,0
0.0051847,0,0,1
0.0023846,0,0,1
0.021237,3,13,1
0.036958,2,3,1
0.0417,4,4,1
0.048343,3,4,1
0.046933,4,4,1
0.052636,4,4,1
0.049068,3,4,1
0.05802,3,4,1
0.040047,4,4,1
0.048105,4,4,1
0.042958,4,4,1
0.045081,4,4,1
0.051021,4,4,1
0.046562,2,4,1
0.046442,3,4,1
0.040094,4,4,1
0.043906,3,4,1
0.05412,2,4,1
0.062265,2,4,1
0.072638,2,4,1
0.075981,2,5,1
0.060381,3,4,1
0.063261,3,5,1
0.062567,3,4,1
0.056662,4,4,1
0.056139,3,4,1
0.062016,4,4,1
0.057471,4,4,1
0.050308,4,4,1
0.066688,4,4,1
0.056821,3,4,1
0.060196,3,4,1
0.059355,3,4,1
0.051206,3,4,1
0.052703,3,4,1
0.049403,3,4,1
0.054425,2,4,1
0.056693,3,4,1
0.052163,3,4,1
0.051369,3,4,1
0.051638,3,4,1
0.052781,3,4,1
0.057028,3,4,1
0.051405,3,4,1
0.045619,3,4,1
0.049008,3,4,1
0.053798,3,4,1
0.058518,3,4,1
0.061445,3,4,1
0.045508,2,4,1
0.042203,3,4,1
0.040813,2,12,1
0.040923,2,12,1
0.043393,2,11,1
0.040887,1,12,1
0.03661,1,12,1
0.038001,2,12,1
0.046308,2,13,1
0.048527,2,13,1
0.065314,3,4,1
0.063833,1,13,1
0.077619,4,4,1
0.057233,2,13,1
0.067164,3,13,1
0.064055,3,13,1
0.070599,4,4,1
0.068553,4,5,1
0.06563,2,13,1
0.076337,2,13,1
0.066789,2,13,1
0.074996,4,5,1
0.074133,4,5,1
0.064466,4,5,1
0.066906,4,5,1
0.075396,3,5,1
0.06541,4,5,1
0.05877,4,5,1
0.063165,2,5,1
0.07214,2,13,1
0.071905,1,14,1
0.063214,1,13,1
0.044766,1,13,1
0.062122,1,13,1
0.063882,1,13,1
0.056378,1,13,1
0.046523,1,13,1
0.050973,1,14,1
0.051488,1,14,1
0.055566,1,13,1
0.058017,1,14,1
0.046055,1,14,1
0.048017,1,14,1
0.041805,1,14,1
0.035049,1,13,1
0.020013,1,13,1
0.022349,1,13,1
0.022286,1,14,1
