@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
2082.8,-4.8124,473.73,1.3723,40,1
2046.4,-4.9187,452.2,1.2597,32,1
1811,-4.9707,452.2,1.1274,27,1
1632.9,-4.9707,452.2,1.1288,23,1
1669.9,-4.879,452.2,1.174,23,1
1783.1,-4.8473,452.2,1.2057,23,1
1719.3,-4.7878,452.2,1.1936,23,1
1673.5,-4.8955,452.2,1.1992,23,1
1645.3,-4.8012,452.2,1.2226,22,1
1626.9,-4.6562,452.2,1.2179,23,1
1619.8,-4.6164,452.2,1.2204,23,1
1680.6,-4.4394,452.2,1.2249,25,1
1727.9,-4.5717,452.2,1.2317,24,1
1752.2,-4.5351,452.2,1.2423,40,1
1730.1,-4.4214,452.2,1.3344,40,1
1816.8,-4.4611,452.2,1.3737,40,1
1816.9,-4.356,452.2,1.3644,40,1
1938.2,-4.4909,452.2,1.3821,40,1
2142.6,-4.4426,473.73,1.4002,40,1
2286.1,-4.604,473.73,1.3279,27,1
2478.1,-4.6434,473.73,1.4731,13,1
2487.1,-4.8158,473.73,1.4884,9,1
2441.3,-4.3709,473.73,1.52,37,1
2402.4,-4.3996,473.73,1.4995,13,1
2367.9,-4.4776,473.73,1.5053,9,1
2477.3,-4.4808,495.26,1.5242,9,1
2588.8,-4.5194,495.26,1.5052,9,1
2722.9,-4.4765,495.26,1.48,9,1
2771.9,-4.5728,495.26,1.4818,9,1
2707,-4.5364,495.26,1.4773,9,1
2696.9,-4.6476,495.26,1.4555,9,1
2701.5,-4.6062,495.26,1.4396,9,1
2814.4,-4.6031,495.26,1.4444,9,1
2756.3,-4.6161,495.26,1.4313,9,1
2718.1,-4.6596,495.26,1.3822,9,1
2643,-4.6792,473.73,1.3656,9,1
2474.4,-4.5218,473.73,1.3701,9,1
2419.8,-4.4929,473.73,1.3583,9,1
2411.9,-4.6505,473.73,1.3036,9,1
2471,-4.7288,473.73,1.2256,14,1
2496.7,-4.724,473.73,1.1749,18,1
2250.7,-4.4028,473.73,1.1618,24,1
2248.8,-4.5456,452.2,1.189,24,1
2103.5,-4.6198,452.2,1.2304,20,1
1944.6,-4.5692,452.2,1.2461,23,1
1972.8,-4.4798,430.66,1.283,15,1
1764.4,-4.7398,430.66,1.2351,15,1
1816.1,-4.5948,796.73,1.3359,14,1
1943.1,-4.5786,753.66,1.4526,13,1
2063.1,-4.4476,732.13,1.5509,13,1
1859.2,-4.505,710.6,1.4876,12,1
1112.8,-4.6473,689.06,1.4817,12,1
975.93,-4.7434,689.06,1.4242,12,1
960.81,-4.7413,732.13,1.3886,13,1
596.76,-4.8613,387.6,1.0132,14,1
780.08,-4.9004,732.13,0.59559,20,1
984.94,-4.8125,732.13,0.5921,15,1
930.93,-4.7151,689.06,0.59791,11,1
535.55,-4.765,430.66,0.61449,10,1
1117.4,-4.5012,710.6,0.81837,13,1
952.87,-4.4973,710.6,1.0027,12,1
690.69,-4.5604,452.2,0.35712,13,1
898.71,-4.3975,538.33,0.95085,9,1
704.56,-4.252,495.26,1.218,9,1
587.19,-4.1154,495.26,1.4936,9,1
257.66,-3.9825,495.26,1.3891,9,1
-62.069,-5.1885,473.73,0.58633,8,1
-45.756,-5.0197,409.13,1.0576,8,1
-56.417,-5.0667,430.66,1.1429,8,1
-81.494,-5.5236,430.66,1.0741,8,1
-101.1,-5.7299,452.2,1.0001,9,1
-82.486,-5.4281,452.2,1.3149,8,1
-64.052,-5.161,473.73,1.4792,8,0
-59.678,-5.1461,473.73,1.4215,9,0
-67.915,-5.4618,473.73,1.371,9,0
-95.105,-6.1596,473.73,0.87597,26,0
-89.927,-6.1937,2239.5,0.35071,49,0
-76.692,-6.1607,473.73,0.39233,51,0
-72.676,-6.0324,473.73,0.39111,49,0
-69.087,-6.1236,2002.6,0.33186,47,0
-64.349,-6.2717,2304.1,0.39248,52,0
-70.347,-6.267,2304.1,0.4028,50,0
-64.989,-6.2513,2325.6,0.3431,56,0
-63.447,-6.3005,215.33,0.31297,52,0
-64.883,-6.3054,2174.9,0.2712,91,0
-66.078,-6.2506,1981.1,0.30481,81,0
-63.832,-6.2242,559.86,0.2864,93,0
-59.853,-6.215,150.73,0.31415,115,0
-62.535,-6.2013,193.8,0.41163,108,0
-65.693,-6.359,559.86,0.30688,106,0
-59.427,-6.4181,538.33,0.32342,105,0
-67.484,-6.4611,473.73,0.23511,97,0
-66.847,-6.4797,301.46,0.34792,107,0
-60.578,-6.4905,279.93,0.37647,127,0
-56.061,-6.4429,150.73,0.33085,142,0
-51.951,-6.4003,366.06,0.24919,146,0
-58.073,-6.3627,323,0.26019,133,0
-61.164,-6.4602,495.26,0.15336,156,0
-59.998,-6.536,430.66,0.19871,153,0
-48.939,-6.4799,409.13,0.16995,155,0
-50.599,-6.3203,301.46,0.23599,172,0
-52.077,-6.324,301.46,0.41982,149,0
-50.05,-6.3726,301.46,0.34198,167,0
-46.23,-6.3911,21.533,0.31658,152,0
-48.415,-6.3833,387.6,0.23422,186,0
-52.826,-6.4087,215.33,0.3829,148,0
-57.945,-6.4079,150.73,0.28926,169,0
-52.721,-6.4585,21.533,0.13805,204,0
-52.686,-6.3598,21.533,0.22902,166,0
-50.732,-6.387,236.87,0.29075,130,0
-53.659,-6.3899,215.33,0.26468,148,0
-54.795,-6.4275,258.4,0.27352,133,0
-58.065,-6.3835,215.33,0.29407,113,0
-67.6,-6.4192,21.533,0.25872,101,0
-95.883,-6.6027,2368.7,0.24082,102,0
-78.187,-6.5508,2368.7,0.26096,102,0
-78.107,-6.5277,775.2,0.27908,122,0
-101.39,-6.6886,430.66,0.20794,136,0
-88.389,-6.5029,1485.8,0.26105,119,0
-86.395,-6.5092,1485.8,0.25549,106,0
-89.638,-6.425,2411.7,0.28423,87,0
-108.56,-6.537,1507.3,0.27755,88,0
-98.366,-6.3885,2304.1,0.31524,88,0
-81.524,-6.3383,2045.7,0.32964,60,0
-73.988,-6.0799,258.4,0.21243,58,0
-70.77,-5.6809,150.73,0.2812,44,0
-59.594,-5.8228,452.2,0.46952,27,0
-73.048,-6.1473,215.33,0.5155,61,0
-53.156,-5.8921,236.87,0.66212,41,0
-50.618,-6.2318,193.8,0.40882,127,0
-62.722,-6.4369,150.73,0.29143,209,0
-61.062,-6.6096,236.87,0.29384,206,0
-50.967,-6.192,258.4,0.43809,166,0
-48.825,-6.252,215.33,0.65711,138,0
-48.909,-6.255,409.13,0.29975,162,0
-50.792,-6.0564,516.8,0.41896,119,0
-47.516,-6.0376,516.8,0.65761,35,0
-52.596,-6.1797,516.8,0.54321,62,0
-54.019,-6.111,236.87,0.59376,145,0
-58.251,-6.3251,279.93,0.47422,117,0
-50.563,-6.2123,279.93,0.75159,112,0
-49.226,-6.3545,279.93,0.54129,117,0
-50.836,-6.2908,279.93,0.44764,133,0
-60.67,-6.4311,236.87,0.40157,180,0
-56.971,-6.3181,279.93,0.3038,204,0
-51.21,-6.1419,301.46,0.50108,73,0
-51.136,-6.1051,258.4,0.84391,45,0
-50.63,-6.1488,258.4,0.60965,116,0
-49.977,-6.2096,236.87,0.45647,208,0
-47.715,-6.3759,193.8,0.44371,210,0
-48.665,-6.3506,172.27,0.47059,164,0
-53.04,-6.1242,193.8,0.46422,177,0
-48.328,-6.3139,279.93,0.49508,117,0
-46.502,-6.1192,258.4,0.64906,135,0
-47.095,-6.2686,258.4,0.36586,180,0
-46.456,-6.0928,258.4,0.66935,112,0
-44.606,-5.9877,258.4,0.97476,85,0
-44.219,-6.2172,279.93,0.55907,101,0
-45.031,-6.2524,258.4,0.54907,115,0
-58.889,-6.5127,430.66,0.27739,178,0
-51.24,-6.3855,215.33,0.26875,215,0
-47.421,-6.3438,215.33,0.38261,222,0
-45.064,-6.3409,258.4,0.72816,201,0
-44.122,-6.4535,258.4,0.29581,205,0
-66.954,-6.3881,236.87,0.24986,101,0
-68.053,-6.2664,172.27,0.36546,70,0
-66.432,-6.2347,215.33,0.25217,62,0
-60.961,-6.3269,279.93,0.31202,73,0
-58.365,-6.256,409.13,0.32926,85,0
-54.221,-6.2116,366.06,0.3777,85,0
-52.287,-6.2716,215.33,0.27463,89,0
-66.222,-6.2644,279.93,0.40934,112,0
-75.165,-6.5161,107.67,0.24854,120,0
-57.541,-6.4631,344.53,0.27204,126,0
-49.787,-6.4287,86.133,0.23369,178,0
-44.531,-6.3783,64.6,0.21106,230,0
-42.539,-6.3515,193.8,0.31388,238,0
-44.794,-6.2907,215.33,0.33623,218,0
-44.423,-6.2758,21.533,0.27732,208,0
-54.661,-6.4488,366.06,0.2576,184,0
-45.135,-6.3104,344.53,0.46299,178,0
-48.263,-6.1143,495.26,0.40267,70,0
-49.669,-5.8318,172.27,0.36787,50,0
-48.22,-6.121,215.33,0.46486,102,0
-50.061,-6.1994,301.46,0.35076,177,0
-48.605,-6.2455,301.46,0.3943,121,0
-53.488,-6.1933,301.46,0.44921,137,0
-53.385,-6.1728,193.8,0.51918,138,0
-50.351,-6.0595,150.73,0.48102,156,0
-50.687,-6.2871,150.73,0.39642,141,0
-75.64,-6.1712,193.8,0.26257,68,0
-113.75,-6.3046,1464.3,0.28375,57,0
-108.56,-6.2302,2885.4,0.23407,68,0
-91.492,-6.1823,236.87,0.22761,54,0
-82.123,-6.1227,236.87,0.22129,58,0
-67.716,-6.2139,172.27,0.25701,65,0
-60.471,-6.2079,236.87,0.33646,70,0
-72.394,-6.4569,258.4,0.13595,95,0
-130.82,-6.5247,3940.6,0.23718,102,0
-118.63,-6.4945,2907,0.20525,97,0
-96.804,-6.3857,150.73,0.23636,88,0
-92.492,-6.2328,172.27,0.27739,62,0
-91.269,-5.9021,172.27,0.38856,48,0
-85.978,-5.9702,1141.3,0.40408,27,0
-107.37,-6.2587,193.8,0.23691,58,0
-101.6,-6.2467,107.67,0.23443,74,0
-114.41,-6.4888,150.73,0.20311,84,0
-89.833,-6.5155,193.8,0.25922,89,0
-87.958,-6.4166,193.8,0.35819,74,0
-95,-6.183,21.533,0.33571,53,0
-116.65,-6.1028,925.93,0.35395,47,0
