@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.070556,0.068886,78,-76,1
0.060864,0.059194,77,-77,1
0.0357,0.034031,79,-75,1
0.032542,0.030872,72,-82,1
0.012945,0.011275,71,-83,1
0.01853,0.016861,69,-85,1
0.017347,0.015678,76,-78,1
0.02206,0.020391,66,-88,1
0.013994,0.012325,10,-144,1
0.017349,0.01568,28,-126,1
0.014303,0.012633,32,-122,1
0.022836,0.021167,24,-130,1
0.017481,0.015811,131,-23,1
0.027325,0.025655,125,-29,1
0.030753,0.029084,39,-115,1
0.012566,0.010897,41,-113,1
0.014635,0.012965,39,-115,1
0.011583,0.0099133,57,-97,1
0.010285,0.0086158,41,-113,1
0.011345,0.0096754,54,-100,1
0.014957,0.013287,57,-97,1
0.0164,0.01473,48,-106,0
0.01176,0.01009,42,-112,0
0.0098642,0.0081948,42,-112,0
0.0065858,0.0049164,53,-101,0
0.0035648,0.0018954,130,-24,0
0.0030833,0.0014139,46,-108,0
0.0049725,0.0033031,41,-113,0
0.0023634,0.00069403,102,-52,0
0.0021726,0.00050324,63,-91,0
0.0032224,0.001553,58,-96,0
0.0028067,0.0011373,61,-93,0
0.0021325,0.0004631,139,-15,0
0.0019576,0.00028822,136,-18,0
0.0023652,0.00069578,59,-95,0
0.0020792,0.00040983,102,-52,0
0.0016776,8.2091e-06,53,-101,0
0.002072,0.00040258,33,-121,0
0.0026185,0.00094913,114,-40,0
0.0020333,0.00036389,35,-119,0
0.0021981,0.00052865,39,-115,0
0.0020819,0.00041248,120,-34,0
0.0016426,0,90,-64,0
0.0019038,0.00026117,7,-147,0
0.0015354,0,28,-126,0
0.0017671,0.00023169,106,-48,0
0.0018848,0.00034933,42,-112,0
0.0014177,0,61,-93,0
0.0012717,0,45,-109,0
0.0012343,0,26,-128,0
0.0015631,0.00032875,96,-58,0
0.0012628,2.8443e-05,116,-38,0
0.0012007,0,111,-43,0
0.0014413,0.00024058,60,-94,0
0.0009747,0,60,-94,0
0.0013405,0.00036578,66,-88,0
0.0010357,6.1027e-05,65,-89,0
0.0012321,0.00025737,89,-65,0
0.0012255,0.00025084,42,-112,0
0.0012037,0.00022903,35,-119,0
0.0019099,0.00093521,106,-48,0
0.0015059,0.00053119,65,-89,0
0.0026587,0.001684,62,-92,0
0.0027823,0.0018076,58,-89,0
0.0023506,0.0013759,67,-80,0
0.0023837,0.001409,117,-30,0
0.002397,0.0014223,21,-126,0
0.0025801,0.0016054,73,-74,0
0.0024774,0.0015027,68,-79,0
0.0030386,0.0020639,59,-88,0
0.0044319,0.0034572,36,-111,0
0.0043285,0.0033537,60,-87,0
0.0025823,0.0016076,148,0,0
0.0023529,0.0013782,108,-40,0
0.0022965,0.0013218,94,-54,0
0.0031848,0.0022101,56,-92,0
0.0014147,0.00044003,50,-98,0
0.0012131,0.00023841,114,-34,0
0.0010185,4.3821e-05,67,-81,0
0.0015653,0.00059063,88,-60,0
0.0011415,0.00016683,89,-59,0
0.00094813,0,105,-43,0
0.00074457,0,41,-107,0
0.0013141,0.00056952,33,-115,0
0.0024421,0.0016975,32,-116,0
0.0022516,0.0015071,33,-115,0
0.0018841,0.0011395,37,-111,0
0.0011368,0.00039221,44,-104,0
0.0014974,0.00075287,42,-106,0
0.0024012,0.0016566,114,-34,0
0.0016395,0.00089489,105,-43,0
0.0013694,0.00062482,130,-18,0
0.0019587,0.0012141,124,-24,0
0.0018334,0.0010888,89,-59,0
0.0010301,0.00028556,117,-31,0
0.0014383,0.00069377,137,-11,0
0.0010738,0.00032927,149,0,0
0.001028,0.0002834,43,-106,0
0.0007551,1.053e-05,131,-18,0
0.00071051,0,110,-39,0
0.0013634,0.00065285,142,-7,0
0.0011663,0.00045582,120,-29,0
0.001372,0.00066144,139,-10,0
0.0010074,0.00029687,40,-109,0
0.0011897,0.00047918,81,-68,0
0.0013494,0.00063892,153,0,0
0.00094072,0.00023021,114,-39,0
0.00073018,1.967e-05,76,-77,0
0.0015976,0.00088713,28,-125,0
0.0010117,0.00030119,80,-73,0
0.0010268,0.00031624,141,-12,0
0.0008272,0.00011669,127,-26,0
0.00086894,0.00015842,57,-96,0
0.002576,0.0018655,123,-30,0
0.0026669,0.0019564,57,-96,0
0.0029646,0.0022541,56,-97,0
0.0020009,0.0012903,105,-48,0
0.0022615,0.001551,72,-81,0
0.002014,0.0013035,57,-96,0
0.00097112,0.00026061,74,-79,0
0.0019104,0.0011999,117,-36,0
0.0024296,0.001719,38,-115,0
0.0013233,0.00061283,38,-115,0
0.0013084,0.00059788,71,-82,0
0.0010703,0.00035983,43,-110,0
0.00066291,0,61,-92,0
0.00093317,0.00027026,63,-90,0
0.0010459,0.00038304,105,-48,0
0.0014334,0.00077052,108,-45,0
0.0018253,0.0011624,76,-77,0
0.0020976,0.0014347,42,-111,0
0.0020115,0.0013486,42,-111,0
0.0012627,0.00059979,46,-107,0
0.0012668,0.0006039,87,-66,0
0.001597,0.00093412,41,-112,0
0.0020838,0.0014209,116,-37,0
0.0013575,0.0006946,47,-106,0
0.0015518,0.00088891,48,-105,0
0.0012902,0.0006273,92,-61,0
0.0013045,0.00064159,104,-49,0
0.0047045,0.0040416,105,-48,0
0.0037216,0.0030587,42,-111,0
0.0039684,0.0033055,51,-102,0
0.003573,0.0029101,69,-84,0
0.0027238,0.0020609,46,-107,0
0.0026478,0.0019849,72,-81,0
0.0017164,0.0010535,98,-55,0
0.0036162,0.0029533,115,-38,0
0.0046148,0.0039519,26,-127,0
0.0039799,0.003317,51,-102,0
0.0029257,0.0022628,15,-138,0
0.0039074,0.0032445,30,-123,0
0.0052504,0.0045874,141,-12,0
0.0044728,0.0038098,64,-89,0
0.0028368,0.0021739,45,-108,0
0.0035464,0.0028835,131,-22,0
0.0023502,0.0016873,45,-108,0
0.0024487,0.0017858,61,-92,0
0.0039114,0.0032485,136,-17,0
0.006805,0.0061421,128,-25,0
0.0077353,0.0070724,61,-92,0
0.0096976,0.0090347,72,-81,0
0.011915,0.011252,65,-88,0
0.0097021,0.0090391,120,-33,0
0.010729,0.010066,38,-115,0
0.012497,0.011834,55,-98,0
0.01236,0.011697,82,-71,0
0.010309,0.0096458,54,-99,0
0.011816,0.011153,54,-99,0
0.0093691,0.0087062,57,-96,0
0.0080205,0.0073576,100,-53,0
0.0055843,0.0049214,110,-43,0
0.004232,0.0035691,40,-113,0
0.0037782,0.0031153,52,-101,0
0.0044531,0.0037902,51,-102,0
0.003054,0.0023911,53,-100,0
0.0029866,0.0023237,51,-102,0
