@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.31597,0.30846,0.047187,-0.11797,3271.3,3208.3,4.4547,-1.057,516.8,86.133,0.13586,0.12799,38,-116,1.414,0.96132,2,-18,1
0.32684,0.31933,0.049909,-0.11525,3347.9,3284.9,4.394,-1.1176,516.8,86.133,0.14461,0.13674,37,-117,1.3841,0.93145,2,-18,1
0.35059,0.34308,0.045372,-0.11978,3480.3,3417.2,4.2068,-1.3049,516.8,86.133,0.14206,0.13419,127,-27,1.4741,1.0214,2,-18,1
0.36701,0.3595,0.043557,-0.1216,3557.3,3494.2,4.186,-1.3257,516.8,86.133,0.14231,0.13444,36,-118,1.5245,1.0718,2,-18,1
0.37725,0.36974,0.044465,-0.12069,3659.6,3596.6,4.206,-1.3056,516.8,86.133,0.15437,0.14651,36,-118,1.5479,1.0953,2,-18,1
0.38641,0.3789,0.046279,-0.11887,3741.7,3678.7,4.1119,-1.3997,516.8,86.133,0.14944,0.14157,124,-30,1.572,1.1194,2,-18,1
0.3928,0.38529,0.046279,-0.11887,3824.1,3761.1,4.1733,-1.3384,516.8,86.133,0.15068,0.14282,35,-119,1.575,1.1223,2,-18,1
0.406,0.39849,0.033575,-0.13158,3835.8,3772.8,4.0683,-1.4434,516.8,86.133,0.14984,0.14198,35,-119,1.5859,1.1333,2,-18,1
0.41429,0.40678,0.024501,-0.14065,3900.5,3837.5,4.0698,-1.4419,516.8,86.133,0.14998,0.14211,35,-119,1.5848,1.1322,2,-18,1
0.41087,0.40336,0.033575,-0.13158,3988.1,3925.1,4.1639,-1.3477,516.8,86.133,0.15855,0.15069,36,-118,1.5538,1.1011,2,-18,1
