@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
1737.2,-4.934,452.2,0.061025,4,4,1
1783.1,-4.9357,452.2,0.061064,4,4,1
1850.8,-4.8897,452.2,0.060989,3,4,1
1932.4,-4.8398,452.2,0.058925,4,4,1
1919.1,-4.8897,452.2,0.061403,4,4,1
1920.6,-4.8701,452.2,0.056773,3,4,1
1941.8,-4.9068,473.73,0.054869,3,4,1
1957.1,-4.8105,473.73,0.052834,3,4,1
1988,-4.8613,473.73,0.053268,3,4,1
2061.3,-4.8469,473.73,0.053071,3,4,1
2067.1,-4.8676,473.73,0.054887,3,4,1
2110.9,-4.7848,473.73,0.046698,3,4,1
2082.8,-4.8124,473.73,0.052593,3,4,1
2046.4,-4.9187,452.2,0.056149,3,4,1
1811,-4.9707,452.2,0.063611,3,4,1
1632.9,-4.9707,452.2,0.057173,3,4,1
1669.9,-4.879,452.2,0.044388,4,4,1
1783.1,-4.8473,452.2,0.051174,3,4,1
1719.3,-4.7878,452.2,0.049968,3,4,1
1673.5,-4.8955,452.2,0.062787,4,4,1
1645.3,-4.8012,452.2,0.054515,3,4,1
1626.9,-4.6562,452.2,0.045489,3,4,1
1619.8,-4.6164,452.2,0.042064,4,4,1
1680.6,-4.4394,452.2,0.035876,3,4,1
1727.9,-4.5717,452.2,0.036256,4,4,1
1752.2,-4.5351,452.2,0.040238,4,4,1
1730.1,-4.4214,452.2,0.034356,1,12,1
1816.8,-4.4611,452.2,0.035893,1,12,1
1816.9,-4.356,452.2,0.03578,3,4,1
1938.2,-4.4909,452.2,0.042396,3,13,1
2142.6,-4.4426,473.73,0.045374,2,13,1
2286.1,-4.604,473.73,0.05759,3,4,1
2478.1,-4.6434,473.73,0.061284,3,4,1
2487.1,-4.8158,473.73,0.065037,4,4,1
2441.3,-4.3709,473.73,0.05337,3,4,1
2402.4,-4.3996,473.73,0.059074,4,4,1
2367.9,-4.4776,473.73,0.067908,4,4,1
2477.3,-4.4808,495.26,0.065216,4,4,1
2588.8,-4.5194,495.26,0.065423,4,4,1
2722.9,-4.4765,495.26,0.058607,3,5,1
2771.9,-4.5728,495.26,0.065811,4,4,1
2707,-4.5364,495.26,0.06211,3,5,1
2696.9,-4.6476,495.26,0.068274,4,5,1
2701.5,-4.6062,495.26,0.064554,4,5,1
2814.4,-4.6031,495.26,0.067564,4,5,1
2756.3,-4.6161,495.26,0.062445,4,5,1
2718.1,-4.6596,495.26,0.062455,4,5,1
2643,-4.6792,473.73,0.060428,4,5,1
2474.4,-4.5218,473.73,0.050547,4,5,1
2419.8,-4.4929,473.73,0.050091,4,5,1
2411.9,-4.6505,473.73,0.061305,3,4,1
2471,-4.7288,473.73,0.063691,2,5,1
2496.7,-4.724,473.73,0.056059,3,4,1
2250.7,-4.4028,473.73,0.042735,1,14,1
2248.8,-4.5456,452.2,0.054352,2,13,1
2103.5,-4.6198,452.2,0.062726,2,13,1
1944.6,-4.5692,452.2,0.057258,1,13,1
1972.8,-4.4798,430.66,0.051153,1,13,1
1764.4,-4.7398,430.66,0.053221,1,14,1
1816.1,-4.5948,796.73,0.052709,1,14,1
1943.1,-4.5786,753.66,0.061396,1,13,1
2063.1,-4.4476,732.13,0.061384,1,13,1
1859.2,-4.505,710.6,0.061531,1,14,1
1112.8,-4.6473,689.06,0.053657,1,13,1
975.93,-4.7434,689.06,0.055649,1,13,1
960.81,-4.7413,732.13,0.049416,1,13,1
596.76,-4.8613,387.6,0.03792,1,13,1
780.08,-4.9004,732.13,0.037193,1,13,1
984.94,-4.8125,732.13,0.038499,1,13,1
930.93,-4.7151,689.06,0.032158,1,13,1
535.55,-4.765,430.66,0.025314,1,13,1
1117.4,-4.5012,710.6,0.020692,1,13,1
952.87,-4.4973,710.6,0.011813,1,13,1
690.69,-4.5604,452.2,0.005251,0,0,1
898.71,-4.3975,538.33,0.012143,1,19,1
704.56,-4.252,495.26,0.0032361,0,0,1
587.19,-4.1154,495.26,0.0071064,0,0,1
257.66,-3.9825,495.26,0.0024193,0,0,1
-62.069,-5.1885,473.73,0.0051232,0,0,1
-45.756,-5.0197,409.13,0.0025872,0,0,1
-56.417,-5.0667,430.66,5.809e-05,0,0,1
-81.494,-5.5236,430.66,0.00037019,0,0,1
-101.1,-5.7299,452.2,0.0025863,0,0,1
-82.486,-5.4281,452.2,0.0049656,0,0,1
-64.052,-5.161,473.73,0.0038748,0,0,0
-59.678,-5.1461,473.73,0.0021835,0,0,0
-67.915,-5.4618,473.73,0.0036753,0,0,0
-95.105,-6.1596,473.73,0.003271,0,0,0
-89.927,-6.1937,2239.5,0.0064139,0,0,0
-76.692,-6.1607,473.73,0.0053362,0,0,0
-72.676,-6.0324,473.73,0.0074631,0,0,0
-69.087,-6.1236,2002.6,0.0052054,0,0,0
-64.349,-6.2717,2304.1,0.0051295,0,0,0
-70.347,-6.267,2304.1,0.004962,0,0,0
-64.989,-6.2513,2325.6,0.0055974,0,0,0
-63.447,-6.3005,215.33,0.0035087,0,0,0
-64.883,-6.3054,2174.9,0.0029035,0,0,0
-66.078,-6.2506,1981.1,0.0046706,0,0,0
-63.832,-6.2242,559.86,0.0022832,0,0,0
-59.853,-6.215,150.73,0.0019002,0,0,0
-62.535,-6.2013,193.8,0.0025978,0,0,0
-65.693,-6.359,559.86,0.0018858,0,0,0
-59.427,-6.4181,538.33,0.0023821,0,0,0
-67.484,-6.4611,473.73,0.0013251,0,0,0
-66.847,-6.4797,301.46,0.002428,0,0,0
-60.578,-6.4905,279.93,0.0017317,0,0,0
-56.061,-6.4429,150.73,0.0012584,0,0,0
-51.951,-6.4003,366.06,0.00092492,0,0,0
-58.073,-6.3627,323,0.0011783,0,0,0
-61.164,-6.4602,495.26,0.0013041,0,0,0
-59.998,-6.536,430.66,0.001524,0,0,0
-48.939,-6.4799,409.13,0.0007125,0,0,0
-50.599,-6.3203,301.46,0.00054682,0,0,0
-52.077,-6.324,301.46,0.00072152,0,0,0
-50.05,-6.3726,301.46,0.001012,0,0,0
-46.23,-6.3911,21.533,0.0015837,0,0,0
-48.415,-6.3833,387.6,0.00089905,0,0,0
-52.826,-6.4087,215.33,0.00092615,0,0,0
-57.945,-6.4079,150.73,0.00087119,0,0,0
-52.721,-6.4585,21.533,0.00042618,0,0,0
-52.686,-6.3598,21.533,0.00098241,0,0,0
-50.732,-6.387,236.87,0.0017719,0,0,0
-53.659,-6.3899,215.33,0.0023143,0,0,0
-54.795,-6.4275,258.4,0.0020159,0,0,0
-58.065,-6.3835,215.33,0.0029427,0,0,0
-67.6,-6.4192,21.533,0.0031617,0,0,0
