@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.28454,0.033575,1.4222,2,1
0.27155,0.04265,1.4365,2,1
0.26487,0.046279,1.4192,2,1
0.26378,0.043557,1.366,2,1
0.25317,0.041742,1.2803,3,1
0.24702,0.04265,1.224,5,1
0.23802,0.034483,1.2141,5,1
0.23313,0.033575,1.2147,5,1
0.22193,0.051724,1.2035,5,1
0.20106,0.052632,1.1633,5,1
0.20402,0.041742,1.2002,4,1
0.19735,0.039927,1.1523,4,1
0.19263,0.037205,1.2532,3,1
0.22543,0.033575,1.3698,3,1
0.24277,0.03539,1.4681,3,1
0.20881,0.036298,1.4048,3,1
0.15739,0.03176,1.3989,3,1
0.14006,0.036298,1.3414,3,1
0.12612,0.040835,1.3058,3,1
0.095351,0.043557,0.93037,3,1
0.085524,0.041742,0.33588,3,1
0.1027,0.032668,0.4899,3,1
0.10916,0.033575,0.44503,3,1
0.10594,0.033575,0.41626,3,1
0.1169,0.030853,0.70382,3,1
0.11644,0.03176,0.48402,3,1
0.11379,0.029946,0.56808,3,1
0.11397,0.028131,0.7246,2,1
0.11152,0.024501,1.051,2,1
0.10975,0.021779,1.423,2,1
0.076888,0.028131,1.5561,2,1
0.029784,0.043557,0.96268,2,1
0.018392,0.036298,1.2531,2,1
0.017244,0.018149,1.3877,2,1
0.0092862,0.044465,1.2975,2,1
0.0081317,0.053539,1.2515,2,1
0.010933,0.03176,1.48,2,1
0.011548,0.025408,1.5604,2,0
0.010044,0.023593,1.565,2,0
0.005248,0.038113,1.5127,2,0
0.0020845,0.088929,0.9581,3,0
0.00075788,0.11887,0.1937,8,0
0.00016916,0.11434,0.29598,9,0
0.00027855,0.11434,0.36764,10,0
1.0106e-06,0.12704,0.24908,10,0
0,0.14882,0.30356,12,0
0,0.15064,0.27159,9,0
0,0.14701,0.20695,10,0
0,0.13975,0.11925,10,0
0,0.13884,0.12083,24,0
2.7633e-05,0.14701,0.15084,21,0
5.6604e-05,0.15245,0.20361,17,0
5.1336e-05,0.12976,0.15267,25,0
7.4598e-05,0.12341,0.14695,25,0
0,0.15336,0.18053,21,0
0,0.15971,0.21826,19,0
5.9596e-05,0.16515,0.1285,22,0
8.7509e-05,0.17695,0.17596,23,0
0,0.18603,0.25819,25,0
0,0.18421,0.12542,26,0
7.1899e-05,0.17604,0.11925,37,0
0.00024339,0.15426,0.19709,29,0
0.00015508,0.16969,0.15035,29,0
0,0.20871,0.14581,28,0
0,0.22232,0.16259,33,0
0.00014745,0.20236,0.089946,37,0
0.00025095,0.16606,0.18119,42,0
0.00011661,0.18421,0.09616,41,0
0,0.22323,0.16813,21,0
0,0.20599,0.10452,42,0
0.00021293,0.15154,0.117,29,0
0.00034809,0.14247,0.026525,27,0
0.00020177,0.16697,0.028908,40,0
0.00017586,0.16243,0.048057,35,0
0.00019072,0.1588,0.035666,23,0
0.00010736,0.16788,0.079368,32,0
0.00021436,0.16515,0.14905,22,0
