@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0,5.2854,0,0,8,0
0.15759,5.2594,215.33,0.13876,3,0
5.9154,5.3065,1205.9,0.10411,7,0
21.998,5.4885,172.27,0.032376,11,0
24.071,5.5117,172.27,0.074116,20,1
0,5.2883,0,0.3941,2,1
1160.5,4.7392,0,0.56689,2,1
1670.4,4.759,0,0.58999,3,1
1407.1,4.5461,0,0.84662,6,1
1598.3,4.6393,0,0.83336,6,1
1842.2,4.8211,21.533,0.6918,6,1
1952.5,4.6152,21.533,0.89374,6,1
2226.7,4.3435,21.533,0.97049,6,1
2375.4,4.5463,43.066,0.90437,6,1
2358.3,4.637,21.533,0.84129,6,1
2597.1,4.7844,21.533,0.79021,6,1
2745.6,4.518,43.066,0.91498,6,1
2886.2,4.6711,43.066,0.856,6,1
3033.4,4.7898,43.066,0.8044,6,1
3725.3,4.658,43.066,0.9081,7,1
3422.7,4.3657,64.6,0.94384,7,1
3511.9,4.457,64.6,0.94346,7,1
3401.5,4.4561,43.066,0.95245,7,1
3054.1,4.4385,43.066,0.9865,7,1
2941.7,4.3903,43.066,0.98663,7,1
2857.4,4.3383,43.066,0.96155,7,1
2993.6,4.4427,43.066,1.0017,7,1
2809.4,4.5054,43.066,1.0653,3,1
2897,4.3734,64.6,1.0837,2,1
2921.1,4.2427,64.6,1.1061,2,1
3196,4.3726,64.6,1.1326,2,1
3245.7,4.2772,64.6,1.0773,2,1
3262.8,4.332,64.6,1.0166,2,1
3208.2,4.3417,86.133,1.0059,2,1
3208.3,4.4547,86.133,0.96132,2,1
3284.9,4.394,86.133,0.93145,2,1
3417.2,4.2068,86.133,1.0214,2,1
3494.2,4.186,86.133,1.0718,2,1
3596.6,4.206,86.133,1.0953,2,1
3678.7,4.1119,86.133,1.1194,2,1
3761.1,4.1733,86.133,1.1223,2,1
3772.8,4.0683,86.133,1.1333,2,1
3837.5,4.0698,86.133,1.1322,2,1
3925.1,4.1639,86.133,1.1011,2,1
3925.4,4.1979,86.133,1.0773,2,1
3952.4,4.1153,86.133,1.0923,2,1
3808,3.9727,86.133,1.129,2,1
3530.5,3.8876,86.133,1.1562,2,1
3353.9,3.8163,86.133,1.1788,2,1
3356.7,3.8153,86.133,1.1866,2,1
3541.6,3.707,86.133,1.1281,2,1
3855.5,3.5803,107.67,1.1796,2,1
3259.6,3.6082,107.67,1.1781,2,1
2710.1,3.8238,107.67,1.1917,2,1
1808.1,3.9439,107.67,1.0449,2,1
1567,4.0169,86.133,1.2184,2,1
501.32,4.609,43.066,1.0243,2,1
85.688,5.2066,0,0.81455,2,1
7.1929,5.5821,107.67,0.2073,7,1
9.2935,5.4706,86.133,0.13439,7,1
13.358,5.3391,107.67,0.42336,3,1
0,4.8904,86.133,0.91545,2,0
10.662,5.0393,107.67,0.92053,2,0
10.671,5.0413,64.6,0,2,0
15.07,5.2364,0,0,6,0
15.997,5.2043,0,0,7,0
23.348,5.3315,0,0.046257,7,0
30.255,5.3726,215.33,0.28909,9,0
36.757,5.4139,1873.4,0.42786,7,0
23.758,5.3216,1894.9,0.71512,8,0
0.55085,5.2756,1765.7,0.64916,7,0
35.624,5.4947,172.27,0.39981,10,0
35.419,5.5056,1938,0.21372,10,0
53.087,5.5974,107.67,0.15671,19,0
54.157,5.6045,1981.1,0.1712,17,0
37.883,5.4481,1916.5,0.38027,10,0
