@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
48.124,5.5428,129.2,0.28757,15,0
48.154,5.564,150.73,0.12837,19,0
32.178,5.4406,107.67,0.11084,19,0
23.604,5.5286,43.066,0.21345,11,0
10.425,5.404,172.27,0.097634,11,0
0,5.3125,150.73,0.1582,12,0
0,5.3636,301.46,0.13132,24,0
1.3852,5.4497,21.533,0.05965,17,0
23.648,5.4852,172.27,0.15667,17,0
43.8,5.5506,409.13,0.20604,12,0
44.562,5.4407,452.2,0.37871,2,1
844.92,4.4832,430.66,1.1602,2,1
1193.6,4.2961,409.13,1.4117,2,1
1654.7,4.5453,387.6,1.4811,2,1
1871.5,4.5873,387.6,1.4382,2,1
1940.3,4.4656,387.6,1.4052,2,1
2086.5,4.476,387.6,1.37,9,1
2266.3,4.6013,409.13,1.3365,8,1
2243.5,4.4307,409.13,1.3419,2,1
2310.1,4.4819,409.13,1.374,2,1
2296,4.4098,409.13,1.4011,2,1
2304.9,4.4951,409.13,1.4068,2,1
2312.3,4.4804,409.13,1.4263,2,1
2327.7,4.422,409.13,1.4213,2,1
2409.6,4.5704,409.13,1.418,2,1
2365.9,4.464,409.13,1.4281,2,1
2298.6,4.434,387.6,1.4647,2,1
2312.5,4.4973,409.13,1.4963,2,1
2271.1,4.4008,409.13,1.5023,2,1
2287.3,4.5523,387.6,1.4803,2,1
2218.9,4.4563,387.6,1.4842,3,1
2275.9,4.5984,387.6,1.472,2,1
2249.1,4.7653,387.6,1.4283,2,1
2111.7,4.5053,366.06,1.4122,2,1
2060.1,4.5778,366.06,1.4328,3,1
1960.6,4.6164,366.06,1.391,7,1
1790.6,4.7082,366.06,1.3209,11,1
1745.5,4.6883,366.06,1.3245,13,1
1784.4,4.6731,366.06,1.3206,13,1
1782.6,4.6545,366.06,1.3189,12,1
1800.6,4.6404,366.06,1.3415,8,1
1843.4,4.6716,366.06,1.3426,3,1
1915.2,4.612,366.06,1.384,3,1
1999.4,4.5662,366.06,1.3736,4,1
2000.3,4.5699,366.06,1.3357,3,1
1993.5,4.5764,366.06,1.3075,4,1
2022.3,4.5838,387.6,1.3317,4,1
2032.8,4.472,387.6,1.3937,2,1
2075.8,4.4937,387.6,1.4028,2,1
2146.4,4.4884,387.6,1.4163,2,1
2147.1,4.5165,387.6,1.3828,2,1
2195.4,4.4116,387.6,1.3756,5,1
2171.4,4.4455,387.6,1.3612,9,1
2135.3,4.5813,366.06,1.3278,9,1
1886,4.6712,366.06,1.2129,8,1
1697.2,4.661,366.06,1.1347,5,1
1727.5,4.5676,366.06,1.0993,5,1
1831.2,4.5541,366.06,1.127,5,1
1760.3,4.512,366.06,1.1108,5,1
1709.3,4.6393,366.06,1.1165,5,1
1684,4.5755,366.06,1.1398,5,1
1682,4.363,366.06,1.1352,5,1
1673.7,4.3348,366.06,1.1376,5,1
1724.2,4.1706,366.06,1.1421,6,1
1785.8,4.2908,366.06,1.1519,5,1
1794.3,4.3072,366.06,1.3136,8,1
1786.3,4.1329,366.06,1.3789,8,1
1882,4.1325,366.06,1.4276,8,1
1869.7,4.0696,366.06,1.4269,8,1
2011.3,4.1403,366.06,1.4122,8,1
2211.1,4.0852,387.6,1.3814,9,1
2361.6,4.2757,387.6,1.352,9,1
2552.9,4.3513,387.6,1.4312,5,1
2565.8,4.5096,387.6,1.4769,2,1
2505.8,4.0363,387.6,1.454,9,1
2469.7,4.0714,387.6,1.454,5,1
2439.9,4.1327,387.6,1.4859,2,1
2551.8,4.1338,409.13,1.4993,2,1
2666.9,4.1928,409.13,1.4873,2,1
2794.7,4.1412,409.13,1.4847,2,1
2849.9,4.2368,409.13,1.4879,2,1
2778.6,4.2059,409.13,1.4873,2,1
2781.1,4.3005,409.13,1.4833,2,1
2776,4.2836,409.13,1.4727,2,1
2878.7,4.3106,409.13,1.4801,2,1
2834.4,4.2781,409.13,1.4678,2,1
2790.3,4.3428,409.13,1.4376,2,1
2726.3,4.3345,387.6,1.4222,2,1
2539.9,4.1917,387.6,1.4365,2,1
2486.8,4.1652,387.6,1.4192,2,1
2485.5,4.325,387.6,1.366,2,1
2548.9,4.4136,387.6,1.2803,3,1
2570.1,4.411,387.6,1.224,5,1
2308.7,4.1003,387.6,1.2141,5,1
2314.8,4.2374,366.06,1.2147,5,1
2165.2,4.3355,366.06,1.2035,5,1
1996.1,4.3068,366.06,1.1633,5,1
2025.5,4.2084,344.53,1.2002,4,1
1821.3,4.4652,344.53,1.1523,4,1
1859.7,4.3652,710.6,1.2532,3,1
1999.6,4.32,667.53,1.3698,3,1
2108.4,4.2261,646,1.4681,3,1
1895,4.3082,624.46,1.4048,3,1
1149.7,4.3928,602.93,1.3989,3,1
1010.5,4.4876,602.93,1.3414,3,1
983.71,4.5219,646,1.3058,3,1
621.11,4.6122,301.46,0.93037,3,1
780.08,4.7145,646,0.33588,3,1
983.14,4.6123,646,0.4899,3,1
928.22,4.5398,602.93,0.44503,3,1
546.2,4.5428,344.53,0.41626,3,1
1116.1,4.3201,624.46,0.70382,3,1
944.98,4.293,624.46,0.48402,3,1
680.03,4.3291,366.06,0.56808,3,1
899.25,4.1903,452.2,0.7246,2,1
712.49,3.9878,409.13,1.051,2,1
602.45,3.8042,409.13,1.423,2,1
261.37,3.604,409.13,1.5561,2,1
0,4.6371,387.6,0.96268,2,1
0,4.4872,323,1.2531,2,1
11.775,4.5071,344.53,1.3877,2,1
37.024,4.8589,344.53,1.2975,2,1
55.854,5.2049,366.06,1.2515,2,1
40.459,4.9431,366.06,1.48,2,1
24.833,4.6361,387.6,1.5604,2,0
21.947,4.4768,387.6,1.565,2,0
32.332,4.8134,387.6,1.5127,2,0
42.127,5.2624,387.6,0.9581,3,0
45.873,5.4435,2153.3,0.1937,8,0
39.456,5.476,387.6,0.29598,9,0
37.816,5.3485,387.6,0.36764,10,0
35.565,5.462,1916.5,0.24908,10,0
30.738,5.5172,2217.9,0.30356,12,0
32.843,5.4499,2217.9,0.27159,9,0
29.594,5.4607,2239.5,0.20695,10,0
29.015,5.5109,129.2,0.11925,10,0
31.006,5.5835,2088.7,0.12083,24,0
33.428,5.5383,1894.9,0.15084,21,0
29.986,5.5134,473.73,0.20361,17,0
26.987,5.4623,64.6,0.15267,25,0
29.427,5.4663,107.67,0.14695,25,0
30.429,5.5813,473.73,0.18053,21,0
26.829,5.6439,452.2,0.21826,19,0
28.45,5.6086,387.6,0.1285,22,0
27.744,5.5888,215.33,0.17596,23,0
24.707,5.6354,193.8,0.25819,25,0
21.17,5.6076,64.6,0.12542,26,0
19.643,5.5367,279.93,0.11925,37,0
23.08,5.5329,236.87,0.19709,29,0
25.659,5.612,409.13,0.15035,29,0
21.382,5.5983,344.53,0.14581,28,0
16.346,5.5745,323,0.16259,33,0
18.96,5.4579,215.33,0.089946,37,0
19.308,5.4393,215.33,0.18119,42,0
18.37,5.479,215.33,0.09616,41,0
14.414,5.4603,0,0.16813,21,0
17.025,5.4828,366.06,0.10452,42,0
17.689,5.4346,193.8,0.117,29,0
19.751,5.4653,129.2,0.026525,27,0
17.72,5.5718,0,0.028908,40,0
18.507,5.4901,0,0.048057,35,0
19.328,5.5073,215.33,0.035666,23,0
21.667,5.5451,193.8,0.079368,32,0
21.006,5.551,236.87,0.14905,22,0
22.692,5.5113,193.8,0.11444,20,0
29.311,5.5868,0,0.13525,19,0
40.282,5.6946,2347.1,0.15137,20,0
32.772,5.6581,2347.1,0.13626,23,0
33.072,5.6332,753.66,0.15145,28,0
36.574,5.6879,409.13,0.086467,35,0
41.301,5.687,1464.3,0.17826,24,0
39.165,5.6596,1464.3,0.17271,23,0
43.188,5.6241,2390.2,0.20144,14,0
50.521,5.7018,1485.8,0.19476,18,0
48.524,5.5993,2282.5,0.23245,17,0
39.071,5.5316,2024.1,0.21395,11,0
36.824,5.3725,236.87,0.0037857,13,0
36.272,5.1589,129.2,0.01375,6,0
25.511,5.0582,430.66,0.40855,8,0
29.854,5.2878,193.8,0,9,0
18.62,4.9608,215.33,0,2,0
16.951,5.2824,172.27,0.035307,21,0
19.405,5.3975,129.2,0.069728,44,0
19.598,5.6018,215.33,0.045397,42,0
15.495,5.1735,236.87,0.081697,29,0
14.887,5.2668,193.8,0.059161,25,0
14.431,5.2573,387.6,0.05178,31,0
17.248,5.0953,495.26,0.48389,13,0
14.802,4.9816,495.26,0.77998,6,0
18.551,5.2488,495.26,0.50999,9,0
18.465,5.0912,215.33,0.095763,20,0
21.714,5.409,258.4,0.18294,30,0
17.282,5.2352,258.4,0.71145,18,0
16.48,5.4072,258.4,0.5724,25,0
17.655,5.3768,258.4,0.22139,21,0
21.082,5.4953,215.33,0.10886,28,0
18.333,5.3938,258.4,0.22989,36,0
17.21,5.1854,279.93,0.18531,11,0
17.221,5.0995,236.87,0.3048,10,0
16.238,5.2741,236.87,0.2093,17,0
15.52,5.2329,215.33,0.098336,33,0
14.263,5.4014,172.27,0.043907,32,0
15.374,5.4244,150.73,0.019445,37,0
17.322,5.1381,172.27,0.083941,25,0
14.787,5.2867,258.4,0.31851,22,0
14.009,5.0739,236.87,0.3395,17,0
14.272,5.3307,236.87,0.094906,31,0
14.562,5.1141,236.87,0.28475,13,0
12.62,4.9006,236.87,0.44561,14,0
11.806,5.2641,258.4,0.33226,19,0
12.799,5.2535,236.87,0.050638,30,0
22.269,5.6371,409.13,0.11598,29,0
16.159,5.4313,193.8,0.065171,52,0
14.042,5.3278,193.8,0.020469,50,0
11.736,5.335,236.87,0.082679,34,0
12.125,5.4903,236.87,0.095791,31,0
30.476,5.5848,215.33,0.20173,14,0
32.088,5.5267,150.73,0.24165,10,0
30.341,5.4482,193.8,0.24643,11,0
26.639,5.5018,258.4,0.16651,11,0
23.986,5.412,387.6,0.29495,16,0
21.37,5.3726,344.53,0.2395,17,0
20.183,5.4251,193.8,0.094735,23,0
28.583,5.3947,258.4,0.28101,16,0
31.483,5.6461,86.133,0.16083,25,0
20.832,5.5366,323,0.24301,27,0
14.559,5.4797,64.6,0.23326,41,0
11.391,5.4215,43.066,0.075702,54,0
10.116,5.2761,172.27,0.097349,54,0
11.761,5.2367,193.8,0.12659,46,0
11.428,5.2756,0,0.11168,50,0
19.941,5.5021,344.53,0.22955,40,0
11.97,5.2887,323,0.39377,29,0
15.454,5.1069,473.73,0.32223,9,0
16.867,4.9473,150.73,0.28935,6,0
15.511,5.1318,193.8,0.13074,12,0
15.342,5.2593,279.93,0.25186,29,0
14.222,5.2539,279.93,0.28438,18,0
18.431,5.2004,279.93,0.31793,25,0
18.902,5.2442,172.27,0.20291,29,0
15.937,5.2361,129.2,0.040268,27,0
16.153,5.3168,129.2,0.10746,27,0
40.643,5.5249,172.27,0.19432,10,0
63.9,5.6513,1442.7,0.24139,11,0
63.245,5.6323,2863.9,0.203,12,0
52.784,5.59,215.33,0.21198,11,0
45.324,5.5188,215.33,0.18834,13,0
32.104,5.4844,150.73,0.17015,12,0
26.081,5.3796,215.33,0.1888,14,0
31.809,5.6496,236.87,0.12281,20,0
64.454,5.7457,3919,0.18074,21,0
57.788,5.6987,2885.4,0.20482,23,0
48.472,5.6569,129.2,0.20207,17,0
50.296,5.5856,150.73,0.16813,9,0
52.214,5.368,150.73,0.2866,7,0
45.485,5.3267,1119.7,0.35269,5,0
58.163,5.5954,172.27,0.11472,11,0
54.9,5.6213,86.133,0.13896,15,0
53.74,5.6607,129.2,0.19801,20,0
39.085,5.6457,172.27,0.20937,15,0
38.665,5.5691,172.27,0.17237,13,0
48.535,5.4859,0,0.33528,10,0
62.367,5.4481,904.39,0.35311,9,0
72.271,5.4513,818.26,0.36854,12,0
73.742,5.434,2433.3,0.31487,9,0
73.851,5.4326,1894.9,0.25116,8,0
75.433,5.4505,2304.1,0.3128,10,0
83.882,5.5452,1916.5,0.34586,10,0
80.607,5.5087,2325.6,0.45104,12,0
85.652,5.5655,2433.3,0.34644,10,0
83.92,5.5468,2174.9,0.30958,11,0
78.944,5.4948,473.73,0.27391,12,0
73.833,5.4542,2045.7,0.31126,8,0
68.124,5.4121,279.93,0.40985,8,0
60.467,5.4001,301.46,0.29554,9,0
50.844,5.4686,495.26,0.24337,10,0
46.467,5.3707,172.27,0.17643,12,0
42.357,5.3677,452.2,0.29994,7,0
41.351,5.3517,0,0.41002,4,0
40.966,5.2755,409.13,0.45801,4,0
60.309,5.4736,387.6,0.31578,12,0
67.58,5.4284,1894.9,0.4256,8,0
64.494,5.361,2045.7,0.33447,15,0
73.444,5.461,279.93,0.19988,22,0
72.729,5.4599,279.93,0.30811,22,0
67.737,5.4285,215.33,0.33057,29,0
90.667,5.6345,8053.4,0.28272,29,0
52.01,5.472,344.53,0.20942,30,0
76.397,5.4679,129.2,0.19864,15,0
67.414,5.3528,2045.7,0.27906,12,0
56.944,5.2355,150.73,0.20674,8,0
40.418,5.0688,150.73,0.11183,9,0
36.988,5.3423,43.066,0.0033009,3,0
37.333,5.4344,43.066,0,1,0
39.643,5.4158,43.066,0.0087333,3,0
42.625,5.5327,0,0.034555,12,0
130.49,4.4432,646,0.74664,3,1
831.48,4.586,689.06,0.45972,3,1
656.35,4.4722,753.66,1.1881,3,1
649.94,4.8548,538.33,0.62862,2,1
1196.3,4.5296,624.46,1.0919,3,1
1530.1,4.3542,689.06,1.1308,3,1
1049.8,4.5143,387.6,1.0108,3,1
1123.2,4.3783,409.13,1.3515,5,1
1116,4.2569,430.66,1.515,5,1
1312.5,4.0254,430.66,1.6333,9,1
1300.4,3.9388,430.66,1.6269,8,1
1294.1,3.8637,430.66,1.6216,8,1
1171.3,4.0757,430.66,1.5576,8,1
1007.5,4.1023,430.66,1.4978,5,1
912.21,4.244,409.13,1.4091,5,1
786.47,4.3047,409.13,1.2399,5,1
765.47,4.2886,387.6,1.2232,4,1
767.42,4.3184,387.6,1.2358,6,1
725.05,4.4002,732.13,1.3396,3,1
659.55,4.3291,710.6,1.3643,3,1
803.11,4.3405,667.53,1.3906,3,1
798.85,4.2494,646,1.4523,3,1
974.99,4.021,624.46,1.5774,3,1
889.44,4.3373,602.93,1.3654,2,1
738.39,4.5756,559.86,1.179,2,1
531.77,4.7488,516.8,1.1143,2,1
455.33,4.7217,473.73,1.2296,3,1
368.08,4.6896,452.2,1.0467,3,1
355.37,4.5492,452.2,1.0048,3,1
357.94,4.4735,452.2,0.93634,4,1
344.64,4.6022,452.2,0.91678,4,1
645.58,4.9509,452.2,0.62825,4,1
586.41,4.8292,430.66,0.49606,5,1
426.67,4.7403,452.2,0.72955,5,1
467.23,4.6878,452.2,0.90363,4,1
411.41,4.6578,473.73,1.1634,5,1
407.47,4.5076,473.73,1.2576,5,1
389.6,4.5249,473.73,1.2541,4,1
414.74,4.6057,473.73,1.2202,4,1
427.35,4.5818,473.73,1.2182,4,1
407.26,4.4808,495.26,1.3082,4,1
405.78,4.4695,495.26,1.3299,5,1
449.85,4.4835,495.26,1.3482,5,1
495.36,4.3678,495.26,1.3872,4,1
453.54,4.397,516.8,1.3874,2,1
442.81,4.5672,516.8,1.3575,2,1
404.24,4.529,516.8,1.2732,4,1
579.43,4.8364,538.33,0.75323,2,1
983.29,4.7931,624.46,0.3752,5,1
2177.9,4.7904,473.73,1.1708,2,1
3930.4,4.3673,516.8,1.5179,2,1
3926.2,3.9116,516.8,1.6574,2,1
3246.5,4.0267,495.26,1.5828,2,1
4168.2,4.0459,516.8,1.4202,2,1
5155.9,4.2773,559.86,1.5692,2,1
7591.3,4.3571,559.86,1.5861,2,1
7332.8,4.0566,559.86,1.631,2,1
6606,4.0607,559.86,1.5807,2,1
5751.1,3.6061,538.33,1.6149,2,1
4977.5,3.6456,538.33,1.6032,2,1
4527,3.8054,516.8,1.5803,2,1
3660.8,3.9457,516.8,1.5357,2,1
2968.3,3.9594,495.26,1.5769,2,1
2645.2,3.8707,495.26,1.6439,2,1
2105.8,3.9154,473.73,1.6544,2,1
1675.1,3.9882,473.73,1.6163,2,1
1888.7,4.0715,452.2,1.6149,2,1
1718.3,4.0796,452.2,1.5565,2,1
1582,4.0084,452.2,1.5517,2,1
1756.2,3.8685,452.2,1.6134,2,1
1922.3,3.8023,452.2,1.6259,2,1
1943.8,3.8147,452.2,1.6205,2,1
1910,3.7969,452.2,1.6331,2,1
1825.5,3.8546,452.2,1.6415,7,1
1705.2,3.864,430.66,1.6347,9,1
1544.6,3.9169,430.66,1.6293,9,1
1432.1,3.9625,430.66,1.5966,8,1
1377,4.0172,430.66,1.5746,8,1
1462,3.8932,430.66,1.6088,8,1
1422.7,3.9345,430.66,1.6001,9,1
1871.7,4.4543,430.66,1.4829,8,1
1831.6,4.1552,452.2,1.3594,9,1
1960,3.9815,452.2,1.4591,9,1
2087.9,3.8902,452.2,1.4466,9,1
2103.2,3.9398,452.2,1.4016,9,1
2054.5,4.0526,452.2,1.3839,9,1
1988.2,4.1913,452.2,1.3777,9,1
1987.2,4.0902,473.73,1.3997,7,1
2101.1,4.0524,473.73,1.4587,2,1
2330.5,3.9457,473.73,1.5118,2,1
2403.5,3.9674,473.73,1.5238,2,1
2366.1,4.0902,473.73,1.5088,2,1
2458.7,4.0526,473.73,1.518,2,1
2557.6,4.042,495.26,1.5377,2,1
2814.8,3.8393,495.26,1.572,3,1
3124.8,3.7409,495.26,1.6067,2,1
3204.5,3.6095,495.26,1.6051,2,1
3207.8,3.6284,495.26,1.5892,2,1
3307.7,3.5427,495.26,1.6073,2,1
3351.8,3.5841,495.26,1.6024,2,1
3370.2,3.5865,495.26,1.6207,2,1
3453.6,3.5727,495.26,1.6183,2,1
3554.6,3.4922,495.26,1.6432,2,1
3507.9,3.43,495.26,1.6567,2,1
3379.1,3.417,495.26,1.6646,2,1
3330.5,3.2986,495.26,1.6727,2,1
3262.1,3.3895,473.73,1.6855,2,1
2981.9,3.5429,473.73,1.6783,2,1
2909.2,3.4838,473.73,1.6887,2,1
3529.8,3.3648,473.73,1.728,2,1
4153.6,3.1399,473.73,1.7325,2,1
4432.2,3.1448,473.73,1.7174,2,1
4665.1,3.2275,473.73,1.7335,2,1
4297.6,3.1811,473.73,1.7491,2,1
4036.4,3.0872,452.2,1.7816,2,1
3231.5,3.1587,452.2,1.7391,2,1
2110.6,3.0293,430.66,1.7383,2,1
1271.5,3.1874,409.13,1.6447,2,1
468.85,3.5469,409.13,1.5561,1,1
0,4.3118,387.6,1.1595,2,1
9.6218,4.2153,473.73,1.5203,2,1
21.408,4.3215,430.66,1.5644,2,0
32.87,5.0057,409.13,1.2419,2,0
35.01,4.9093,452.2,1.4554,2,0
38.981,5.315,473.73,0.96703,3,0
37.336,5.0981,409.13,0.98746,3,0
40.884,5.2784,430.66,0.80319,8,0
40.335,5.432,2088.7,0.45915,8,0
41.025,5.2596,2024.1,0.51629,8,0
43.782,5.2768,2174.9,0.36002,11,0
45.625,5.2671,559.86,0.20534,10,0
45.992,5.36,2067.2,0.37303,8,0
43.575,5.3385,2110.3,0.42767,8,0
43.776,5.4426,2153.3,0.42793,8,0
44.22,5.3866,2196.4,0.33672,8,0
41.013,5.4316,2217.9,0.33024,9,0
37.229,5.516,2088.7,0.35914,11,0
38.648,5.6026,689.06,0.23265,18,0
48.971,5.7246,86.133,0.11009,15,0
49.866,5.6746,0,0.11617,18,0
54.732,5.7092,129.2,0.14463,20,0
54.015,5.7247,1119.7,0.21884,18,0
53.287,5.6946,0,0.17107,20,0
56.207,5.7106,43.066,0.15972,20,0
64.719,5.6902,0,0.19075,20,0
61.955,5.7018,323,0.25109,19,0
57.196,5.5488,0,0.20857,6,0
47.726,5.0158,753.66,0.42791,3,0
39.396,5.0244,775.2,0.80551,3,0
49.204,5.2754,753.66,0.44864,3,0
44.291,5.0539,732.13,0.2423,4,0
26.454,4.8283,732.13,0.57303,3,0
56.814,5.5357,775.2,0.50182,3,0
35.413,5.1599,753.66,0.49374,3,0
64.916,5.27,753.66,0.55855,3,0
41.587,5.0589,753.66,0.47621,3,0
21.256,5.027,753.66,0.32501,3,0
6.6526,5.0321,710.6,0.40298,5,0
37.858,4.8528,775.2,0.495,3,0
109.06,4.8069,775.2,0.59341,3,0
99.887,4.7998,753.66,0.59424,3,0
127.61,4.7323,775.2,0.66576,3,0
94.392,4.8143,667.53,0.3052,4,0
84.385,4.8491,667.53,0.30599,6,0
74.199,4.8999,796.73,0.48823,3,0
82.955,4.9538,753.66,0.63807,4,0
17.783,5.0795,2024.1,0.39088,8,0
0,5.1647,796.73,0.45878,7,0
9.4136,5.1305,753.66,0.43947,5,0
12.958,5.1724,753.66,0.36601,7,0
0,5.1307,2045.7,0.3975,8,0
4.3025,5.0876,2131.8,0.31893,8,0
73.494,5.0308,796.73,0.42339,7,1
577.79,4.9725,2196.4,0.57397,7,1
2363.8,4.8317,473.73,0.94369,2,1
3540.4,4.3348,495.26,1.4767,2,1
3554.1,4.3635,538.33,1.319,2,1
2875.4,4.3846,495.26,0.98168,2,1
4384.6,4.2538,624.46,0.88689,3,1
4886.6,4.3489,538.33,0.98278,2,1
3232.9,4.2313,516.8,1.4054,3,1
3140.8,4.3396,495.26,1.4729,2,1
2530.1,4.648,495.26,1.2852,3,1
1773.2,4.7948,452.2,0.76204,7,1
1515.6,4.7269,753.66,0.61255,8,1
662.06,4.8445,710.6,0.87414,3,1
210.73,4.9734,2131.8,0.33356,9,1
18.825,4.9743,495.26,0.40943,7,1
44.015,4.9011,516.8,0.76712,4,1
44.943,4.9116,2239.5,0.66502,9,0
42,4.9683,495.26,0.61578,9,0
39.034,5.0445,753.66,0.45544,8,0
41.184,5.3794,818.26,0.34924,8,0
32.657,5.2361,495.26,0.4175,7,0
35.544,5.2429,344.53,0.39504,3,0
27.264,5.2277,107.67,0.21818,19,0
26.835,5.2699,344.53,0.13426,30,0
58.9,5.14,2239.5,0.45591,6,0
48.125,4.9644,753.66,0.3082,6,0
24.974,4.9721,732.13,0.3185,7,0
3.9741,4.878,732.13,0.47956,8,0
3.0188,4.77,732.13,0.59056,4,0
0,4.7898,710.6,0.58279,5,0
11.973,4.8288,732.13,0.58745,6,0
22.566,4.8486,775.2,0.62215,6,0
17.889,4.7812,710.6,0.59546,6,0
28.833,4.785,710.6,0.5299,6,0
26.226,4.8328,753.66,0.39031,8,0
13.193,4.8777,732.13,0.50167,6,0
9.1025,4.8474,710.6,0.67133,3,0
0,4.8253,710.6,0.68484,3,0
1.0661,4.8846,710.6,0.6841,3,0
3.4849,4.8926,689.06,0.45474,3,0
2.2107,4.9016,775.2,0.4265,3,0
17.883,4.935,710.6,0.39312,3,0
23.424,4.9585,732.13,0.40487,3,0
19.357,4.9685,775.2,0.54777,3,0
29.832,5.0089,775.2,0.53347,9,0
55.208,5.1293,753.66,0.46403,7,0
29.491,5.0667,753.66,0.54865,8,0
54.068,5.4166,753.66,0.59946,3,0
56.39,5.1856,2067.2,0.54583,7,0
66.644,5.2979,753.66,0.55829,8,0
55.564,5.5563,409.13,0.30491,16,0
51.718,5.5406,86.133,0.21369,17,0
48.738,5.5201,150.73,0.11747,11,0
46.791,5.3163,258.4,0.089275,12,0
53.475,5.3904,236.87,0.38432,9,0
63.111,5.1794,753.66,0.39447,7,0
71.166,5.287,2110.3,0.34629,8,0
43.268,5.333,387.6,0.41746,8,0
32.401,5.5307,86.133,0.11762,24,0
29.586,5.4178,215.33,0.20319,36,0
29.097,5.406,0,0.27278,38,0
27.765,5.4358,279.93,0.15297,38,0
34.045,5.4691,215.33,0.11207,44,0
43.262,5.6976,150.73,0.063822,32,0
42.333,5.623,409.13,0.098168,33,0
43.021,5.6123,258.4,0.14882,14,0
71.943,5.2979,2153.3,0.34101,8,0
66.41,5.5466,1399.7,0.266,7,0
52.744,5.1319,732.13,0.4024,5,0
69.209,5.3819,732.13,0.29738,3,0
54.077,5.0916,710.6,0.47074,3,0
57.116,5.4367,689.06,0.29491,7,0
64.642,5.2022,710.6,0.42854,4,0
68.186,5.2948,689.06,0.41661,4,0
