@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0028835,131,0
0.0016873,45,0
0.0017858,61,0
0.0032485,136,0
0.0061421,128,0
0.0070724,61,0
0.0090347,72,0
0.011252,65,0
0.0090391,120,0
0.010066,38,0
0.011834,55,0
0.011697,82,0
0.0096458,54,0
0.011153,54,0
0.0087062,57,0
0.0073576,100,0
0.0049214,110,0
0.0035691,40,0
0.0031153,52,0
0.0037902,51,0
0.0023911,53,0
0.0023237,51,0
0.0038138,52,0
0.0098314,18,0
0.013313,72,0
0.011763,19,0
0.011418,120,0
0.014504,121,0
0.017469,6,0
0.016936,95,0
0.010906,20,0
0.0075171,60,0
0.0046072,40,0
0.0036486,43,0
0.001432,160,0
0.0016372,43,0
0.002715,79,0
0.0018922,127,0
0.016982,82,1
0.031662,111,1
0.0599,123,1
0.042487,108,1
0.045698,88,1
0.04696,65,1
0.074808,59,1
0.10006,53,1
0.10148,50,1
0.09507,49,1
0.09795,49,1
0.098288,49,1
0.1046,50,1
0.099923,52,1
0.10031,53,1
0.088292,57,1
0.091438,60,1
0.08662,64,1
0.084362,69,1
0.076696,72,1
0.075922,78,1
0.075422,85,1
0.07794,88,1
0.052294,98,1
0.053752,109,1
0.043786,122,1
0.055933,130,1
0.054729,141,1
0.062243,142,1
0.05579,144,1
0.04831,140,1
0.02019,52,1
0.026281,145,1
0.046424,145,1
0.04701,141,1
0.058246,136,1
0.06324,135,1
0.068653,134,1
0.063878,134,1
0.065644,130,1
0.078386,127,1
0.071752,125,1
0.067544,124,1
0.077453,121,1
0.073626,120,1
0.065817,116,1
0.074919,119,1
0.031291,111,1
0.029873,74,1
0.047481,43,1
0.063123,34,1
0.08934,34,1
0.063524,34,1
0.074451,28,1
0.082692,25,1
0.081269,103,1
0.095755,24,1
0.097106,26,1
0.13944,28,1
0.14642,29,1
0.15196,31,1
0.12086,34,1
0.12299,36,1
0.12606,38,1
0.11236,39,1
0.11073,41,1
0.11341,44,1
0.12163,46,1
0.11537,46,1
0.11503,46,1
0.11751,46,1
0.11785,46,1
0.12242,46,1
0.12198,47,1
0.11721,48,1
0.11349,48,1
0.11411,49,1
0.11108,49,1
0.11455,48,1
0.10628,48,1
0.089506,48,1
0.12082,46,1
0.11948,45,1
0.11915,44,1
0.12241,45,1
0.12178,44,1
0.1148,43,1
0.12053,41,1
0.11556,40,1
0.12849,40,1
0.13189,40,1
0.13199,39,1
0.13809,38,1
0.13892,37,1
0.13016,36,1
0.12954,35,1
0.13153,35,1
0.12114,35,1
