@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.20131,0.059891,2000.3,4.5699,366.06,1
0.19937,0.058984,1993.5,4.5764,366.06,1
0.20071,0.063521,2022.3,4.5838,387.6,1
0.2069,0.061706,2032.8,4.472,387.6,1
0.21275,0.054446,2075.8,4.4937,387.6,1
0.21645,0.053539,2146.4,4.4884,387.6,1
0.21835,0.058984,2147.1,4.5165,387.6,1
0.22031,0.068966,2195.4,4.4116,387.6,1
0.2173,0.072595,2171.4,4.4455,387.6,1
0.20345,0.07441,2135.3,4.5813,366.06,1
0.18426,0.078947,1886,4.6712,366.06,1
0.17229,0.077132,1697.2,4.661,366.06,1
0.17555,0.083485,1727.5,4.5676,366.06,1
0.17746,0.086207,1831.2,4.5541,366.06,1
0.17336,0.076225,1760.3,4.512,366.06,1
0.17306,0.073503,1709.3,4.6393,366.06,1
0.17447,0.064428,1684,4.5755,366.06,1
0.17137,0.057169,1682,4.363,366.06,1
0.17342,0.057169,1673.7,4.3348,366.06,1
0.17992,0.052632,1724.2,4.1706,366.06,1
0.18298,0.046279,1785.8,4.2908,366.06,1
0.18706,0.052632,1794.3,4.3072,366.06,1
0.19271,0.061706,1786.3,4.1329,366.06,1
0.19454,0.064428,1882,4.1325,366.06,1
0.20246,0.056261,1869.7,4.0696,366.06,1
0.2141,0.052632,2011.3,4.1403,366.06,1
0.23024,0.059891,2211.1,4.0852,387.6,1
0.24933,0.061706,2361.6,4.2757,387.6,1
0.26158,0.057169,2552.9,4.3513,387.6,1
0.27033,0.055354,2565.8,4.5096,387.6,1
0.2708,0.062613,2505.8,4.0363,387.6,1
0.26842,0.064428,2469.7,4.0714,387.6,1
0.26818,0.064428,2439.9,4.1327,387.6,1
0.27803,0.055354,2551.8,4.1338,409.13,1
0.29537,0.04265,2666.9,4.1928,409.13,1
0.30449,0.032668,2794.7,4.1412,409.13,1
0.30781,0.023593,2849.9,4.2368,409.13,1
0.30393,0.021779,2778.6,4.2059,409.13,1
0.29742,0.020871,2781.1,4.3005,409.13,1
0.29219,0.022686,2776,4.2836,409.13,1
0.29564,0.028131,2878.7,4.3106,409.13,1
0.30033,0.028131,2834.4,4.2781,409.13,1
0.2934,0.027223,2790.3,4.3428,409.13,1
0.28454,0.033575,2726.3,4.3345,387.6,1
0.27155,0.04265,2539.9,4.1917,387.6,1
0.26487,0.046279,2486.8,4.1652,387.6,1
0.26378,0.043557,2485.5,4.325,387.6,1
0.25317,0.041742,2548.9,4.4136,387.6,1
0.24702,0.04265,2570.1,4.411,387.6,1
0.23802,0.034483,2308.7,4.1003,387.6,1
0.23313,0.033575,2314.8,4.2374,366.06,1
0.22193,0.051724,2165.2,4.3355,366.06,1
0.20106,0.052632,1996.1,4.3068,366.06,1
0.20402,0.041742,2025.5,4.2084,344.53,1
0.19735,0.039927,1821.3,4.4652,344.53,1
0.19263,0.037205,1859.7,4.3652,710.6,1
0.22543,0.033575,1999.6,4.32,667.53,1
0.24277,0.03539,2108.4,4.2261,646,1
0.20881,0.036298,1895,4.3082,624.46,1
0.15739,0.03176,1149.7,4.3928,602.93,1
0.14006,0.036298,1010.5,4.4876,602.93,1
0.12612,0.040835,983.71,4.5219,646,1
0.095351,0.043557,621.11,4.6122,301.46,1
0.085524,0.041742,780.08,4.7145,646,1
0.1027,0.032668,983.14,4.6123,646,1
0.10916,0.033575,928.22,4.5398,602.93,1
0.10594,0.033575,546.2,4.5428,344.53,1
