@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.012268,0.14882,0.016891,2,15,0.0058762,0.12704,0.014994,2,15,0
0.010846,0.15789,0.022895,1,15,0.0044544,0.13612,0.020998,1,15,0
0.011069,0.14519,0.018288,1,22,0.004678,0.12341,0.01639,1,22,0
0.010501,0.12886,0.015071,2,15,0.0041098,0.10708,0.013173,2,15,0
0.0087814,0.1225,0.01392,1,15,0.0023899,0.10073,0.012022,1,15,0
0.0062901,0.12886,0.015155,1,15,0,0.10708,0.013258,1,15,0
0.004438,0.1216,0.0080033,0,0,0,0.099819,0.0061056,0,0,0
0.0038568,0.094374,0.0049231,0,0,0,0.072595,0.0030254,0,0,0
0.0030363,0.11434,0.001841,0,0,0,0.092559,0,0,0,0
0.002228,0.10889,0.0011425,0,0,0,0.087114,0,0,0,0
0.0025667,0.11343,0.0008105,0,0,0.00033878,0.091652,0,0,0,0
0.0033937,0.12976,0.0059993,0,0,0.0011657,0.10799,0.0051888,0,0,0
0.0065183,0.13067,0.0079195,0,0,0.0042903,0.10889,0.007109,0,0,0
0.024363,0.11162,0.0077063,0,0,0.022135,0.089837,0.0068958,0,0,1
0.11391,0.050817,0.0038944,0,0,0.11168,0.029038,0.0030839,0,0,1
0.16967,0.032668,0.034005,3,4,0.16744,0.010889,0.033194,3,4,1
0.19672,0.039927,0.040307,2,4,0.1945,0.018149,0.039497,2,4,1
0.21092,0.044465,0.049547,4,4,0.20869,0.022686,0.048736,4,4,1
0.21602,0.046279,0.046426,4,4,0.21379,0.024501,0.045616,4,4,1
0.22268,0.046279,0.047174,4,4,0.22045,0.024501,0.046363,4,4,1
0.23152,0.04265,0.054936,4,4,0.22929,0.020871,0.054125,4,4,1
0.24095,0.04265,0.045579,3,4,0.23873,0.020871,0.044768,3,4,1
0.24761,0.049002,0.053133,3,4,0.24539,0.027223,0.052323,3,4,1
0.25067,0.052632,0.042479,4,4,0.24844,0.030853,0.041669,4,4,1
0.24985,0.046279,0.047751,4,4,0.24763,0.024501,0.04694,4,4,1
0.24884,0.040835,0.050013,4,4,0.24662,0.019056,0.049202,4,4,1
0.24834,0.041742,0.04892,4,4,0.24612,0.019964,0.04811,4,4,1
0.25189,0.04265,0.051041,4,4,0.24966,0.020871,0.050231,4,4,1
0.2509,0.04265,0.043902,3,4,0.24867,0.020871,0.043091,3,4,1
0.24898,0.04265,0.043732,4,4,0.24675,0.020871,0.042921,4,4,1
0.24826,0.040835,0.049901,4,4,0.24603,0.019056,0.04909,4,4,1
0.24449,0.047187,0.039602,4,4,0.24227,0.025408,0.038792,4,4,1
0.24278,0.056261,0.054089,2,4,0.24055,0.034483,0.053278,2,4,1
0.24214,0.067151,0.055643,3,4,0.23991,0.045372,0.054832,3,4,1
0.23477,0.064428,0.068548,3,4,0.23254,0.04265,0.067738,3,4,1
0.22563,0.060799,0.07451,3,5,0.22341,0.03902,0.073699,3,5,1
