@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.45265,35,0,0,0
0.59141,25,0.13876,0,0
0.55676,35,0.10411,10,0
0.48503,59,0.032376,34,0
0.52677,97,0.074116,72,1
0.30833,35,0,10,1
0.76086,15,0.45252,0,1
0.88301,22,0.57468,7,1
1.1518,29,0.84349,14,1
1.1487,30,0.84039,15,1
0.94736,24,0.63903,9,1
1.1713,32,0.86296,17,1
1.2672,33,0.95892,18,1
1.1944,33,0.88609,18,1
1.1166,32,0.80824,17,1
1.0225,33,0.71413,18,1
1.2228,33,0.91451,18,1
1.133,33,0.82465,18,1
1.0214,34,0.71308,19,1
1.166,33,0.85768,18,1
1.2562,34,0.94785,19,1
1.2628,34,0.95449,19,1
1.2536,33,0.94531,18,1
1.2805,34,0.97217,19,1
1.3002,34,0.99187,19,1
1.2602,34,0.95186,19,1
1.3005,34,0.99219,19,1
1.3571,10,1.0487,0,1
1.4397,9,1.1313,0,1
1.5203,9,1.212,0,1
1.5706,9,1.2623,0,1
1.5468,9,1.2385,0,1
1.5026,9,1.1943,0,1
1.5105,9,1.2021,0,1
1.5024,9,1.1941,0,1
1.5166,9,1.2083,0,1
1.574,9,1.2657,0,1
1.5898,9,1.2815,0,1
1.5722,9,1.2639,0,1
1.578,9,1.2697,0,1
1.575,10,1.2667,1,1
1.5859,10,1.2776,1,1
1.585,9,1.2767,0,1
1.5759,9,1.2675,0,1
1.571,9,1.2626,0,1
1.5838,9,1.2755,0,1
1.6019,9,1.2936,0,1
1.6024,9,1.294,0,1
1.5965,9,1.2882,0,1
1.6032,9,1.2949,0,1
1.5647,10,1.2563,1,1
1.6322,10,1.3239,1,1
1.6307,10,1.3224,1,1
1.6443,10,1.336,1,1
1.4388,10,1.1304,1,1
1.4892,9,1.1808,0,1
1.0752,8,0.76689,0,1
0.82034,19,0.51201,11,1
0.37672,51,0.068386,43,1
0.58704,54,0.27871,46,1
0.87602,16,0.56768,8,1
1.3326,10,1.0243,2,0
0.94472,12,0.63638,4,0
0.49943,28,0.1911,20,0
0.34469,37,0.03636,29,0
0.46339,43,0.15506,35,0
0.279,37,0,29,0
0.46058,47,0.18158,39,0
0.47199,37,0.19299,29,0
0.65076,39,0.37176,31,0
0.54557,34,0.26657,26,0
0.36553,43,0.086527,35,0
0.39964,58,0.12064,50,0
0.33959,89,0.060592,81,0
0.25163,80,0,72,0
0.46305,62,0.21142,54,0
0.37036,72,0.11873,64,0
0.25886,74,0.0072279,66,0
0.35697,86,0.10534,78,0
0.29624,58,0.04461,50,0
0.35427,53,0.10264,45,0
0.32543,68,0.073795,60,0
0.27145,123,0.019819,115,0
0.21092,84,0,76,0
0.29706,74,0.08614,66,0
0.30693,74,0.096006,66,0
0.2448,25,0.033882,17,1
0.94027,16,0.72935,8,1
1.3472,9,1.1363,1,1
1.4296,9,1.2186,1,1
1.4214,9,1.2105,1,1
1.4023,9,1.1914,1,1
1.4334,26,1.2225,18,1
1.4417,23,1.2308,15,1
1.4377,9,1.2268,1,1
1.4565,9,1.2455,1,1
1.4704,9,1.2595,1,1
1.4472,9,1.2362,1,1
1.4695,9,1.2586,1,1
1.4799,9,1.269,1,1
1.485,10,1.2741,2,1
1.4597,9,1.2487,1,1
1.445,9,1.234,1,1
1.459,9,1.2481,1,1
1.46,9,1.2491,1,1
1.4294,9,1.2185,1,1
1.4332,10,1.2223,2,1
1.4068,9,1.1958,1,1
1.3352,8,1.1243,0,1
1.3396,8,1.1286,0,1
1.3584,9,1.1475,1,1
1.3221,28,1.1112,20,1
1.2465,27,1.0356,19,1
1.2474,55,1.0365,47,1
1.251,61,1.0401,53,1
1.2556,58,1.0446,50,1
1.2764,40,1.0655,32,1
1.2541,12,1.0432,4,1
1.3014,11,1.0904,3,1
1.3078,20,1.0969,12,1
1.2704,14,1.0595,6,1
1.2474,14,1.0365,6,1
1.2791,14,1.0682,6,1
1.3653,9,1.1544,1,1
1.4099,8,1.199,0,1
1.398,8,1.1871,0,1
1.3841,12,1.1731,4,1
1.3795,21,1.1685,13,1
1.3723,40,1.1614,32,1
1.2597,32,1.0488,24,1
1.1274,27,0.91652,19,1
1.1288,23,0.91783,15,1
1.174,23,0.96308,15,1
1.2057,23,0.99478,15,1
1.1936,23,0.98264,15,1
1.1992,23,0.98832,15,1
1.2226,22,1.0117,14,1
1.2179,23,1.007,15,1
1.2204,23,1.0095,15,1
1.2249,25,1.014,17,1
1.2317,24,1.0208,16,1
1.2423,40,1.0314,32,1
1.3344,40,1.1235,32,1
1.3737,40,1.1628,32,1
1.3644,40,1.1535,32,1
1.3821,40,1.1712,32,1
1.4002,40,1.1893,32,1
1.3279,27,1.1169,19,1
1.4731,13,1.2622,5,1
1.4884,9,1.2775,1,1
1.52,37,1.3091,29,1
1.4995,13,1.2885,5,1
1.5053,9,1.2944,1,1
1.5242,9,1.3133,1,1
1.5052,9,1.2943,1,1
1.48,9,1.2691,1,1
1.4818,9,1.2709,1,1
1.4773,9,1.2664,1,1
1.4555,9,1.2446,1,1
1.4396,9,1.2287,1,1
1.4444,9,1.2335,1,1
1.4313,9,1.2203,1,1
1.3822,9,1.1713,1,1
1.3656,9,1.1546,1,1
