@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.33357,0.021779,0.33265,0.0036298,1
0.26812,0.021779,0.2672,0,1
0.23327,0.020871,0.23235,0,1
0.22246,0.024501,0.22155,0.0036298,1
0.2028,0.033575,0.20188,0.012704,1
0.19564,0.038113,0.19473,0.017241,1
0.21416,0.030853,0.21324,0.0099819,1
0.22605,0.021779,0.22513,0.00090744,1
0.22925,0.019964,0.22833,0,1
0.2262,0.019964,0.22529,0,1
0.21801,0.030853,0.2171,0.010889,1
0.2046,0.039927,0.20368,0.019964,1
0.18691,0.03902,0.186,0.019056,1
0.17576,0.044465,0.17485,0.024501,1
0.17159,0.050817,0.17067,0.030853,1
0.1768,0.047187,0.17588,0.027223,1
0.18332,0.040835,0.18241,0.020871,1
0.18806,0.056261,0.18715,0.036298,1
0.1986,0.061706,0.19768,0.041742,1
0.21651,0.047187,0.21559,0.027223,1
0.22845,0.048094,0.22753,0.028131,1
0.22602,0.066243,0.22511,0.046279,1
0.22327,0.060799,0.22236,0.040835,1
0.22146,0.041742,0.22055,0.021779,1
0.22331,0.041742,0.22239,0.021779,1
0.23824,0.043557,0.23733,0.023593,1
0.25741,0.04265,0.2565,0.022686,1
0.26502,0.037205,0.2641,0.017241,1
0.26419,0.038113,0.26328,0.018149,1
0.26933,0.040835,0.26842,0.020871,1
0.2857,0.037205,0.28479,0.017241,1
0.31951,0.036298,0.3186,0.016334,1
0.35288,0.03176,0.35197,0.011797,1
0.37365,0.024501,0.37274,0.0045372,1
0.38506,0.022686,0.38415,0.0027223,1
0.39694,0.022686,0.39603,0.0027223,1
0.40763,0.022686,0.40672,0.0027223,1
0.40942,0.022686,0.40848,0.0027223,1
0.41438,0.022686,0.41343,0.0027223,1
0.42649,0.022686,0.42554,0.0027223,1
0.43138,0.021779,0.43043,0.0018149,1
0.42439,0.022686,0.42344,0.0027223,1
0.41945,0.022686,0.4185,0.0027223,1
0.40581,0.021779,0.40486,0.0018149,1
0.3758,0.021779,0.37485,0.0018149,1
0.38348,0.020871,0.38254,0.00090744,1
0.45256,0.020871,0.45161,0.00090744,1
0.51516,0.021779,0.51421,0.0018149,1
0.54863,0.021779,0.54769,0.0018149,1
0.55986,0.021779,0.55891,0.0018149,1
0.54781,0.020871,0.54686,0.00090744,1
0.51489,0.019964,0.51395,0,1
0.43435,0.019964,0.4334,0,1
0.33188,0.019964,0.33093,0,1
0.22566,0.019056,0.22471,0,1
0.10372,0.019056,0.10277,0,1
0.047756,0.019964,0.046807,0.00090744,1
0.016091,0.029038,0.015142,0.0099819,1
0.0095852,0.044465,0.0086361,0.025408,0
0.0053007,0.066243,0.0043516,0.047187,0
0.0042166,0.080762,0.0032675,0.061706,0
0.0035966,0.085299,0.0026475,0.066243,0
0.0033306,0.075318,0.0023815,0.056261,0
0.0031914,0.083485,0.0022423,0.064428,0
0.0026196,0.10526,0.0016705,0.086207,0
0.0026685,0.10889,0.0017194,0.089837,0
0.0030148,0.10617,0.0020657,0.087114,0
0.0032517,0.098004,0.0023026,0.078947,0
0.0031302,0.094374,0.0021811,0.075318,0
0.0028703,0.097096,0.0019211,0.07804,0
0.0028213,0.11434,0.0018722,0.095281,0
0.0025787,0.12886,0.0016296,0.1098,0
0.0022392,0.12886,0.0012901,0.1098,0
