@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.01402,0.045372,95.271,5.567,516.8,0.0065101,0.023593,34.29,1.5345,86.133,0
0.011926,0.059891,107.22,5.821,538.33,0.0044161,0.038113,46.236,1.7885,107.67,0
0.0076668,0.069873,99.015,5.7175,495.26,0.00015682,0.048094,38.034,1.685,64.6,0
0.0063915,0.07804,102.79,5.9646,258.4,0,0.056261,41.808,1.9321,0,0
0.0078191,0.072595,98.02,5.7163,129.2,0.0014276,0.050817,37.039,1.6838,0,0
0.007924,0.058984,103.28,5.7972,86.133,0.0015325,0.037205,42.302,1.7647,0,0
0.0078277,0.087114,115.76,5.8945,301.46,0.0014362,0.065336,54.783,1.862,215.33,0
0.0099073,0.10708,126.01,5.8838,1959.5,0.0035158,0.085299,65.026,1.8514,1873.4,0
0.015628,0.098911,115.48,5.7501,1981.1,0.0092364,0.077132,54.497,1.7176,1894.9,0
0.018007,0.099819,95.904,5.6666,1851.9,0.011616,0.07804,34.923,1.6341,1765.7,0
0.016253,0.11343,140.22,5.9467,258.4,0.0098613,0.091652,79.24,1.9142,172.27,0
0.014892,0.13067,133.7,5.9044,2024.1,0.0085003,0.10889,72.716,1.8719,1938,0
0.012268,0.14882,145.54,5.9891,193.8,0.0058762,0.12704,84.562,1.9566,107.67,0
0.010846,0.15789,149.15,6.0387,2067.2,0.0044544,0.13612,88.169,2.0062,1981.1,0
0.011069,0.14519,130.69,5.8758,2002.6,0.004678,0.12341,69.713,1.8433,1916.5,0
0.010501,0.12886,137.07,5.9626,215.33,0.0041098,0.10708,76.092,1.9302,129.2,0
0.0087814,0.1225,132.23,5.9741,236.87,0.0023899,0.10073,71.252,1.9416,150.73,0
0.0062901,0.12886,113.9,5.9099,193.8,0,0.10708,52.914,1.8774,107.67,0
0.004438,0.1216,103.82,6.1157,129.2,0,0.099819,42.839,2.0832,43.066,0
0.0038568,0.094374,103.35,6.2585,258.4,0,0.072595,42.365,2.226,172.27,0
0.0030363,0.11434,87.836,6.2339,236.87,0,0.092559,26.855,2.2014,150.73,0
0.002228,0.10889,73.854,6.2734,387.6,0,0.087114,12.873,2.2409,301.46,0
0.0025667,0.11343,73.261,6.3249,107.67,0.00033878,0.091652,12.28,2.2924,21.533,0
0.0033937,0.12976,96.498,6.1053,258.4,0.0011657,0.10799,35.518,2.0728,172.27,0
0.0065183,0.13067,124.54,6.1044,495.26,0.0042903,0.10889,63.556,2.072,409.13,0
0.024363,0.11162,128.21,5.9428,538.33,0.022135,0.089837,67.227,1.9103,452.2,1
0.11391,0.050817,822.44,4.7283,516.8,0.11168,0.029038,761.46,0.69583,430.66,1
0.16967,0.032668,1146,4.6029,495.26,0.16744,0.010889,1085.1,0.57038,409.13,1
0.19672,0.039927,1607.3,4.7949,473.73,0.1945,0.018149,1546.3,0.76245,387.6,1
0.21092,0.044465,1812.6,4.8409,473.73,0.20869,0.022686,1751.6,0.80838,387.6,1
0.21602,0.046279,1878.3,4.7456,473.73,0.21379,0.024501,1817.3,0.71316,387.6,1
0.22268,0.046279,2001.9,4.8121,473.73,0.22045,0.024501,1941,0.77958,387.6,1
0.23152,0.04265,2184.4,4.9128,495.26,0.22929,0.020871,2123.4,0.88028,409.13,1
0.24095,0.04265,2170.1,4.7568,495.26,0.23873,0.020871,2109.1,0.72433,409.13,1
0.24761,0.049002,2232.4,4.8234,495.26,0.24539,0.027223,2171.4,0.79088,409.13,1
0.25067,0.052632,2219.8,4.7288,495.26,0.24844,0.030853,2158.9,0.69633,409.13,1
0.24985,0.046279,2220,4.823,495.26,0.24763,0.024501,2159,0.79049,409.13,1
0.24884,0.040835,2225.3,4.8175,495.26,0.24662,0.019056,2164.4,0.78506,409.13,1
0.24834,0.041742,2254.4,4.7508,495.26,0.24612,0.019964,2193.4,0.71837,409.13,1
0.25189,0.04265,2325.1,4.8884,495.26,0.24966,0.020871,2264.1,0.85596,409.13,1
0.2509,0.04265,2288.1,4.7729,495.26,0.24867,0.020871,2227.2,0.74043,409.13,1
0.24898,0.04265,2216,4.7608,473.73,0.24675,0.020871,2155,0.72829,387.6,1
0.24826,0.040835,2218.1,4.8445,495.26,0.24603,0.019056,2157.1,0.81202,409.13,1
0.24449,0.047187,2191.7,4.7383,495.26,0.24227,0.025408,2130.7,0.70582,409.13,1
0.24278,0.056261,2187.2,4.9205,473.73,0.24055,0.034483,2126.3,0.88799,387.6,1
0.24214,0.067151,2145,4.7735,473.73,0.23991,0.045372,2084,0.74099,387.6,1
0.23477,0.064428,2181.8,4.9372,473.73,0.23254,0.04265,2120.8,0.90471,387.6,1
0.22563,0.060799,2170.4,5.0256,473.73,0.22341,0.03902,2109.5,0.9931,387.6,1
0.21726,0.062613,2048,4.7596,452.2,0.21503,0.040835,1987,0.7271,366.06,1
0.2115,0.065336,1983.2,4.8607,452.2,0.20927,0.043557,1922.2,0.82819,366.06,1
0.20068,0.073503,1894.4,4.8788,452.2,0.19845,0.051724,1833.4,0.84636,366.06,1
0.18541,0.071688,1715.5,5.0053,452.2,0.18318,0.049909,1654.5,0.97285,366.06,1
0.18279,0.07078,1690.2,4.9395,452.2,0.18056,0.049002,1629.2,0.90699,366.06,1
0.18015,0.07441,1726.8,4.9403,452.2,0.17793,0.052632,1665.8,0.90786,366.06,1
0.18306,0.07441,1716.9,4.9395,452.2,0.18083,0.052632,1655.9,0.90698,366.06,1
0.18726,0.072595,1737.2,4.934,452.2,0.18503,0.050817,1676.2,0.90147,366.06,1
0.19059,0.075318,1783.1,4.9357,452.2,0.18837,0.053539,1722.1,0.90319,366.06,1
0.19811,0.068058,1850.8,4.8897,452.2,0.19588,0.046279,1789.8,0.85717,366.06,1
0.20414,0.059891,1932.4,4.8398,452.2,0.20191,0.038113,1871.4,0.80729,366.06,1
0.20354,0.059891,1919.1,4.8897,452.2,0.20131,0.038113,1858.2,0.85724,366.06,1
0.2016,0.058984,1920.6,4.8701,452.2,0.19937,0.037205,1859.6,0.83766,366.06,1
0.20293,0.063521,1941.8,4.9068,473.73,0.20071,0.041742,1880.8,0.87429,387.6,1
0.20913,0.061706,1957.1,4.8105,473.73,0.2069,0.039927,1896.1,0.77802,387.6,1
0.21498,0.054446,1988,4.8613,473.73,0.21275,0.032668,1927,0.82879,387.6,1
0.21867,0.053539,2061.3,4.8469,473.73,0.21645,0.03176,2000.3,0.81442,387.6,1
0.22058,0.058984,2067.1,4.8676,473.73,0.21835,0.037205,2006.1,0.83508,387.6,1
0.22253,0.068966,2110.9,4.7848,473.73,0.22031,0.047187,2049.9,0.75236,387.6,1
0.21953,0.072595,2082.8,4.8124,473.73,0.2173,0.050817,2021.8,0.77995,387.6,1
0.20568,0.07441,2046.4,4.9187,452.2,0.20345,0.052632,1985.4,0.88621,366.06,1
0.18649,0.078947,1811,4.9707,452.2,0.18426,0.057169,1750,0.93819,366.06,1
0.17452,0.077132,1632.9,4.9707,452.2,0.17229,0.055354,1571.9,0.93823,366.06,1
0.17778,0.083485,1669.9,4.879,452.2,0.17555,0.061706,1608.9,0.84648,366.06,1
