@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
115.48,5.7501,1981.1,0.65076,39,54.497,1.7176,1894.9,0.37176,31,0
95.904,5.6666,1851.9,0.54557,34,34.923,1.6341,1765.7,0.26657,26,0
140.22,5.9467,258.4,0.36553,43,79.24,1.9142,172.27,0.086527,35,0
133.7,5.9044,2024.1,0.39964,58,72.716,1.8719,1938,0.12064,50,0
145.54,5.9891,193.8,0.33959,89,84.562,1.9566,107.67,0.060592,81,0
149.15,6.0387,2067.2,0.25163,80,88.169,2.0062,1981.1,0,72,0
130.69,5.8758,2002.6,0.46305,62,69.713,1.8433,1916.5,0.21142,54,0
137.07,5.9626,215.33,0.37036,72,76.092,1.9302,129.2,0.11873,64,0
132.23,5.9741,236.87,0.25886,74,71.252,1.9416,150.73,0.0072279,66,0
113.9,5.9099,193.8,0.35697,86,52.914,1.8774,107.67,0.10534,78,0
103.82,6.1157,129.2,0.29624,58,42.839,2.0832,43.066,0.04461,50,0
103.35,6.2585,258.4,0.35427,53,42.365,2.226,172.27,0.10264,45,0
87.836,6.2339,236.87,0.32543,68,26.855,2.2014,150.73,0.073795,60,0
73.854,6.2734,387.6,0.27145,123,12.873,2.2409,301.46,0.019819,115,0
73.261,6.3249,107.67,0.21092,84,12.28,2.2924,21.533,0,76,0
96.498,6.1053,258.4,0.29706,74,35.518,2.0728,172.27,0.08614,66,0
124.54,6.1044,495.26,0.30693,74,63.556,2.072,409.13,0.096006,66,0
128.21,5.9428,538.33,0.2448,25,67.227,1.9103,452.2,0.033882,17,1
822.44,4.7283,516.8,0.94027,16,761.46,0.69583,430.66,0.72935,8,1
1146,4.6029,495.26,1.3472,9,1085.1,0.57038,409.13,1.1363,1,1
1607.3,4.7949,473.73,1.4296,9,1546.3,0.76245,387.6,1.2186,1,1
1812.6,4.8409,473.73,1.4214,9,1751.6,0.80838,387.6,1.2105,1,1
1878.3,4.7456,473.73,1.4023,9,1817.3,0.71316,387.6,1.1914,1,1
2001.9,4.8121,473.73,1.4334,26,1941,0.77958,387.6,1.2225,18,1
2184.4,4.9128,495.26,1.4417,23,2123.4,0.88028,409.13,1.2308,15,1
2170.1,4.7568,495.26,1.4377,9,2109.1,0.72433,409.13,1.2268,1,1
