@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.19609,0.022686,1429.1,-4.2801,516.8,0.0012033,0,0,1.2103,10,0
0.22847,0.023593,2096.7,-4.286,516.8,0.0050828,0,0,1.2534,10,0
0.22951,0.022686,2189.2,-4.3901,538.33,0.008781,0,0,1.1843,10,0
0.25832,0.022686,2328.6,-4.3746,538.33,0.013065,1,24,1.1994,10,0
0.27648,0.023593,2432.9,-4.3321,538.33,0.017525,2,15,1.2849,10,0
0.27562,0.022686,2613.6,-4.3822,516.8,0.010928,1,24,1.2118,10,0
0.25511,0.023593,2537.8,-4.3628,516.8,0.0080894,0,0,1.1228,9,0
0.19327,0.027223,1569.8,-4.723,516.8,0.0066859,0,0,0.89099,9,0
0.19047,0.025408,1779.1,-4.613,495.26,0.0031726,0,0,0.87953,9,0
0.19712,0.023593,2117.9,-4.5088,495.26,0.016482,1,15,0.85062,9,0
0.16995,0.020871,1443.8,-4.6597,215.33,0.018384,1,14,0.48103,10,0
0.1942,0.023593,1834.8,-4.429,409.13,0.019061,1,14,0.86364,8,0
0.18695,0.034483,1809.3,-4.5643,387.6,0.021064,1,13,0.86519,7,0
0.14688,0.032668,1453.3,-4.408,495.26,0.0083881,0,0,0.69525,9,0
0.12496,0.022686,782.22,-4.716,473.73,0.0014289,0,0,0.6928,9,0
0.089448,0.034483,606.29,-4.798,516.8,0.003333,0,0,0.49232,8,0
0.085269,0.040835,634.26,-4.8978,516.8,0.0077064,0,0,0.68173,10,0
0.089299,0.03176,442.05,-5.1613,409.13,0.014513,1,8,0.53089,12,0
0.072387,0.026316,346.2,-5.3249,366.06,0.015909,2,8,0.55001,12,1
0.1074,0.026316,906.02,-5.13,538.33,0.0040781,0,0,0.46931,9,1
0.14542,0.032668,1010.8,-5.1222,473.73,0.011888,3,13,1.0196,9,1
0.17284,0.039927,1690,-5.0571,473.73,0.038145,1,13,1.3205,9,1
0.19655,0.044465,1890.7,-5.0213,473.73,0.052036,4,4,1.2119,9,1
0.21816,0.03902,1774.2,-4.9786,473.73,0.042951,3,4,1.1182,13,1
0.22765,0.036298,2449.8,-4.9737,495.26,0.04254,3,4,1.2992,15,1
0.23562,0.039927,2692.3,-5.0723,495.26,0.064254,4,4,1.1313,15,1
0.23031,0.046279,2764.8,-4.9514,495.26,0.054261,3,4,1.0199,21,1
0.23054,0.045372,2571.1,-4.9823,495.26,0.055585,3,4,1.1368,18,1
0.23116,0.047187,2192.9,-4.9942,495.26,0.056245,3,4,1.2171,9,1
0.21844,0.051724,2066.9,-5.0173,495.26,0.051167,4,4,1.2344,19,1
0.23124,0.045372,2532.4,-4.9798,473.73,0.040174,4,4,1.4441,20,1
0.22764,0.051724,2255.5,-5.088,495.26,0.050456,3,4,1.2013,22,1
0.22034,0.057169,2135.5,-5.0977,495.26,0.042352,4,4,1.2814,31,1
0.22881,0.049909,2405.1,-4.9979,473.73,0.055634,3,4,1.2644,15,1
0.23439,0.040835,2521,-4.9706,473.73,0.041806,4,4,1.3363,9,1
0.22957,0.040835,2035.4,-5.0454,495.26,0.045623,4,4,1.2042,9,1
0.24012,0.039927,2412.1,-4.9027,495.26,0.039857,3,4,1.3385,9,1
0.24131,0.044465,2544.6,-4.9687,473.73,0.060171,2,4,1.1838,9,1
0.23754,0.050817,2267.2,-4.9184,473.73,0.057247,3,4,1.1782,14,1
0.24412,0.044465,2584.4,-5.0278,473.73,0.067162,3,4,1.2392,9,1
0.21906,0.046279,2446.2,-5.109,473.73,0.088165,2,4,1.0209,8,1
0.20799,0.041742,2347.5,-4.9683,452.2,0.061685,2,4,1.0559,8,1
0.20032,0.052632,2149.9,-4.9948,452.2,0.058366,3,4,1.1875,10,1
0.18012,0.069873,1999.6,-5.0933,452.2,0.058386,4,4,1.0275,24,1
0.16547,0.071688,1503.1,-5.2583,452.2,0.061965,3,4,1.0891,26,1
0.15261,0.071688,1384.9,-5.1908,452.2,0.054527,3,4,0.96478,68,1
0.15,0.076225,1603,-5.1171,452.2,0.054462,4,4,1.0098,82,1
0.16171,0.072595,1434.6,-5.1611,452.2,0.056075,4,4,1.1097,55,1
0.16095,0.068966,1694.8,-5.1437,452.2,0.064579,4,4,1.242,48,1
0.16027,0.066243,1539.1,-5.1452,452.2,0.061665,3,4,1.0647,25,1
0.1793,0.049909,1678.8,-5.085,452.2,0.054684,4,4,1.184,9,1
0.18945,0.047187,1906.6,-5.0448,452.2,0.050727,4,4,1.236,15,1
0.19541,0.052632,2021.5,-5.0565,452.2,0.061647,3,4,1.0452,16,1
0.18833,0.058984,2190.6,-5.0591,452.2,0.05283,4,4,0.90612,26,1
0.17935,0.065336,1852.1,-5.1588,452.2,0.052251,3,4,0.94801,27,1
0.17928,0.067151,1800.3,-4.9945,473.73,0.054582,3,4,1.2148,13,1
0.18595,0.055354,1693,-5.0559,473.73,0.054551,2,4,1.2389,11,1
0.19631,0.046279,1785.4,-5.0447,473.73,0.055878,3,4,1.2605,9,1
0.19043,0.058076,1900.5,-5.0317,473.73,0.057004,3,4,1.3462,20,1
0.19566,0.065336,1983,-5.0257,473.73,0.047841,2,12,1.2548,25,1
0.19847,0.065336,1979.3,-5.0266,473.73,0.043179,4,4,1.2472,34,1
0.18556,0.065336,1804.3,-5.192,452.2,0.062132,3,4,1.1047,23,1
0.17232,0.071688,1683.5,-5.1815,452.2,0.064334,3,4,0.98888,24,1
0.15692,0.075318,1728.5,-5.1941,452.2,0.059731,3,4,0.9031,24,1
0.15644,0.063521,1604.4,-5.1206,452.2,0.0588,3,4,0.9942,23,1
0.16,0.060799,1666,-5.1577,452.2,0.052516,3,4,1.0116,22,1
0.16126,0.061706,1677.7,-5.1592,452.2,0.049755,2,12,0.97815,24,1
0.16523,0.067151,1813.3,-5.1745,430.66,0.074398,3,4,0.84909,22,1
0.16825,0.068058,1894.9,-5.1254,452.2,0.071478,1,11,0.86549,18,1
0.16452,0.062613,1644.7,-5.1561,452.2,0.056371,1,11,0.91432,21,1
0.16103,0.064428,1873,-5.0313,430.66,0.048769,1,11,1.0142,21,1
0.16452,0.058076,1718,-4.9284,452.2,0.044056,1,12,1.1135,17,1
0.16513,0.056261,1516.2,-5.1279,452.2,0.042453,2,12,0.98631,22,1
0.16596,0.057169,1907.8,-4.9865,452.2,0.046001,3,11,1.0032,39,1
0.17543,0.055354,1703.9,-4.9049,452.2,0.04994,1,12,1.1788,40,1
0.17488,0.060799,1682.6,-4.8501,452.2,0.044892,1,12,1.2647,40,1
0.17577,0.061706,1626.9,-4.7649,452.2,0.044444,2,12,1.2526,40,1
0.18495,0.061706,1700.2,-4.7555,452.2,0.044134,3,12,1.2583,40,1
0.19904,0.063521,1905.8,-4.7437,473.73,0.049563,1,13,1.3222,40,1
0.22474,0.057169,2084.4,-4.8242,473.73,0.057979,3,12,1.2719,24,1
0.24348,0.053539,2257.5,-4.7024,473.73,0.067424,2,12,1.4728,10,1
0.24503,0.054446,2287.1,-4.8561,473.73,0.081506,4,4,1.4861,9,1
0.23996,0.062613,2072.4,-4.6297,473.73,0.057253,2,13,1.4916,34,1
0.24476,0.065336,2235.7,-4.6427,473.73,0.077145,2,13,1.4765,14,1
0.25166,0.058984,2119.8,-4.5734,473.73,0.069993,4,4,1.5036,9,1
0.25494,0.051724,2210.9,-4.5785,495.26,0.071854,4,4,1.5215,9,1
0.2607,0.044465,2258.6,-4.6406,495.26,0.073874,4,4,1.4738,9,1
0.26662,0.034483,2369.1,-4.6264,495.26,0.066879,2,13,1.4122,9,1
0.27321,0.030853,2611.7,-4.6641,495.26,0.080172,2,13,1.4524,9,1
0.28496,0.026316,2712.3,-4.6564,495.26,0.07651,3,4,1.4223,9,1
0.27571,0.022686,2758.7,-4.8039,495.26,0.080335,3,4,1.3535,9,1
0.25164,0.029038,2426,-4.8311,495.26,0.082152,3,4,1.2218,9,1
0.24935,0.03539,2748.4,-4.8028,495.26,0.077832,2,13,1.3728,9,1
0.26437,0.03902,2678,-4.8448,495.26,0.078754,3,5,1.2971,9,1
0.27066,0.041742,2762.5,-4.8527,495.26,0.075958,3,5,1.197,9,1
0.27894,0.03902,2879.1,-4.8485,473.73,0.062549,4,5,1.2798,9,1
0.27663,0.03176,2890.3,-4.7771,473.73,0.047953,3,5,1.345,9,1
0.26483,0.03176,2576.2,-4.8117,473.73,0.058715,3,5,1.3389,9,1
0.25671,0.038113,2619.7,-4.801,473.73,0.062084,3,5,1.2934,9,1
0.24612,0.036298,2530.3,-4.8589,473.73,0.07806,2,4,1.1186,9,1
0.27263,0.03902,3560.3,-5.12,473.73,0.042116,3,13,0.83022,14,1
0.27362,0.050817,4994.1,-5.0339,473.73,0.012772,1,13,0.59826,24,1
0.33495,0.040835,4030.5,-5.026,452.2,0.031637,1,14,0.74884,14,1
0.41876,0.032668,7526.1,-4.9686,452.2,0.022453,1,13,0.96818,12,1
0.42434,0.034483,6494.9,-5.0005,258.4,0.019798,2,13,0.58862,17,1
0.39176,0.03539,7411.8,-4.8553,430.66,0.014358,1,12,0.52436,17,1
0.3755,0.032668,6086.4,-4.8394,258.4,0.030628,1,13,0.45971,16,1
0.38803,0.029038,5696.8,-4.84,258.4,0.033245,1,14,0.6219,12,1
0.36218,0.03539,5746.6,-4.7268,301.46,0.026271,1,13,0.55564,14,1
0.31175,0.037205,4482,-4.874,732.13,0.040551,1,13,0.46143,13,1
0.30901,0.025408,4654.2,-4.7879,430.66,0.013638,1,12,0.63061,13,1
0.2788,0.026316,3459.6,-4.7418,430.66,0.01637,1,12,0.64435,8,1
0.2266,0.039927,3515.6,-5.1251,107.67,0.045746,1,12,0.41764,25,1
0.2139,0.04265,3594.2,-5.1561,107.67,0.045254,1,13,0.30303,28,1
0.18093,0.039927,1928.6,-5.124,409.13,0.03959,1,13,0.39105,29,1
0.18501,0.029038,2383.4,-4.8971,86.133,0.035566,1,13,0.30924,15,1
0.20078,0.019964,2289.7,-4.7818,107.67,0.024414,1,13,0.44294,9,1
0.17036,0.026316,1694,-4.962,107.67,0.024094,1,12,0.44064,13,1
0.14668,0.033575,1482.2,-4.8587,279.93,0.0042744,0,0,0.35317,14,1
0.17531,0.029946,1865.1,-4.7826,710.6,0.018133,1,13,0.43318,14,1
0.17267,0.026316,2278.3,-4.8436,107.67,0.019648,1,14,0.40908,12,1
0.1759,0.049909,1965.7,-5.3771,107.67,0.029109,3,13,0.2566,26,1
0.18835,0.068966,3222.8,-5.6116,344.53,0.064639,1,13,0.35309,35,1
0.18395,0.047187,2088.2,-5.4274,366.06,0.028586,2,13,0.54349,25,1
0.18114,0.033575,2109.5,-5.2749,495.26,0.052935,2,13,0.67218,17,1
0.16741,0.034483,1821.6,-5.1243,344.53,0.016851,1,13,0.8453,11,1
0.14554,0.030853,1501.2,-5.0981,344.53,0.015789,1,13,0.86976,10,1
0.09896,0.045372,774.59,-5.2882,366.06,0.017511,1,13,0.46593,24,1
0.077036,0.064428,369.39,-5.4503,646,0.010385,1,18,0.30778,35,1
0.084484,0.043557,829.47,-5.1367,279.93,0.017223,1,14,0.40453,26,1
0.087681,0.024501,564.21,-5.0627,107.67,0.012071,2,12,0.42961,18,1
0.076878,0.037205,522.6,-5.0986,258.4,0.001921,0,0,0.40645,19,1
0.062149,0.04265,356.69,-5.1963,258.4,0.0017938,0,0,0.49542,18,0
0.053445,0.04265,196.48,-5.315,366.06,0.0091828,0,0,0.68456,16,0
0.045215,0.044465,151.58,-5.2687,279.93,0.003922,0,0,0.31689,31,0
0.044332,0.043557,117.11,-5.3216,258.4,0.0072803,0,0,0.48979,19,0
0.046071,0.040835,176.19,-5.1642,279.93,0.0023413,0,0,0.56947,15,0
0.043523,0.029038,118.34,-5.1615,279.93,0.004222,0,0,0.62229,9,0
0.038639,0.025408,71.297,-5.2231,258.4,0.00051425,0,0,0.71007,12,0
0.035128,0.034483,44.165,-5.2872,258.4,0.0050776,0,0,0.40701,20,0
0.037851,0.03902,19.407,-5.3507,581.4,0.0057332,0,0,0.50266,15,0
0.032359,0.044465,25.592,-5.3161,258.4,0.0012748,0,0,0.48791,14,0
0.024129,0.046279,-35.451,-5.42,129.2,0.0038995,0,0,0.30251,26,0
0.027208,0.046279,-76.76,-5.592,107.67,0.0026822,0,0,0.36895,19,0
0.02716,0.044465,-31.862,-5.4581,559.86,0.0084896,0,0,0.41064,12,0
