@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
1539.1,-5.1452,452.2,0.061665,3,4,1
1678.8,-5.085,452.2,0.054684,4,4,1
1906.6,-5.0448,452.2,0.050727,4,4,1
2021.5,-5.0565,452.2,0.061647,3,4,1
2190.6,-5.0591,452.2,0.05283,4,4,1
1852.1,-5.1588,452.2,0.052251,3,4,1
1800.3,-4.9945,473.73,0.054582,3,4,1
1693,-5.0559,473.73,0.054551,2,4,1
1785.4,-5.0447,473.73,0.055878,3,4,1
1900.5,-5.0317,473.73,0.057004,3,4,1
1983,-5.0257,473.73,0.047841,2,12,1
1979.3,-5.0266,473.73,0.043179,4,4,1
1804.3,-5.192,452.2,0.062132,3,4,1
1683.5,-5.1815,452.2,0.064334,3,4,1
1728.5,-5.1941,452.2,0.059731,3,4,1
1604.4,-5.1206,452.2,0.0588,3,4,1
1666,-5.1577,452.2,0.052516,3,4,1
1677.7,-5.1592,452.2,0.049755,2,12,1
1813.3,-5.1745,430.66,0.074398,3,4,1
1894.9,-5.1254,452.2,0.071478,1,11,1
1644.7,-5.1561,452.2,0.056371,1,11,1
1873,-5.0313,430.66,0.048769,1,11,1
1718,-4.9284,452.2,0.044056,1,12,1
1516.2,-5.1279,452.2,0.042453,2,12,1
1907.8,-4.9865,452.2,0.046001,3,11,1
1703.9,-4.9049,452.2,0.04994,1,12,1
1682.6,-4.8501,452.2,0.044892,1,12,1
1626.9,-4.7649,452.2,0.044444,2,12,1
1700.2,-4.7555,452.2,0.044134,3,12,1
1905.8,-4.7437,473.73,0.049563,1,13,1
2084.4,-4.8242,473.73,0.057979,3,12,1
2257.5,-4.7024,473.73,0.067424,2,12,1
2287.1,-4.8561,473.73,0.081506,4,4,1
2072.4,-4.6297,473.73,0.057253,2,13,1
2235.7,-4.6427,473.73,0.077145,2,13,1
2119.8,-4.5734,473.73,0.069993,4,4,1
2210.9,-4.5785,495.26,0.071854,4,4,1
2258.6,-4.6406,495.26,0.073874,4,4,1
2369.1,-4.6264,495.26,0.066879,2,13,1
2611.7,-4.6641,495.26,0.080172,2,13,1
2712.3,-4.6564,495.26,0.07651,3,4,1
2758.7,-4.8039,495.26,0.080335,3,4,1
2426,-4.8311,495.26,0.082152,3,4,1
2748.4,-4.8028,495.26,0.077832,2,13,1
2678,-4.8448,495.26,0.078754,3,5,1
2762.5,-4.8527,495.26,0.075958,3,5,1
2879.1,-4.8485,473.73,0.062549,4,5,1
2890.3,-4.7771,473.73,0.047953,3,5,1
2576.2,-4.8117,473.73,0.058715,3,5,1
2619.7,-4.801,473.73,0.062084,3,5,1
2530.3,-4.8589,473.73,0.07806,2,4,1
3560.3,-5.12,473.73,0.042116,3,13,1
4994.1,-5.0339,473.73,0.012772,1,13,1
4030.5,-5.026,452.2,0.031637,1,14,1
7526.1,-4.9686,452.2,0.022453,1,13,1
6494.9,-5.0005,258.4,0.019798,2,13,1
7411.8,-4.8553,430.66,0.014358,1,12,1
6086.4,-4.8394,258.4,0.030628,1,13,1
5696.8,-4.84,258.4,0.033245,1,14,1
5746.6,-4.7268,301.46,0.026271,1,13,1
4482,-4.874,732.13,0.040551,1,13,1
4654.2,-4.7879,430.66,0.013638,1,12,1
3459.6,-4.7418,430.66,0.01637,1,12,1
3515.6,-5.1251,107.67,0.045746,1,12,1
3594.2,-5.1561,107.67,0.045254,1,13,1
1928.6,-5.124,409.13,0.03959,1,13,1
2383.4,-4.8971,86.133,0.035566,1,13,1
2289.7,-4.7818,107.67,0.024414,1,13,1
1694,-4.962,107.67,0.024094,1,12,1
1482.2,-4.8587,279.93,0.0042744,0,0,1
1865.1,-4.7826,710.6,0.018133,1,13,1
2278.3,-4.8436,107.67,0.019648,1,14,1
1965.7,-5.3771,107.67,0.029109,3,13,1
3222.8,-5.6116,344.53,0.064639,1,13,1
2088.2,-5.4274,366.06,0.028586,2,13,1
2109.5,-5.2749,495.26,0.052935,2,13,1
1821.6,-5.1243,344.53,0.016851,1,13,1
1501.2,-5.0981,344.53,0.015789,1,13,1
774.59,-5.2882,366.06,0.017511,1,13,1
369.39,-5.4503,646,0.010385,1,18,1
829.47,-5.1367,279.93,0.017223,1,14,1
564.21,-5.0627,107.67,0.012071,2,12,1
522.6,-5.0986,258.4,0.001921,0,0,1
356.69,-5.1963,258.4,0.0017938,0,0,0
196.48,-5.315,366.06,0.0091828,0,0,0
151.58,-5.2687,279.93,0.003922,0,0,0
117.11,-5.3216,258.4,0.0072803,0,0,0
176.19,-5.1642,279.93,0.0023413,0,0,0
118.34,-5.1615,279.93,0.004222,0,0,0
71.297,-5.2231,258.4,0.00051425,0,0,0
44.165,-5.2872,258.4,0.0050776,0,0,0
19.407,-5.3507,581.4,0.0057332,0,0,0
25.592,-5.3161,258.4,0.0012748,0,0,0
-35.451,-5.42,129.2,0.0038995,0,0,0
-76.76,-5.592,107.67,0.0026822,0,0,0
-31.862,-5.4581,559.86,0.0084896,0,0,0
-20.129,-5.4133,301.46,0.0045892,0,0,0
-51.918,-5.5397,258.4,0.0018211,0,0,0
-40.5,-5.4734,387.6,0.0048789,0,0,0
-1.6389,-5.3789,150.73,0.006002,0,0,0
-46.959,-5.5092,279.93,0.0047016,0,0,0
-75.383,-5.6071,495.26,0.0042172,0,0,0
18.768,-5.4726,150.73,0.015203,1,12,0
11.081,-5.4097,150.73,0.0055432,0,0,0
32.667,-5.3872,172.27,0.0074417,0,0,0
6.4531,-5.4119,409.13,0.0048458,0,0,0
8.9179,-5.4334,387.6,0.0050197,0,0,0
-6.3679,-5.3849,409.13,0.0034342,0,0,0
-28.502,-5.4539,581.4,0.0026225,0,0,0
-40.129,-5.6118,387.6,0.01195,2,12,0
-39.679,-5.6444,236.87,0.002826,0,0,0
8.098,-5.5721,387.6,0.0092,0,0,0
27.341,-5.4843,409.13,0.0068255,0,0,0
39.619,-5.5428,215.33,0.0093862,0,0,0
30.208,-5.6895,236.87,0.012458,1,9,0
172.62,-5.6098,409.13,0.011677,1,7,0
106.26,-5.6494,236.87,0.011249,1,9,0
269.33,-5.4397,775.2,0.0147,2,10,0
214.08,-5.5293,796.73,0.0064735,0,0,0
163.77,-5.577,430.66,0.0079749,0,0,0
21.28,-5.7495,775.2,0.0084302,0,0,0
76.066,-5.622,775.2,0.0077837,0,0,0
7.7272,-5.7604,409.13,0.016736,1,13,0
137.67,-5.5591,775.2,0.011249,1,9,0
270.92,-5.5271,430.66,0.0094006,0,0,0
312.7,-5.4532,409.13,0.004712,0,0,0
207.34,-5.4632,775.2,0.0050084,0,0,0
366.14,-5.3868,775.2,0.015817,1,10,0
283.32,-5.4537,538.33,0.0041298,0,0,0
340.27,-5.4154,215.33,0.0028436,0,0,0
606.81,-5.3208,409.13,0.0054191,0,0,0
458.98,-5.4036,215.33,0.015194,1,26,0
372.71,-5.3195,796.73,0.014863,1,26,0
391.61,-5.2425,796.73,0.0036392,0,0,0
469.87,-5.3218,818.26,0.0073539,0,0,0
492.5,-5.2772,387.6,0.0050014,0,0,0
442.42,-5.1498,818.26,0.0072337,0,0,0
476.91,-5.1844,818.26,0.012223,1,28,0
560.86,-5.3609,236.87,0.011661,1,19,0
600.9,-5.2683,409.13,0.0022487,0,0,0
337.42,-5.3126,818.26,0.0095318,0,0,0
471.08,-5.2635,409.13,0.0074443,0,0,0
446.67,-5.1668,861.33,0.0058104,0,0,0
753.88,-4.9507,409.13,0.0030615,0,0,0
817.23,-4.8808,473.73,0.00098521,0,0,0
1147.7,-4.7563,516.8,0.0026277,0,0,0
1986.8,-4.4819,516.8,0.0010851,0,0,0
2095.1,-4.3903,516.8,0,0,0,0
1849,-4.6652,516.8,0.00055272,0,0,0
855.02,-4.9203,193.8,0.0026443,0,0,0
713.98,-4.9254,495.26,0.0007549,0,0,0
702.82,-5.0126,516.8,0.00136,0,0,0
720.51,-5.4597,344.53,0.031662,1,12,0
561.03,-5.2089,409.13,0.0045139,0,0,0
526.28,-5.1975,538.33,0.0013786,0,0,0
338.59,-5.3001,473.73,0.0024734,0,0,0
607.53,-5.0464,452.2,0.0057985,0,0,0
609.24,-5.2546,473.73,0.0069098,0,0,0
884.22,-5.3822,452.2,0.029805,1,23,0
673.4,-5.2707,473.73,0.008011,0,0,0
368.6,-5.4017,473.73,0.010856,1,23,0
433.46,-5.3294,473.73,0.0052344,0,0,0
615.55,-5.2234,689.06,0.003555,0,0,0
713.28,-5.2208,473.73,0.0026839,0,0,0
473.6,-5.3319,258.4,0.0039235,0,0,0
829.83,-5.2668,452.2,0.017644,1,23,0
925.87,-5.2819,452.2,0.0079349,0,0,0
705.39,-5.2679,1055.1,0.004132,0,0,0
387.8,-5.5011,1033.6,0.015381,1,11,0
770.44,-5.4677,430.66,0.013429,3,11,0
